ra_012000_0010#0,"""ふ……ふはは……ふはははっ！<br>この我を押し返したか……！"""
ra_012000_0020#0,"""かの惑星で我を押しとどめた者。<br>そして、今……"""
ra_012000_0030#0,"""くふふっ、ふははははっ！<br>いいぞ……楽しいぞアークス！<br>それでこそ、戻ってきた甲斐がある！"""
ra_012000_0040#0,"""ようやく戻ってきたと思ったら<br>いきなりやられちゃった上に<br>さらにそれで大喜び？"""
ra_012000_0050#0,"""四十年間眠ってた間に<br>どこかおかしくなっちゃった？"""
ra_012000_0060#0,"""……誰だ、貴様は。"""
ra_012000_0070#0,"""いや、この感じには覚えがある。"""
ra_012000_0080#0,"""そうか、貴様、【若人】か。<br>その姿は、新しい容れ物だな。"""
ra_012000_0090#0,"""そういうこと。<br>もっとも、新しいって言っても<br>十年は経ってるけどね。"""
ra_012000_0100#0,"""そちらの気に喰わん二人組は<br>……【双子】だな。"""
ra_012000_0110#0,"""はっ、くははっ！<br>揃いも揃って我を出迎えとは<br>感謝感激痛み入る！"""
ra_012000_0120#0,"""……だが、ソイツは誰だ。"""
ra_012000_0130#0,"""新参の子。<br>とりあえずあたしは<br>【仮面】って呼んでるけど？"""
ra_012000_0140#0,"""まったく。【若人】のあたしが<br>言うのもなんだけど、最近の若い子の<br>考えてることはわからないわね。"""
ra_012000_0150#0,"""くふふっ、奴が何であれ<br>我を楽しませてくれるのなら<br>一向に構わん。"""
ra_012000_0160#0,"""なにその気持ち悪い笑い方。<br>あんた、ずいぶん変わっちゃったね。"""
ra_012000_0170#0,"""それこそ貴様には言われたくないな。"""
ra_012000_0180#0,"""アークス……<br>諸兄らの健闘を称え<br>今回は退いてやろう。"""
ra_012000_0190#0,"""自在に動くこの身があれば<br>いついかなる時であっても<br>闘争は可能……くふっ、くふふっ。"""
ra_012000_0200#0,"""長く永く楽しませてもらうぞ。<br>せいぜい足掻け、アークスよ。"""
ra_012000_0210#0,"""A.P.238/4/1"""
