ra_010650_0010#0,"""<%me> 씨.<br>기다리고 있었습니다."""
ra_010650_0020#0,"""목적은 알고 있습니다.<br>이쪽으로 오세요."""
ra_010650_0030#0,"""제가 먼저 연락을 드리고 싶었지만<br>위험하니 그러지 않는 게 좋겠다고<br>말리셔서…"""
ra_010650_0040#0,"""오셨어요.<br>로지오 씨."""
ra_010650_0050#0,"""<%me> 씨!<br>다행이에요, 다시 만나서…!"""
ra_010650_0060#0,"""아앗, 안 돼요!<br>상처가 아직 다 낫지 않았잖아요!"""
ra_010650_0070#0,"""아야야… 그래도 다행이에요.<br><%me> 씨가<br>무사해서…"""
ra_010650_0080#0,"""혹시 <%me> 씨도 표적이 된 건 아닐까<br>걱정했어요."""
ra_010650_0090#0,"""…단도직입적으로 말씀드릴게요.<br>아크스는 행성 나베리우스에<br>무언가를 숨기고 있습니다."""
ra_010650_0100#0,"""제가 그걸 캐고 있다고 여겨져서<br>살해당할 뻔했고요…<br>그래서 지금 여기 숨어 있는 겁니다."""
ra_010650_0110#0,"""다만 부끄럽게도,<br>어떻게 도움을 받았는지 같은 건<br>전혀 기억나지 않아서…"""
ra_010650_0120#0,"""…조금 전에,<br>상처투성이인 이분을 업은<br>아크스 한 명이 찾아왔어요."""
ra_010650_0130#0,"""그 작은 여자아이는<br>그저 『이 사람을 숨겨 줘』라고<br>그 말만 남기고 사라졌어요."""
ra_010650_0140#0,"""무슨 일이 벌어지고 있는 건지<br>저로선 모르겠지만…<br>굉장히 위험한 느낌이 들어요."""
ra_010650_0150#0,"""하지만 비밀리에 죽이려 할 정도로<br>위험한 무언가를 숨기고 있는 것 또한 사실이에요."""
ra_010650_0160#0,"""…그렇다 해도, 저는 이미<br>눈에 띄고 말았어요.<br>대놓고 움직일 수는 없습니다…"""
ra_010650_0170#0,"""하지만<br><%me> 씨."""
ra_010650_0180#0,"""당신이라면 저보다 훨씬<br>잘 움직일 수 있을 겁니다…"""
ra_010650_0190#0,"""부탁입니다, 나베리우스의 비밀을<br>파헤쳐 주시지 않겠어요!"""
ra_010650_0200#0,"""무리하지 않는 선이면 괜찮습니다.<br>그러니, 부디 부탁드려요…"""
ra_010650_0210#0,"""A.P.238/3/29"""
