ra_013030_0001#0,"""A.P.238/4/2"""
ra_013030_0010#0,"""응? 과거에 있었던 일에 대한 얘기?<br>다크 펄스가 나타났을 때의<br>이야기를 듣고 싶다고?"""
ra_013030_0020#0,"""그건 배운 부분이라면<br>나도 어느 정도는 기억하고 있지만…"""
ra_013030_0030#0,"""…아~ 근데 어떠려나.<br>나 앉아서 공부하는 건 잘 못했거든."""
ra_013030_0040#0,"""다 맞는지 아닌지는 모르겠지만<br>그래도 괜찮다면."""
ra_013030_0050#0,"""내가 기억하는 바로는<br>다크 펄스라는 이름이<br>나온 건 두 번이네."""
ra_013030_0060#0,"""40년 전의 전쟁과<br>10년 전에 있었던, 그거."""
ra_013030_0070#0,"""40년 전은 그거야.<br>다크 펄스 【거구】를<br>쓰러뜨렸다. 라는."""
ra_013030_0080#0,"""뭐 쓰러뜨린게 아니라<br>봉인했었다는 게 옳바르다<br>라는 것 같지만."""
ra_013030_0090#0,"""그 때의 주력 멤버였던<br>세 명이 세 영웅이 된 거야."""
ra_013030_0100#0,"""세 영웅이 중심이 되어 그 전쟁으로<br>너덜너덜해져 버린 아크스를<br>다시 일으켰다는 흐름이었을 거야."""
ra_013030_0110#0,"""아 그리고, 한 번 더 10년 전.<br>나도 기억하고 있어<br>그 때의 일은…"""
ra_013030_0120#0,"""다크 펄스에 의한<br>아크스를 향한 대규모 공세."""
ra_013030_0130#0,"""으음… 그 후의 일은 분명<br>2대 클라리스 클레이스의 힘으로<br>다크 펄스들 일당을 물리쳤을 거야."""
ra_013030_0140#0,"""하지만 그로 인해 죽어버렸고<br>지금의 클라리스 클레이스는 3대."""
ra_013030_0150#0,"""아마 그때는 그 밖에도<br>유명한 사람들이 많이 죽고<br>어쨌든 피해가 심각했어."""
ra_013030_0160#0,"""그 때 얼마나 많은 쉽이<br>추락했을까…"""
ra_013030_0170#0,"""아크스 뿐만이 아니라<br>일반 시민들에게도 피해가 발생했어."""
ra_013030_0180#0,"""우리 누나도 실종됐고…"""
ra_013030_0190#0,"""아앗, 미안해!<br>그런 얘기를 하려는 게 아니었어!"""
ra_013030_0200#0,"""뭐, 그정도 인가.<br>애매모호한 부분이 많아서 미안해.<br>왠지 기억이 잘 나지 않아서 말야."""
ra_013030_0210#0,"""지난 일을 돌이켜보면 그래도<br>이번엔 좀 나은 편일지도 모르겠네."""
ra_013030_0220#0,"""…가까운 사람이<br>당했다는 건<br>꽤나 쓰라리지만."""
ra_013030_0230#0,"""…아아, 아니.<br>제노 씨는 아직 당했다고<br>확정난 건 아니니까."""
ra_013030_0240#0,"""응 그래 맞아.<br>그냥 행방불명일 뿐이야.<br>괜찮아, 괜찮아!"""
