ra_010670_0010#0,"""<%me> 씨.<br>알겠어요. 이제야 알겠어요…"""
ra_010670_0020#0,"""동토의 환경 수치, 그리고 그 안의<br>다커 인자가 의미하는 게 무엇인지."""
ra_010670_0030#0,"""…그 동토는 지금으로부터 약<br>40년 전에 생겨난 겁니다."""
ra_010670_0040#0,"""그리고 아마도<br>다커의 손에 의해서요."""
ra_010670_0050#0,"""왜 만들어졌냐고요?<br>공격입니다, 다커의…<br>…아니."""
ra_010670_0060#0,"""…『다크 펄스』의 공격이요."""
ra_010670_0070#0,"""그래… 연대도 완벽하게 일치해…<br>왜 이렇게 간단한 걸<br>눈치채지 못했던 거지, 난."""
ra_010670_0080#0,"""40년 전, 삼영웅에게 격퇴당한<br>다커의 우두머리 『다크 펄스』.<br>그 결전지가 분명 그곳이에요."""
ra_010670_0090#0,"""원래 나베리우스는 얼음 따윈 없는<br>평온한 녹색 행성이었어요."""
ra_010670_0100#0,"""하지만 『다크 펄스』의<br>인지를 초월한 일격으로, 행성 환경이<br>바뀔 정도의 동토가 생겨난 거죠."""
ra_010670_0110#0,"""그렇게 생각하면 이상한 수치도,<br>기후의 격변도 모두 설명돼요.<br>그래서 이상했던 거예요…"""
ra_010670_0120#0,"""하지만 이것만으로는<br>목숨까지 노릴 비밀로는 부족해요.<br>분명 아직, 뭔가 더 있어요…"""
ra_010670_0130#0,"""A.P.238/3/31"""
