un_012470_0010#0,"""아… <%me>"""
un_012470_0020#0,"""…마침 잘됐네요.<br>당신도 들어주시지 않겠습니까."""
un_012470_0030#0,"""보고 드리고 싶은 것은<br>제노 씨의 행방에 대한 겁니다."""
un_012470_0040#0,"""그 다크 펄스와 후퇴 전투를<br>이어가던 저희는 점점<br>궁지에 몰리게 되었습니다."""
un_012470_0050#0,"""그래서 그는 도박을 걸었습니다.<br>저와 헤어져 다크 펄스를<br>끌어당기듯이 오지로…"""
un_012470_0060#0,"""그 후의 소식은 파악하지 못했습니다.<br>필사적으로 수색하고 있습니다만<br>흔적도 거의…"""
un_012470_0070#0,"""그런…가요…"""
un_012470_0080#0,"""【거구】라고 자칭하는 다크 펄스는<br>분명히 그를 노리고 있었습니다.<br>그는 그것을 이용한 것이겠지요."""
un_012470_0090#0,"""어째서 저렇게까지 그에게<br>그렇게까지 집착했는지, 그 이유는<br>알 수 없지만…"""
un_012470_0100#0,"""…이유는, 알겠어.<br>원래의 몸이 겟템하르트였으니까<br>제노를 집요하게 노리고 있었어."""
un_012470_0110#0,"""제노도 그걸 알고 있었으니까<br>자신이 미끼가 되는 행동을…"""
un_012470_0120#0,"""…면목이 없습니다.<br>제가 따라다니면서 이런<br>사태가 벌어질 줄이야…"""
un_012470_0130#0,"""괜찮아요, 제노라면<br>분명 그렇게 할 줄 알았어요."""
un_012470_0140#0,"""그리고, 아직 돌아오지 않았을 뿐이지<br>언젠가는 돌아올 테니까<br>괜찮아요… 괜찮아요."""
un_012470_0150#0,"""…네, 그렇습니다.<br>저도 그렇게 믿고 있습니다."""
un_012470_0160#0,"""죄송합니다. 저는 아직 다른 분들께<br>연락할 일이 있어서<br>이만 실례하겠습니다."""
un_012470_0170#0,"""…응? 왜 그래?<br>내 얼굴에 뭐가 묻었어?"""
un_012470_0180#0,"""괜찮아, 난 괜찮아.<br>기다리는 건 익숙하니까."""
un_012470_0190#0,"""그보다 제노가 자리를 비운 동안에는<br>내가 그 만큼 더 열심히 해야겠지!"""
un_012470_0200#0,"""…좋아, 열심히 할게!"""
un_012470_0210#0,"""A.P.238/4/3"""
un_012470_0220#0,"""A.P.238/4/3"""
