name_7441#0,"""Shirayuki"""
ssn_015480_0001#0,"""เป็น ARKS จาก Aelio สินะ? เคยได้ยินข่าวลือมาบ้างเหมือนกัน"""
ssn_015480_0002#0,"""อยากจะเห็นฝีมือนั่นด้วยตาตัวเองจริงๆ จะตั้งตารอเลยล่ะ"""
ssn_015480_0101#0,"""อืม เธอเองเหรอ พอมาคิดดูแล้ว เรายังไม่ได้แนะนำตัวกันเลยนี่"""
ssn_015480_0102#0,"""ฉัน Shirayuki เป็นผู้บัญชาการกองร้อยรบที่ 3 สังกัดกองทหาร Stia"""
ssn_015480_0103#0,"""รู้สึกสนใจในฝีมือของเธอขึ้นมาน่ะ"""
ssn_015480_0104#0,"""ถ้าไม่รังเกียจ อยากจะขอดูความแข็งแกร่งนั่นหน่อยจะได้ไหม"""
ssn_015480_0201#0,"""เป้าหมายคือ Night-shifted Alter"""
ssn_015480_0202#0,"""สถานที่คือ Outer Mediola: Sector 2"""
ssn_015480_0203#0,"""ไปแสดงฝีมือให้เห็นหน่อยสิ ขอให้โชคดีนะ"""
ssn_015480_0301#0,"""งั้นเหรอ ไว้โอกาสหน้าแล้วกัน"""
ssn_015480_1001#0,"""อืม เธอเองเหรอ ถ้าไม่ขัดข้อง อยากจะให้แสดงการต่อสู้ให้ดูอีกสักครั้งน่ะ"""
ssn_015480_1002#0,"""จะช่วยทำให้หน่อยได้ไหม?"""
ssn_015480_1101#0,"""เป้าหมายมี 2 อย่างคือ 'Volt Remnus' และ 'Dark Remnus'"""
ssn_015480_1102#0,"""สามารถพบได้ที่ Stia Outskirts และ Outer Mediola: Sector 2 ตามลำดับ"""
ssn_015480_1103#0,"""เอาล่ะ ลองไปจัดการดูสิ ขอให้โชคดีนะ"""
ssn_015480_1201#0,"""งั้นเหรอ ไว้โอกาสหน้าแล้วกัน"""
