name_7441#0,"""Shirayuki"""
ssn_015640_0001#0,"""มีแต่คนคอยจับตาดูเธออยู่นะ"""
ssn_015640_0002#0,"""แหม จะปล่อยให้เธอสนุกอยู่คนเดียวก็ไม่ได้ใช่ไหมล่ะ?"""
ssn_015640_0101#0,"""ด้วยฝีมือตอนนี้ คงพูดได้เต็มปากเลยว่าแทบจะไร้เทียมทานแล้วล่ะ"""
ssn_015640_0102#0,"""แต่สงครามไม่เคยหยุดพัก เราจะละเลยการฝึกฝนไม่ได้หรอกนะ"""
ssn_015640_0103#0,"""เพราะงั้น ฉันเลยมีข้อเสนอมาให้น่ะ"""
ssn_015640_0104#0,"""ทำไมไม่ลองขัดเกลาทักษะของตัวเองให้ถึงขีดสุดดูล่ะ?"""
ssn_015640_0201#0,"""ลองผลักดันคลาสให้ไปถึงขีดสุดดูไหม?"""
ssn_015640_0202#0,"""ขีดจำกัดของเธอจะไปได้ไกลแค่ไหนกันนะ? เป็นภาพที่น่าดูชมเลยล่ะ"""
ssn_015640_0301#0,"""เอาล่ะ ไว้โอกาสหน้าแล้วกัน"""
ssn_015640_0401#0,"""...เข้าใจล่ะ นั่นคือภาพลักษณ์ตอนที่เธอแข็งแกร่งที่สุดสินะ..."""
ssn_015640_0402#0,"""อ้อ มองออกสิ ต่อให้ไม่เห็นตอนเคลื่อนไหว แค่ดูก็รู้แล้ว"""
ssn_015640_0403#0,"""หึๆ... เธอมีอะไรให้ประหลาดใจเต็มไปหมดเลยจริงๆ สมแล้วที่เป็น ARKS ที่ผู้บัญชาการ Guren ยอมรับ"""
ssn_015640_0404#0,"""แต่จะปล่อยให้สนุกอยู่คนเดียวไม่ได้หรอกนะ ฉันเองก็จะขยันฝึกฝนไม่ให้ตามหลังเธอหรอก"""
ssn_015640_0501#0,"""หึๆ... เธอมีอะไรให้ประหลาดใจเต็มไปหมดเลยจริงๆ สมแล้วที่เป็น ARKS ที่ผู้บัญชาการ Guren ยอมรับ"""
ssn_015640_0502#0,"""ฉันเองก็จะขยันฝึกฝนไม่ให้ตามหลังเหมือนกัน มาพัฒนาฝีมือกันต่อไปเถอะ"""
