11_voice_NPC_5050_104#0,"""아크스 쉽의 커여운 애들에<br>의한 쿠로의 평가 듣기…?"""
Kuro_01_020#0,"""임무 중에는 잡담을 자제하고 있습니다.<br>양해 부탁드립니다."""
Kuro_01_030#0,"""……허나<br>굳이 말씀 드리자면…"""
Kuro_01_040#0,"""제가 앞을 지나갈 때 마다<br>「누님, 밟아달라옹!」<br>라고 하는걸 그만뒀으면 합니다."""
Kuro_01_050#0,"""이상입니다.<br>그럼 임무가 있으므로<br>여기까지 하겠습니다."""
11_voice_NPC_5050_104#1,"""아크스 훈련소에 있는<br>연습 퀘스트의 느낌은<br>어떠셨습니까?"""
itsuki_01_020#0,"""각 클래스의 기본적인 개념이나<br>포톤아츠나 테크닉의 사용법 등을<br>확인할 수 있습니다."""
itsuki_01_030#0,"""각각의 연습 퀘스트는<br>언제든지 도전할 수 있으니<br>마음껏 시도해 보세요."""
itsuki_01_040#0,"""어떤 적을 조우하든 항상<br>준비가 될 수 있도록 하기 위해<br>시설을 활용해주셨으면 합니다."""
Npc50_01_010#0,"""가나다라마바사아자차카타파하!<br>가나다 라마바 사아자 차카타 파하임!<br>글자 수 체크를 위해 메시지 박스 사이즈 잰다<br>메시지 박스 대물 ㅗㅜㅑ 개쩐다;"""
Npc50_02_010#0,"""업무 중이기 때문에 임무 외적 대화는<br>최대한 자제하고 있습니다. 양해 부탁드립니다."""
Npc50_03_010#0,"""아크스의 규율은 최대한 느슨하게<br>자유도가 높도록 하고 있습니다.<br>누구든 그 직무를 동경할 수 있도록."""
Npc50_03_020#0,"""その分、能力解放などの条件を厳しく<br>成長するには本気の努力が必要です。<br>飴と鞭、のようなものですね。"""
Npc50_04_010#0,"""아크스의 규율은 최대한 느슨하게<br>자유도가 높도록 하고 있습니다.<br>누구든 그 직무를 동경할 수 있도록."""
Npc50_04_020#0,"""その分、能力解放などの条件を厳しく<br>成長するには本気の努力が必要です。<br>飴と鞭、のようなものですね。"""
Npc50_05_010#0,"""아크스의 규율은 최대한 느슨하게<br>자유도가 높도록 하고 있습니다.<br>누구든 그 직무를 동경할 수 있도록."""
Npc50_05_020#0,"""その分、能力開放などの条件を厳しく<br>成長するには本気の努力が必要です。<br>飴と鞭、のようなものですね。"""
Npc50_06_010#0,"""아크스にとっての規範となるべきは<br>六芒均衡ですが、その選定は実力でのみ<br>選ばれています。"""
Npc50_06_020#0,"""とはいえ、かの方々にそれを求めるのは<br>酷というものでしょう。設立から未だ<br>四十年弱。今代は年若い人も多いです。"""
Npc50_06_030#0,"""ですからせめて、我々管理官は<br>規律と礼節を重んじなければいけない。<br>適材適所というやつですね。"""
Npc50_07_010#0,"""아크스にとっての規範となるべきは<br>六芒均衡ですが、その選定は実力でのみ<br>選ばれています。"""
