a1#0,"""Завершите определённый частный заказ"""
a2#0,"""Завершите определённый частный заказ"""
a3#0,"""Получите лиц. одобр-я \""СТ\"" сложности"""
a4#0,"""Получите лиц. одобр-я \""СТ\"" сложности"""
a5#0,"""Получите лиц. одобр-я \""СТ\"" сложности"""
Title#0,"""Т: ОПнВК: Enhancer"""
Explanation#0,"""Данная миссия представляет из себя тренировку,<br>предпологающую проникновение на вражеский<br>корабль в VR. Разные враги с разных планет,<br>собранные здесь благодаря исследованиям,<br>размещены в разных местах, создавая ситуации<br>труднее, чем в прошлом. Максимально используйте<br>способности каждого, и прорывайтесь.<br>――――――――――――――――――――<br>Одолейте врага из конечной области."""
SimpleExplanation#0,"""Доберитесь до конца!"""
Area0S#0,"""Окресности центра"""
Area0L#0,"""Внутри вражеского боевого корабля: Окресности центра"""
Area1S#0,"""Центральный сектор"""
Area1L#0,"""Внутри вражеского боевого корабля: Центральный сектор"""
NpcComMsg1#0,"""Вы почти дошли до конца этой<br>тренировки...<br>Вас вот-вот перенесут в камеру<br>главного реактора!"""
NpcComMsg2#0,"""Мы поставили сильного врага на<br>охрану главного сектора.<br>Ваша миссия - одолеть<br>Грав Экзекур."""
NpcComMsg3#0,"""Приложите все усилия,<br>и не переутомитесь!"""
NpcComMsg1#1,"""Тренировка вот-вот начнётся!<br>Ваша цель - пробраться в сектор<br>с системой повышенной<br>безопасности, и победить<br>главного врага, охраняющего<br>главный сектор."""
NpcComMsg2#1,"""Для начала, вам нужно взять<br>под контрль все близлежащие<br>сектора и расчистить путь<br>к центру."""
NpcComMsg3#1,"""Я проведу вас через каждый<br>сектор.<br>А теперь, приступим<br>к тренировке!"""
