name_7224#0,"""Xitrae"""
ssn_019090_002_0001#0,"""Hey, thanks for showing up. Lemme introduce myself once more."""
ssn_019090_002_0002#0,"""My name is Xitrae. I'm with Central City's Supply Corps. We handle supplies and resources that support our daily lives as well as our daily battles."""
ssn_019090_002_0003#0,"""So, moving to the issue at hand..."""
ssn_019090_002_0004#0,"""To thank ARKS for all their hard work, the Supply Corps have been working with Logistics to throw a party."""
ssn_019090_002_0005#0,"""As a surprise, we had made a bunch of these peculiar little white round treats called Tsukimi Dango."""
ssn_019090_002_0006#0,"""But, get this... While we were having them transported by truck, some of them went missing."""
ssn_019090_002_0007#0,"""As a member of the Transportation Division, this is absolutely humiliating!"""
ssn_019090_002_0008#0,"""After everyone put so much effort into making them! Ohoh, as soon as I find out where, when, and WHO has them, I'll...!"""
ssn_019090_002_0009#0,"""... Ahem. Let's just say that's a bit of the anger that's been running around in my head."""
ssn_019090_002_0010#0,"""... And, while I'd love to look for the culprit myself, I've got my hands full with setting up the rest of the party."""
ssn_019090_002_0011#0,"""And so I was like, hey, it'd be really cool if I could get you to help me out with this... and stuff."""
ssn_019090_002_0012#0,"""I've contacted a few of the people who were at the scene, so could I ask you to hear what they have to say?"""
ssn_019090_002_0013#0,"""I fully intend to thank you properly."""
ssn_019090_002_0014#0,"""Alright, thanks again!"""
ssn_019090_002_0015#0,"""<%me>! Thanks for showing up."""
ssn_019090_002_0016#0,"""So, moving right to the issue at hand..."""
ssn_019090_002_0017#0,"""Welcome back! How did it go? Find anything out?"""
ssn_019090_002_0018#0,"""Just give me a name, and I PROMISE you they will wish they had NEVER--"""
ssn_019090_002_0019#0,"""... Okay, stay cool, Xitrae. Stay cool..."""
ssn_019090_002_0020#0,"""Deep breaths... In and out..."""
ssn_019090_002_0021#0,"""Alright, why not just give me a brief summary."""
ssn_019090_002_0022#0,"""..."""
ssn_019090_002_0023#0,"""I see... A small, round... something... with hands."""
ssn_019090_002_0024#0,"""I... see..."""
ssn_019090_002_0025#0,"""Huh? What could that be...?"""
ssn_019090_002_0026#0,"""Can you make any heads or tails of that description?"""
ssn_019090_002_0027#0,"""Oh yeah! Doesn't get much more \""round\"" than those guys!"""
ssn_019090_002_0028#0,"""But, Gororons aren't exactly small, are they?"""
ssn_019090_002_0029#0,"""あの、マッタリしてるアイツね！<br>テイムズかぁ、それは考えてなかったな。"""
ssn_019090_002_0030#0,"""でも、本当にサニィなのかなぁ……？"""
ssn_019090_002_0031#0,"""いつも、トレーニングを欠かさないアイツね。<br>確かに、いつも岩を持ってるよね。"""
ssn_019090_002_0032#0,"""でも、ザウーダン・ロアって、丸い……かなぁ。"""
ssn_019090_002_0033#0,"""うーん……。<br>なんか、違う気がするなぁ。"""
ssn_019090_002_0034#0,"""そうだ！\u3000こうなったらオダンゴでおびき出してみよう！<br><%me>、手伝ってくれる？"""
ssn_019090_002_0035#0,"""……丸くて、小さくて、手がある……。"""
ssn_019090_002_0036#0,"""なるほどぉ……。<br>そういうことかぁ……。"""
ssn_019090_002_0037#0,"""ちょっと、そのツキミ・ラッピーを追いかけてみて！"""
ssn_019090_002_0038#0,"""おかえり。<br>わざわざ、ごめんね。"""
ssn_019090_002_0039#0,"""……犯人が、<br>まさかラッピーだったとはね。"""
ssn_019090_002_0040#0,"""ドールズだったら、絶対に許さないけど、<br>まぁ……ラッピーだったら仕方ないか。"""
ssn_019090_002_0041#0,"""アレに下手なことをしたら、<br>また、ボクの上司が泣くしね……。"""
ssn_019090_002_0042#0,"""今回のことは、<br>エネミー襲撃時のアクシデントってことにしておくよ。"""
ssn_019090_002_0043#0,"""……ツキミダンゴは、この時期の空に輝く星、<br>ガイーラに見立てた食べ物って言われててね。"""
ssn_019090_002_0044#0,"""自分の歳の数だけ食べると、<br>いいことがあるって言われてるんだ。"""
ssn_019090_002_0045#0,"""だから、できる限り多くのアークスに、<br>配ってあげたいって思ってたんだよね。"""
ssn_019090_002_0046#0,"""でも、なくなったら、<br>また作ればいいだけの話。"""
ssn_019090_002_0047#0,"""ちょっと、材料の調達は大変だけど……。"""
ssn_019090_002_0048#0,"""もしよかったら、キミも食べてみてよ。"""
ssn_019090_002_0049#0,"""さてと、問題も解決……したし。"""
ssn_019090_002_0050#0,"""した？\u3000したかな？<br>……いいや、したことにしよう。"""
ssn_019090_002_0051#0,"""ボクは、次の仕事に移ることにするよ。"""
ssn_019090_002_0052#0,"""今回は、本当にありがとう。<br>また、なにかあったら頼らせてもらうね。"""
ssn_019090_002_0053#0,"""よろしく！"""
ssn_019090_002_0054#0,"""補給は戦いの生命線！"""
ssn_019090_002_0055#0,"""ちょっとやそっとの襲撃で、<br>へこたれたりしないよ！"""
npc_select_0001#0,"""ゴロロンかも……？"""
npc_select_0002#0,"""サニィかな……？"""
npc_select_0003#0,"""ザウーダン・ロアな気がする……。"""
npc_menu_0001#0,"""チケットと交換する"""
npc_menu_0002#0,"""シーズナルポイントと交換する（$(0)まで）"""
npc_menu_0003#0,"""シーズナルイベントについて聞く"""
npc_menu_0004#0,"""メニューを閉じる"""
npc_menu_0005#0,"""“シーズナルイベント”について"""
npc_menu_0006#0,"""“シーズナルイベントキャラクター”について"""
npc_menu_0007#0,"""“デイリー／ウィークリータスク”について"""
npc_menu_0008#0,"""“ミスチーフシンボル”について"""
npc_menu_0009#0,"""“シーズナルギャザリング”について"""
npc_menu_0010#0,"""“シーズナルリージョンマグ”について"""
npc_menu_0011#0,"""“シーズンエネミー”について"""
npc_menu_0012#0,"""“ワールドトライアル”について"""
npc_menu_0014#0,"""聞きたいことはない"""
npc_menu_0015#0,"""ギャザリング素材と交換する"""
