ssc_501120_0010#0,"""어, 어이!"""
ssc_501120_0020#0,"""안녕!"""
ssc_501120_0030#0,"""보기 드문 조합이네."""
ssc_501120_0040#0,"""이루마, 여기에 왔었어?"""
ssc_501120_0050#0,"""마논 일행의 청취 때문에,<br>부름을 받아서."""
ssc_501120_0060#0,"""마논 일행의 청취 때문에,<br>부름을 받았었어."""
ssc_501120_0070#0,"""나는,<br>그런 얘기를 듣고 싶어서."""
ssc_501120_0080#0,"""굳이 걱정할 거 없이,<br>둘 다 괜찮아."""
ssc_501120_0090#0,"""답답하게 만들고 있지만,<br>처우에 대한 불만은 없는 것 같아."""
ssc_501120_0100#0,"""다른 사람들도 마찬가지야."""
ssc_501120_0110#0,"""하지만, 문제는…."""
ssc_501120_0120#0,"""청취가 잘 안돼?"""
ssc_501120_0130#0,"""정보 수집이 문제?"""
ssc_501120_0140#0,"""맞아.<br>조금 고전하고 있달까."""
ssc_501120_0150#0,"""그것도 있지."""
ssc_501120_0160#0,"""그들도 루시엘에서 맡은 역할이 있고,<br>각자 맡은 역할이 다르거든."""
ssc_501120_0170#0,"""가지고 있는 정보도 제각각이라서,<br>정리하는 데 애먹고 있어."""
ssc_501120_0180#0,"""그래도, 그보다 더 어려운 것은…."""
ssc_501120_0190#0,"""애초에 의사소통이 문제야."""
ssc_501120_0200#0,"""예를 들어 「루시엘에 관한 걸 알려줘」라고<br>질문하잖아?"""
ssc_501120_0210#0,"""그랬더니 그 사람들의 루시엘의 제작 과정이나<br>그 기능에 대해서 세세하게 말하기 시작해."""
ssc_501120_0220#0,"""마치 감정이 없는 기계가,<br>데이터를 읽어주는 것 처럼 말이지."""
ssc_501120_0230#0,"""…마논도 처음엔 그런 느낌이었어."""
ssc_501120_0240#0,"""말을 걸어도<br>최소한의 대답만 해."""
ssc_501120_0250#0,"""아버지들도<br>어떻게 대해야 할지 난감했어."""
ssc_501120_0260#0,"""아마, 그 사람들에게 있어<br>그게 정상이었을 거야."""
ssc_501120_0270#0,"""하지만 지금의 마논은 달라."""
ssc_501120_0280#0,"""맞아."""
ssc_501120_0290#0,"""지금은 마논이 중간에 들어와서<br>어떻게든 대화를 이어갈 수 있어."""
ssc_501120_0300#0,"""시간을 두고 대하면,<br>언젠가는 그들도 변할 것…."""
ssc_501120_0310#0,"""…그렇게 생각하고 싶어."""
ssc_501120_0320#0,"""그리고 또 하나<br>그들에 관해서인데."""
ssc_501120_0330#0,"""앞으로는,<br>\""루시에란\""이라고 부르기로 했어."""
ssc_501120_0340#0,"""루시에란?"""
ssc_501120_0350#0,"""그들은 더 이상 적이 아니야."""
ssc_501120_0360#0,"""언제까지고 \""리서전트 아크스\""로 있으면<br>앙금이 사라지지 않을 테니까."""
ssc_501120_0370#0,"""그렇구나."""
ssc_501120_0380#0,"""…루시에란."""
ssc_501120_0390#0,"""응.<br>좋은 호칭이네."""
