line01#0,"""4択クイズ、開始！<br>（全2問）"""
name010#0,"""ナズーン"""
text010#0,"""\\クイズ会場が解放されましたね！<br>それでは、<red>このリューカーデバイスどこでしょうクイズ<c><br>スタートです！"""
text020#0,"""\\それでは、表示される画像を見て<br>どこに配置されているリューカーデバイスか<br>当ててください！じゃん！"""
text030#0,"""\\正解だと思う足場へ向かってください！<br><red>20秒後に正解発表<c>です！<br>カウントダウンスタート！"""
text040#0,"""タイムアーップ！<br>正解は…"""
text050#0,"""\\続いて、次の問題です！<br>じゃん！"""
text060#0,"""\\それでは、最後の問題です！<br>じゃん！"""
text080#0,"""\\これですべてのプログラムは終了…<br>おっと！会場にエネミーが乱入したようです！<br>イベントを締める前に片づけてしまいましょう！"""
line02#0,"""正解だと思う領域に向かえ！<br>10秒後に結果発表だ！"""
line03#0,"""タイムアップ！<br>正解は…"""
line04#0,"""次の会場に移動します"""
quiz00_01#0,"""なし"""
quiz00_02#0,"""."""
quize_explanation#0,"""このリューカーデバイスはどこでしょう？"""
Title#0,"""このリューカーデバイスはどこでしょう？"""
quize_wait#0,"""全員が画像見終わるのを待ちます"""
quiz01#0,"""このリューカーデバイスはどこでしょう？"""
quize01_select1#0,"""クライアノ断崖"""
quize01_select2#0,"""ラーカウ海岸"""
quize01_select3#0,"""ハルファナ平原：東"""
quize01_select4#0,"""ハルファナ平原：北"""
quize02_select1#0,"""ハルファナ平原：東"""
quize02_select2#0,"""ハルファナ平原：北"""
quize02_select3#0,"""マグナス山：西"""
quize02_select4#0,"""バルフロウ大瀑布：西"""
quize03_select1#0,"""マグナス山：西"""
quize03_select2#0,"""バルフロウ大瀑布"""
quize03_select3#0,"""ラーカウ海岸"""
quize03_select4#0,"""カナイ島"""
quize04_select1#0,"""イハナ山：西"""
quize04_select2#0,"""ダナン雪原：西"""
quize04_select3#0,"""ベルガナ遺跡：北"""
quize04_select4#0,"""ラトヴァ山：北"""
quize05_select1#0,"""ダナン雪原：西"""
quize05_select2#0,"""ミストラ樹林：北"""
quize05_select3#0,"""クイール山道"""
quize05_select4#0,"""イハナ山：東"""
quize01_correct#0,"""<red>クライアノ断崖<c>でした！<br>正解おめでとうございます！<br>正解数+１です！"""
quize01_incorrect#0,"""<red>クライアノ断崖<c>でした！<br>く～ぅ、残念！！"""
quize02_correct#0,"""<red>ハルファナ平原：東<c>でした！<br>正解おめでとうございます！<br>正解数+１です！"""
quize02_incorrect#0,"""<red>ハルファナ平原：東<c>でした！<br>く～ぅ、残念！！"""
quize03_correct#0,"""<red>マグナス山：西<c>でした！<br>正解おめでとうございます！<br>正解数+１です！"""
quize03_incorrect#0,"""<red>マグナス山：西<c>でした！<br>く～ぅ、残念！！"""
quize04_correct#0,"""<red>イハナ山：西<c>でした！<br>正解おめでとうございます！<br>正解数+１です！"""
quize04_incorrect#0,"""<red>イハナ山：西<c>でした！<br>く～ぅ、残念！！"""
quize05_correct#0,"""<red>ダナン雪原：西<c>でした！<br>正解おめでとうございます！<br>正解数+１です！"""
quize05_incorrect#0,"""<red>ダナン雪原：西<c>でした！<br>く～ぅ、残念！！"""
quize06_select1#0,"""マグナス山：東"""
quize06_select2#0,"""マグナス山：西"""
quize06_select3#0,"""バルフロウ大瀑布：西"""
quize06_select4#0,"""ピコット山"""
quize06_correct#0,"""<red>マグナス山：東<c>でした！<br>正解おめでとうございます！<br>正解数+１です！"""
quize06_incorrect#0,"""<red>マグナス山：東<c>でした！<br>く～ぅ、残念！！"""
quize07_select1#0,"""ラーカウ海岸"""
quize07_select2#0,"""クライアノ断崖"""
quize07_select3#0,"""エアリオタウン跡"""
quize07_select4#0,"""カナイ島"""
quize07_correct#0,"""<red>ラーカウ海岸<c>でした！<br>正解おめでとうございます！<br>正解数+１です！"""
quize07_incorrect#0,"""<red>ラーカウ海岸<c>でした！<br>く～ぅ、残念！！"""
quize08_select1#0,"""ベルガナ遺跡：南"""
quize08_select2#0,"""ベルガナ遺跡：北"""
quize08_select3#0,"""ミストラ樹林：南"""
quize08_select4#0,"""ダナン雪原"""
quize08_correct#0,"""<red>ベルガナ遺跡：南<c>でした！<br>正解おめでとうございます！<br>正解数+１です！"""
quize08_incorrect#0,"""<red>ベルガナ遺跡：南<c>でした！<br>く～ぅ、残念！！"""
quize09_select1#0,"""ミストラ樹林：南"""
quize09_select2#0,"""ベルガナ遺跡：北"""
quize09_select3#0,"""ベルガナ遺跡：南"""
quize09_select4#0,"""ダナン雪原"""
quize09_correct#0,"""<red>ミストラ樹林：南<c>でした！<br>正解おめでとうございます！<br>正解数+１です！"""
quize09_incorrect#0,"""<red>ミストラ樹林：南<c>でした！<br>く～ぅ、残念！！"""
quize10_select1#0,"""ラトヴァ山：北"""
quize10_select2#0,"""ダナン雪原：西"""
quize10_select3#0,"""ベルガナ遺跡：北"""
quize10_select4#0,"""イハナ山：西"""
quize10_correct#0,"""<red>ラトヴァ山：北<c>でした！<br>正解おめでとうございます！<br>正解数+１です！"""
quize10_incorrect#0,"""<red>ラトヴァ山：北<c>でした！<br>く～ぅ、残念！！"""
quize11_select1#0,"""ステッキン低地"""
quize11_select2#0,"""モラーバ渓谷"""
quize11_select3#0,"""サガーン山道：西"""
quize11_select4#0,"""サガーン山道：東"""
quize11_correct#0,"""<red>ステッキン低地<c>でした！<br>正解おめでとうございます！<br>正解数+１です！"""
quize11_incorrect#0,"""<red>ステッキン低地<c>でした！<br>く～ぅ、残念！！"""
quize12_select1#0,"""サガーン山道：東"""
quize12_select2#0,"""モラーバ渓谷"""
quize12_select3#0,"""サガーン山道：西"""
quize12_select4#0,"""ステッキン低地"""
quize12_correct#0,"""<red>サガーン山道：東<c>でした！<br>正解おめでとうございます！<br>正解数+１です！"""
quize12_incorrect#0,"""<red>サガーン山道：東<c>でした！<br>く～ぅ、残念！！"""
quize13_select1#0,"""アルディマンド砂漠"""
quize13_select2#0,"""トリニテス"""
quize13_select3#0,"""ダルスマブル砂漠"""
quize13_select4#0,"""ガルネール海岸：東"""
quize13_correct#0,"""<red>アルディマンド砂漠<c>でした！<br>正解おめでとうございます！<br>正解数+１です！"""
quize13_incorrect#0,"""<red>アルディマンド砂漠<c>でした！<br>く～ぅ、残念！！"""
quize14_select1#0,"""ダルスマブル砂漠"""
quize14_select2#0,"""トリニテス"""
quize14_select3#0,"""アルディマンド砂漠"""
quize14_select4#0,"""ガルネール海岸：東"""
quize14_correct#0,"""<red>ダルスマブル砂漠<c>でした！<br>正解おめでとうございます！<br>正解数+１です！"""
quize14_incorrect#0,"""<red>ダルスマブル砂漠<c>でした！<br>く～ぅ、残念！！"""
quize15_select1#0,"""ガルネール海岸：西"""
quize15_select2#0,"""ステッキン低地"""
quize15_select3#0,"""アルディマンド砂漠"""
quize15_select4#0,"""ガルネール海岸：東"""
quize15_correct#0,"""<red>ガルネール海岸：西<c>でした！<br>正解おめでとうございます！<br>正解数+１です！"""
quize15_incorrect#0,"""<red>ガルネール海岸：西<c>でした！<br>く～ぅ、残念！！"""
quize16_select1#0,"""アルテラベース"""
