ssc_508040_0010#0,"""…후우,"""
ssc_508040_0020#0,"""여기서 뭐 하고 있어?"""
ssc_508040_0030#0,"""이번인 무슨 조사야?"""
ssc_508040_0040#0,"""응?"""
ssc_508040_0050#0,"""아아, 너구나."""
ssc_508040_0060#0,"""응?"""
ssc_508040_0070#0,"""아아, 너구나.<br>조사라고 해야 하나…."""
ssc_508040_0080#0,"""그곳의 환경관리 유닛의 상태를<br>확인하던 참이야."""
ssc_508040_0090#0,"""환경곤리 유닛?"""
ssc_508040_0100#0,"""……？"""
ssc_508040_0110#0,"""응, 맞아."""
ssc_508040_0120#0,"""아아, 미안 미안."""
ssc_508040_0130#0,"""리전의 경계에 있는<br>저기 있는 큰 기계를 말하는 거야."""
ssc_508040_0140#0,"""아무래도 이게,<br>할파의 환경을 통제하고 있는 것 같아."""
ssc_508040_0150#0,"""예전부터<br>그런 얘기가 나돌았는데."""
ssc_508040_0160#0,"""루시에란이 알려준 정보로<br>자세한 내용을 알게 되었어."""
ssc_508040_0170#0,"""그래서, 이거랑 같은 게<br>외해 쪽에도 있거든."""
ssc_508040_0180#0,"""그런 건 본 적이 없어."""
ssc_508040_0190#0,"""바다 밖으로는 갈 수 없어?"""
ssc_508040_0200#0,"""뭐, 그렇겠지."""
ssc_508040_0210#0,"""응.<br>그렇겠네…."""
ssc_508040_0220#0,"""이 섬 전체의 환경 제어는,<br>저 루시엘에서 하고 있어."""
ssc_508040_0230#0,"""섬의 바깥은 대기 구성이,<br>우리에게 적합하지 않은 것으로 되어 있어."""
ssc_508040_0240#0,"""그래서 밖으로 나갈 수 없어."""
ssc_508040_0250#0,"""아, 참고로 \""섬\"" 이란 건,<br>지금 우리가 서 있는 이 땅을 말해."""
ssc_508040_0260#0,"""루시에란들은,<br>할파 본섬이라던가 중앙 섬이라고 그렇게 불렀지."""
ssc_508040_0270#0,"""…그래서, 그 \""섬\""에 관한 건데…."""
ssc_508040_0280#0,"""리젠트 아크스는<br>여기 말고도 많을 섬을 조성했다고 해."""
ssc_508040_0290#0,"""대부분, 사용하지 않은 채로<br>버려졌다는 얘기지만."""
ssc_508040_0300#0,"""그 중 몇 개가<br>얼마 전에 발견된 실험섬이구나."""
ssc_508040_0310#0,"""크리에이티브 스페이스라고,<br>그렇게 부르는 모양이야."""
ssc_508040_0320#0,"""각각의 섬에는,<br>류커 디바이스에서 갈 수 있어."""
ssc_508040_0330#0,"""뭐, 전송 어드레스를 알아야… 하지만."""
ssc_508040_0340#0,"""너도 그 실험섬에 가본 적이 있어?"""
ssc_508040_0350#0,"""가봤어."""
ssc_508040_0360#0,"""아직."""
ssc_508040_0370#0,"""그렇구나."""
ssc_508040_0380#0,"""만약에 뭔가,<br>만들어 볼 생각이 있으면 흥미로워."""
ssc_508040_0390#0,"""완성되면 보여줬으면 좋겠네."""
