name_7258#0,"""아쳬"""
msn_016000_002_0000#0,"""도착한 모양이네!<br>거기가 바로 크리에이티브 스페이스야."""
msn_016000_002_0001#0,"""데이터에 의하면, 그런 \""섬\""이<br>그 밖에도 무수히 많이 존재하는 것 같아."""
msn_016000_002_0002#0,"""그러니, 그 섬은 너만의 섬이야!<br>어때? 대단하지 않아?"""
msn_016000_002_0003#0,"""뭐든 상관 없으니,<br>자유롭게 해봐 괜찮으니까!"""
msn_016000_002_0004#0,"""앗, 그래그래.<br>눈 앞에 건물이 보여?"""
msn_016000_002_0005#0,"""저거 내가 만들었어~<br>제법 괜찮지 않아?"""
msn_016000_002_0006#0,"""마음대로 써도 괜찮아,<br>뭣하면 부숴버려도 OK!"""
msn_016000_002_0007#0,"""우선 섬 안에 있는<br>물질을 조작하는 방법부터 알려 줄게!"""
Guide_1#0,"""편집 모드로 전환하기: """
Guide_2#0,"""<%MainPaletteC>"""
