name_7258#0,"""아쳬"""
ssq_016024_0010#0,"""응, 좋아!"""
ssq_016024_0020#0,"""그렇게 빌드 파츠를 커스터마이즈 해서,<br>좋아하는 공간을 만들면 돼."""
ssq_016024_0030#0,"""자!<br>빌드 파츠의 조작은 이걸로 끝!"""
ssq_016024_0040#0,"""크리에이티브 스페이스의 놀라운 점을<br>하나 더 알려줄게."""
ssq_016024_0050#0,"""사실, 거기는…<br>지형도 조작할 수 있어!"""
ssq_016024_0060#0,"""원리는, 아직 밝혀지지 않았지만…."""
ssq_016024_0070#0,"""어렵게 생각하지 말고,<br>일단은 한번 사용해 봐!"""
Guide_1#0,"""빌드 메뉴를 열기: """
Guide_2#0,"""<%MainPaletteC>"""
Guide_3#0,"""지형 업: """
Guide_4#0,"""<%NormalAttack>"""
Guide_5#0,"""지형 다운: """
Guide_6#0,"""<%PhotonArts>"""
