name_7405#0,"""슈라프트"""
ssn_015200_004_0001#0,"""그럼, 설명하고록 하지."""
ssn_015200_004_0002#0,"""자네는 \""힌드라스 릴리\""를<br>알고있는가?"""
ssn_015200_004_0003#0,"""레졸의 숲에서 확인된<br>거대한 꽃 같은 물체다."""
ssn_015200_004_0004#0,"""자세한 건 아직 조사하고 있고,<br>생물인지 기계인지도 불분명해."""
ssn_015200_004_0005#0,"""출현 시기로 미루어 볼 때 스타레스와의 관계가 의심돼.<br>하지만, 그 조차도 확실하지 않아."""
ssn_015200_004_0006#0,"""힌드라스 릴리는 평소에는 새싹 상태이며,<br>폭발하는 포톤 탄을 주변에 뿌리고 있어."""
ssn_015200_004_0007#0,"""거기에 공격을 가하면,<br>꽃잎이 열리고 충격파와 함께 대폭발을 일으켜."""
ssn_015200_004_0008#0,"""어쩌면,<br>그 충격파가 전투에 도움이 될지도 몰라…."""
ssn_015200_004_0009#0,"""우선은, 어떤 존재인지,<br>직접 두 눈으로 확인해 줘."""
ssn_015200_004_0010#0,"""접근할 때는 충분히 조심해야 해!"""
