msc_021020_0010#0,"""…이 할파가 실험장…."""
msc_021020_0020#0,"""그리고, 그 실험체는 우리."""
msc_021020_0030#0,"""만들어진 세상…인가."""
msc_021020_0040#0,"""………。"""
msc_021020_0050#0,"""…무슨 목적으로 그런 짓을!"""
msc_021020_0060#0,"""미지의 적에 대비하고 있었다."""
msc_021020_0070#0,"""스타레스를 상대하기 위해."""
msc_021020_0080#0,"""스타레스… 라는 녀석인가."""
msc_021020_0090#0,"""바로 그거다.<br>그 스타레스란 녀석이, 대체 뭐냐!"""
msc_021020_0100#0,"""인류를 멸망의 위기로 몰아넣은 존재라고 해.<br>500년 전, 7000억 명의 목숨을 앗아갔다고…."""
msc_021020_0110#0,"""…500년? 7000억?<br>그걸 믿으라고?"""
msc_021020_0120#0,"""적어도 아무 의미 없이 이런 짓을<br>수백 년 동안 해 온 것은 아니라 생각해."""
msc_021020_0130#0,"""…큭."""
msc_021020_0140#0,"""그래.<br>그게 사실이라 해두고, 건설적인 이야기가 하고싶어."""
msc_021020_0150#0,"""그렇다먼, 그 스타레스가<br>우리에게 얼마나 큰 위협이 될지 궁금하군."""
msc_021020_0160#0,"""너희들, 스타레스를 만난 적이 있잖아?"""
msc_021020_0170#0,"""모니터 너머로 봤을 뿐이야."""
msc_021020_0180#0,"""실제로 싸운 건 아니야."""
msc_021020_0190#0,"""응. 갑자기 엄청난 수가 나타났는데,<br>제페토가 가더니…."""
msc_021020_0200#0,"""그 뒤로는 어떻게 됐는지… 모르겠어."""
msc_021020_0210#0,"""제페토가<br>아크스 강화를 위해 돌즈를 만들었다면…."""
msc_021020_0220#0,"""적어도 그 이상의 상대….<br>다크 펄스 이상의 위협으로 봐야겠네."""
msc_021020_0230#0,"""그렇지만, 그 스타레스가<br>다음에 언제 쳐들어올지도 몰라."""
msc_021020_0240#0,"""내일일 수도 있고, 수백 년 후일 수도 있어."""
msc_021020_0250#0,"""…알 수 없는 게 너무 많네."""
msc_021020_0260#0,"""그렇다면 우선 눈앞의 과제에 대해서<br>논의해야 해."""
msc_021020_0270#0,"""…돌즈에 관한 건가."""
msc_021020_0280#0,"""아직도 각지에서 활동 중이야."""
msc_021020_0290#0,"""지금도 계속 생산되고 있어?"""
msc_021020_0300#0,"""아마도 평소처럼."""
msc_021020_0310#0,"""아마도."""
msc_021020_0320#0,"""맞아. 루시엘이라면,<br>멈출 방법이 있지 않을까…?"""
msc_021020_0330#0,"""응, 너희가 탈출하는 것과 동시에<br>안에 있던 리서전트 아크스도 도망쳤어."""
msc_021020_0340#0,"""그들의 말에 따르면, 루시엘의 중심부에<br>돌즈를 통제하는 시설이 있다고 했어."""
msc_021020_0350#0,"""그럼, 지금 당장…."""
msc_021020_0360#0,"""…루시엘의 중심부로 가기 위한<br>텔레포터가 작동을 멈췄어."""
msc_021020_0370#0,"""뭐?"""
msc_021020_0380#0,"""지금은 원인을 알 수 없어."""
msc_021020_0390#0,"""스타레스의 공격 때문인지,<br>제페토가 뭔가를 한 건지…."""
msc_021020_0400#0,"""…젠장!"""
msc_021020_0410#0,"""아무 것도 바뀌지 않아.<br>아무 것도 바꿀 수 없어…."""
msc_021020_0420#0,"""우리가 해왔던 건….<br>…전부 무의미했던 건가?"""
msc_021020_0430#0,"""그렇진 않아."""
msc_021020_0440#0,"""그렌답지 않아."""
msc_021020_0450#0,"""그럼 뭐가 있지?<br>지금의 우리에게."""
msc_021020_0460#0,"""…내일…이 있어.<br>앞으로도 계속, 우리의 삶은 계속될 거야."""
msc_021020_0470#0,"""……큭."""
msc_021020_0480#0,"""…아이나의 말이 맞아.<br>우리의 미래를 위해 할 수 있는 일은 아직 남아 있을 거야."""
msc_021020_0490#0,"""이루마, 텔레포터 건에 대한 건<br>계속해서 조사해 주었으면 해."""
msc_021020_0500#0,"""알았어."""
msc_021020_0510#0,"""그리고 다른 방법도 있을 거야.<br>루시엘로 갈 방법, 돌즈를 멈출 방법…."""
msc_021020_0520#0,"""이 할파가 실험장이라 한다면 말이지."""
msc_021020_0530#0,"""그렇다.<br>류커 디바이스나, 트리니테스…."""
msc_021020_0540#0,"""이제 좀 더 자세하게 알아볼 수 있지 않을까?"""
msc_021020_0550#0,"""리서전트 아크스가<br>협조해 준다면 말이야."""
msc_021020_0560#0,"""스티아에 있는 돌즈 제조시설은 어때?"""
msc_021020_0570#0,"""그것만이라도 막을 수 없을까?"""
msc_021020_0580#0,"""그쪽도 다시 한 번 알아볼게.<br>만약의 사태에 대비해서 위험을 무릅쓰고 파괴할 수도 있어."""
msc_021020_0590#0,"""분명, 무리하게 파괴하면<br>할파의 라이프라인이 끊어질지도 모른다면서…?"""
msc_021020_0600#0,"""그래. 에너지 플랜트와 완전히 일체화되어 있네."""
msc_021020_0610#0,"""가증스럽지만, 잘 만들어졌어…."""
msc_021020_0620#0,"""최악의 경우엔, 라이프 라인만 멈추고<br>돌즈의 생산은 계속될 가능성도 있는 건가."""
msc_021020_0630#0,"""제페토는 이런 상황을 염두에 둔 걸까?"""
msc_021020_0640#0,"""제페토의 실험은 아직 끝나지 않았나?"""
msc_021020_0650#0,"""…불쾌한 녀석이다."""
msc_021020_0660#0,"""…어찌됐건,<br>각각 알아보고 나서야."""
msc_021020_0670#0,"""계속 진행할게."""
msc_021020_0680#0,"""다음은 새로운 전투에 대비해,<br>각 리전의 전력을 확인해 보자…."""
