msc_021100_0010#0,"""よく、無事で戻ってきてくれた。"""
msc_021100_0020#0,"""……ブルーダーは治療中だ。"""
msc_021100_0030#0,"""だが、幸い傷は深くない。<br>すぐに復帰できるだろう。"""
msc_021100_0040#0,"""……よかった。"""
msc_021100_0050#0,"""それで、<br>……ほかのアークスたちは？"""
msc_021100_0060#0,"""……だめだった。"""
msc_021100_0070#0,"""……そ、そうなんだ……。"""
msc_021100_0080#0,"""あれが、スターレス……か。"""
msc_021100_0090#0,"""交戦した２隊が全滅……。<br>それに、あのブルーダーまで……。"""
msc_021100_0100#0,"""……どうやら、相手は<br>こちらの都合はお構いなしのようだね。"""
msc_021100_0110#0,"""しかし、これでスターレスが<br>新たな脅威となることが確定した。"""
msc_021100_0120#0,"""迎撃の準備を、急がなくてはいけない。"""
msc_021100_0130#0,"""……それで、さっきは途中になってしまったけど、<br>キミのこれからについて話をさせてくれ。"""
msc_021100_0140#0,"""キミには、これからの戦いに向けて、<br>アークス全員にとっての“シンボル”になってほしい。"""
msc_021100_0150#0,"""シンボル？"""
msc_021100_0160#0,"""どういうこと？"""
msc_021100_0170#0,"""これまでの戦いの決定的な場面、決定的な瞬間。<br>そこに、必ずキミの姿があった。"""
msc_021100_0180#0,"""今回、スターレスを撃破できたのも、<br>キミの活躍が大きい。"""
msc_021100_0190#0,"""だからキミには、このハルファを護る存在……。"""
msc_021100_0200#0,"""“ガーディアン”に、なってほしいと思っている。"""
msc_021100_0210#0,"""……といっても、<br>キミにお願いすることは、そんなに変わらない。"""
msc_021100_0220#0,"""今までどおり、エネミーを倒して、<br>困っているヒトを助けてあげてほしい。"""
msc_021100_0230#0,"""そのキミの活躍が、僕たちの希望になる。"""
msc_021100_0240#0,"""それで、なにが変わる？"""
msc_021100_0250#0,"""名前だけってこと？"""
msc_021100_0260#0,"""呼び名ってのは、とても大切なんだ。"""
msc_021100_0270#0,"""僕たちの想いを勝手に押しつけて、<br>迷惑かもしれない。"""
msc_021100_0280#0,"""でも、キミにはその大役を引き受けてもらいたい。"""
msc_021100_0290#0,"""わかった。任せてほしい。"""
msc_021100_0300#0,"""……努力はしてみる。"""
msc_021100_0310#0,"""ありがとう。よろしく頼むよ。"""
msc_021100_0320#0,"""ふたりの今後の任務については、追って連絡する。<br>まずは、今回の戦いの分析を急ぐよ。"""
msc_021100_0330#0,"""アイナ君が言っていたとおり、“明日”のために頑張ろう。"""
