name_7258#0,"""아쳬"""
ssn_016010_0001#0,"""어서와!"""
ssn_016010_0002#0,"""크리에이티브 스페이스는 어땠어?<br>조금이라도 관심을 가져줬으면 좋겠네."""
ssn_016010_0003#0,"""그래서 내 연구를<br>도와주면 엄청 기쁠 거야."""
ssn_016010_0004#0,"""또 이런저런 걸 알려줄 테니까,<br>시간적 여유가 있을 때 얘기해줘!"""
ssn_016010_0101#0,"""크리에이티브 스페이스,<br>엄청 흥미롭지?"""
ssn_016010_0102#0,"""뭔가 물어볼 게 있어?"""
npc_menu_0001#0,"""사이드 태스크를 수주하기"""
npc_menu_0002#0,"""제네시스 포인트로 교환하기"""
npc_menu_0003#0,"""메뉴 닫기"""
ssn_016010_0201#0,"""어서와!"""
ssn_016010_0202#0,"""\""제네시스 포인트\"" 말인데,<br>기억하고 있어?"""
ssn_016010_0203#0,"""크리에이티브 스페이스에<br>더 많은 관심을 가져주면 좋겠어!"""
ssn_016010_0204#0,"""그래서 내 연구를<br>도와주면 엄청 기쁠 거야."""
ssn_016010_0205#0,"""또 이런저런 걸 알려줄 테니까,<br>시간적 여유가 있을 때 얘기해줘!"""
ssn_016010_0301#0,"""어서와!"""
ssn_016010_0302#0,"""빌드 파츠의 조작 방법,<br>기억하고 있어?"""
ssn_016010_0303#0,"""또 이런저런 걸 알려줄 테니까,<br>시간적 여유가 있을 때 얘기해줘!"""
ssn_016010_0401#0,"""어서와!"""
ssn_016010_0402#0,"""상황에 맞춰서,<br>\""입실 설정\""을 활용해 봐."""
ssn_016010_0403#0,"""또 이런저런 걸 알려줄 테니까,<br>시간적 여유가 있을 때 얘기해줘!"""
ssn_016010_0501#0,"""어서와!"""
ssn_016010_0502#0,"""일단, 내가 알려주고 싶은 것은,<br>이걸로 끝이야!"""
ssn_016010_0503#0,"""앞으로도<br>크리에이티브 스페이스를 즐겨줘!"""
ssn_016010_0504#0,"""뭔가 새로 발견하는 게 있으면<br>내게 알려줬으면 해!"""
