name_7211#0,"""シェミー"""
name_7224#0,"""시트레"""
ssn_019160_002_0010#0,"""来てくれて、ありがとうございます。<br>あらためて、自己紹介を。"""
ssn_019160_002_0020#0,"""私は、シャンディー。ハルファで発生する<br>さまざまな特異現象を研究しています。"""
ssn_019160_002_0030#0,"""あなたをお呼びしたのは、<br>最近見かけるようになった、ある生命体の……。"""
ssn_019160_002_0011#0,"""来てくれて、ありがとうございます。"""
ssn_019160_002_0021#0,"""今回、あなたをお呼びしたのは、<br>最近見かけるようになった、ある生命体の……。"""
ssn_019160_002_0040#0,"""……え？\u3000この見た目ですか？"""
ssn_019160_002_0050#0,"""……じ、実は、今回調査をお願いしたい生命体を、<br>模したもの……になっています。"""
ssn_019160_002_0060#0,"""「相手の気持ちを知るには、まず自分がその姿になるべきだ」<br>……と、ある方からこの着ぐるみを渡されまして……。"""
ssn_019160_002_0070#0,"""は……恥ずかしいのですが、<br>頑張って……着させてもらってます。"""
ssn_019160_002_0080#0,"""……그래서,調査対象の名前は、<br>\""リリーパ\""といいます。"""
ssn_019160_002_0090#0,"""その生態などは、まだ未確認 버튼으로, <br>なぜ現れたのか、どこに生息しているのかも不明です。"""
ssn_019160_002_0100#0,"""今回は、この謎の生命体の調査に、<br>協力いただければと思います。"""
ssn_019160_002_0110#0,"""まずは、目撃情報があった場所に、<br>向かってもらえますか？"""
ssn_019160_002_0120#0,"""よろしくお願いします。"""
ssn_019160_002_0210#0,"""お疲れ様でした！<br>ご協力に感謝します！"""
ssn_019160_002_0220#0,"""これでリリーパさん達の様子がわかったの 버튼으로, <br>報告書をまとめることができます！"""
ssn_019160_002_0230#0,"""……あの～<br>ついでにもう一つお願いがありまして……"""
ssn_019160_002_0240#0,"""最近「레졸의 숲」のほうでも、生態系に変化があったのか、<br>不思議な植物が植生するようになって……"""
ssn_019160_002_0250#0,"""こちらの調査をお願いできますか？"""
ssn_019160_002_1010#0,"""<%me> 씨,<br>ありがとうございます。"""
ssn_019160_002_1020#0,"""おかげ 버튼으로, <br>リリーパのデータがとれました。"""
ssn_019160_002_1030#0,"""まだ、調査は始まったばかりですが、<br>少なくとも危険な相手ではなさそうです。"""
ssn_019160_002_1040#0,"""引き続き、<br>調査を進めていきますね。"""
ssn_019160_002_1050#0,"""앞으로도<br>研究を手伝ってもらえると助かります。"""
ssn_019160_002_1060#0,"""よろしくお願いしますね。"""
ssn_019160_002_1070#0,"""それで……。"""
ssn_019160_002_1080#0,"""あーあー、聞こえるかな？<br>キミが、<%me>だよね？"""
ssn_019160_002_1090#0,"""いきなりの連絡でごめんね。<br>ボクは補給担当の시트레。"""
ssn_019160_002_1100#0,"""시트레？<br>どうしたんですか？"""
ssn_019160_002_1110#0,"""いや、凄腕アークスの話を聞いてね。<br>ボクもお願いをしたいなと思って。"""
ssn_019160_002_1120#0,"""補給活動を安全に行うために、<br>에너미 토벌とかを頼みたいんだ。"""
ssn_019160_002_1130#0,"""前線で戦ってるアークスには、<br>日課みたいな依頼だと思うんだけど、どうかな？"""
ssn_019160_002_1140#0,"""まあ、できたらでいいん 버튼으로, <br>考えといてよ。それじゃね！"""
ssn_019160_002_1150#0,"""ちょ、ちょっと、시트레？"""
ssn_019160_002_1160#0,"""……相変わらず、<br>マイペースなヒトですね。"""
ssn_019160_002_1170#0,"""す、すみません。<br>彼女の手伝いも、お願いできますか？"""
ssn_019160_002_2010#0,"""<%me> 씨,<br>ありがとうございます。"""
ssn_019160_002_2020#0,"""おかげ 버튼으로, <br>リリーパのデータがとれました。"""
ssn_019160_002_2030#0,"""まだ、調査は始まったばかりですが、<br>少なくとも危険な相手ではなさそうです。"""
ssn_019160_002_2040#0,"""引き続き、<br>調査を進めていきますね。"""
ssn_019160_002_2050#0,"""앞으로도<br>研究を手伝ってもらえると助かります。"""
ssn_019160_002_2060#0,"""よろしくお願いしますね。"""
ssn_019160_002_2070#0,"""それで……。"""
ssn_019160_002_2080#0,"""<%me>、ひさしぶり！<br>補給担当の시트레だよ。"""
ssn_019160_002_2090#0,"""……覚えてる……よね？"""
ssn_019160_002_2100#0,"""시트레？<br>どうしたんですか？"""
ssn_019160_002_2110#0,"""いやあ、ボクのほうからも、<br>お願いがあってね。"""
ssn_019160_002_2120#0,"""補給活動を安全に行うために、<br>また、에너미 토벌とかを頼みたいんだ。"""
ssn_019160_002_2130#0,"""できたらでいいからさ！<br>よろしくね！"""
ssn_019160_002_2140#0,"""ちょっと、시트레？"""
ssn_019160_002_2150#0,"""あの子は本当に、<br>相変わらず……ですねぇ。"""
ssn_019160_002_2160#0,"""す、すみません。<br>彼女の手伝いも、お願いできますか？"""
ssn_019160_002_4010#0,"""このハルファには、<br>まだまだ未知なるものが無数にあります。"""
ssn_019160_002_4020#0,"""それを、ひとつひとつ解明していくのが、<br>私たち研究者の務めです。"""
ssn_019160_002_5010#0,"""これを着ていると、<br>周囲からの視線が……。"""
ssn_019160_002_5020#0,"""でも、少しでもリリーパのことを<br>知ってもらえれば……と思って頑張ります。"""
npc_menu_0010#0,"""시즈널 포인트と交換する($(0)까지)"""
npc_menu_0030#0,"""アイテムリサイクル($(0)까지)"""
npc_menu_0040#0,"""시즈널 포인트에 관하여"""
npc_menu_0050#0,"""메뉴 닫기"""
npc_menu_1010#0,"""\""시즈널 포인트\""について"""
npc_menu_1020#0,"""\""シーズンエネミー\""について"""
npc_menu_1030#0,"""\""리리파족\""について"""
npc_menu_1040#0,"""\""シーズナルリージョン마그\""について"""
npc_menu_2000#0,"""聞きたいことはない"""
