name010#0,"""ナズーン"""
text010#0,"""……な、なぜか出てきたエネミーを倒したところで、<br>“４択”クイズの時間です！"""
text011#0,"""４つのなかから、<br>正解だと思う足場に、向かってください。"""
text020#0,"""それでは、問題です。<br>……じゃん！"""
text030#0,"""正解だと思う足場に向かってください！<br>レッツ、シンキング！"""
text040#0,"""タイムアーップ！"""
text050#0,"""続いての問題です。<br>……じゃん！"""
text060#0,"""それでは、最後の問題です。<br>……じゃん！"""
text080#0,"""“４択”クイズは、これで終了です。<br>次のクイズ会場に移動しましょう！"""
quiz00_01#0,"""なし"""
quiz_correct#0,"""おめでとうございます！"""
quiz_incorrect#0,"""残念……。"""
quiz01#0,"""問題<br><yellow>“N-グラインダー”は、<br>ひとつ“いくら”で換金できる？<c>"""
quiz01_01#0,"""“N-グラインダー”は、"""
quiz01_02#0,"""ひとつ“いくら”で換金できる？"""
quize01_select1#0,"""30N-メセタ"""
quize01_select2#0,"""40N-メセタ"""
quize01_select3#0,"""50N-メセタ"""
quize01_select4#0,"""60N-メセタ"""
quize01_answer#0,"""正解は……、<br><red>40N-メセタ<c>でした！"""
quiz02#0,"""問題<br><yellow>クヴァリスの五つ子のうち、<br>“次男の名前”は？<c>"""
quiz02_01#0,"""クヴァリスの五つ子のうち、"""
quiz02_02#0,"""“次男の名前”は？"""
quize02_select1#0,"""タイヴァス"""
quize02_select2#0,"""イルマ"""
quize02_select3#0,"""トゥーリ"""
quize02_select4#0,"""クッカ"""
quize02_answer#0,"""正解は……、<br><red>トゥーリ<c>でした！"""
quiz03#0,"""問題<br><yellow>クヴァリスの“五つ子でない”のは？"""
quiz03_01#0,"""クヴァリスの“五つ子でない”のは？"""
quize03_select1#0,"""レソ"""
quize03_select2#0,"""メリ"""
quize03_select3#0,"""イルマ"""
quize03_select4#0,"""クッカ"""
quize03_answer#0,"""正解は……、<br><red>レソ<c>でした！"""
quiz04#0,"""問題<br><yellow>アイナの“父親の名前”は？"""
quiz04_01#0,"""アイナの“父親の名前”は？"""
quize04_select1#0,"""ガロア"""
quize04_select2#0,"""ブルーダー"""
quize04_select3#0,"""クロフォード"""
quize04_select4#0,"""ライサス"""
quize04_answer#0,"""正解は……、<br><red>ガロア<c>でした！"""
quiz5#0,"""問題<br><yellow>鉱石“ブリザーディアム”が<br>“入手できる場所”は？"""
quiz05_01#0,"""鉱石“ブリザーディアム”が"""
quiz05_02#0,"""“入手できる場所”は？"""
quize05_select1#0,"""イハナ山"""
quize05_select2#0,"""ラトヴァ山"""
quize05_select3#0,"""ピコット山"""
quize05_select4#0,"""マグナス山"""
quize05_answer#0,"""正解は……、<br><red>イハナ山<c>でした！"""
quiz6#0,"""問題<br><yellow>“ステラーグレイス回収作戦”で、<br>回収できる“ステラーグレイスの数”は？"""
quiz06_01#0,"""“ステラーグレイス回収作戦”で、"""
quiz06_02#0,"""回収できる“ステラーグレイスの数”は？"""
quize06_select1#0,"""30"""
quize06_select2#0,"""10"""
quize06_select3#0,"""20"""
quize06_select4#0,"""40"""
quize06_answer#0,"""正解は……、<br><red>30<c>でした！"""
quiz7#0,"""問題<br><yellow>クヴァリスの五つ子のうち、<br>タイヴァスの“ジャケットの色”は？"""
