line01#0,"""4択クイズ、開始！<br>（全2問）"""
name010#0,"""\\クイズNPC"""
text010#0,"""\\クイズ会場が解放されましたね！<br>それでは、<red>このリューカーデバイスどこでしょうクイズ<c><br>スタートです！"""
text020#0,"""\\それでは、表示される画像を見て<br>どこに配置されているリューカーデバイスか<br>当ててください！じゃん！"""
text030#0,"""\\正解だと思う足場へ向かってください！<br><red>20秒後に正解発表<c>です！<br>カウントダウンスタート！"""
text040#0,"""タイムアーップ！<br>正解は…"""
text050#0,"""\\続いて、次の問題です！<br>じゃん！"""
text060#0,"""\\それでは、最後の問題です！<br>じゃん！"""
text080#0,"""\\さて、このリューカーデバイスどこでしょうクイズは<br>終了です！次のクイズ会場へ移動します！"""
line02#0,"""正解だと思う領域に向かえ！<br>10秒後に結果発表だ！"""
line03#0,"""タイムアップ！<br>正解は…"""
line04#0,"""次の会場に移動します"""
quiz00_01#0,"""なし"""
quiz00_02#0,"""."""
quize_explanation#0,"""このリューカーデバイスはどこでしょう？"""
Title#0,"""このリューカーデバイスはどこでしょう？"""
quize_wait#0,"""全員が画像見終わるのを待ちます"""
quiz01#0,"""このリューカーデバイスはどこでしょう？"""
quize01_select1#0,"""A"""
quize01_select2#0,"""B"""
quize01_select3#0,"""C"""
quize01_select4#0,"""D"""
quize01_correct#0,"""Aでした！<br>正解おめでとうございます！<br>+１ポイントです！"""
quize01_incorrect#0,"""Aでした！<br>く～ぅ、残念！！"""
