name_7004#0,"""クロフォード"""
msn_021031_0010#0,"""もういいかな？"""
msn_021031_0020#0,"""じゃあ、本題に戻る前に、<br>少し状況の整理をしようか。"""
msn_021031_0030#0,"""確認したいことはあるかい？"""
npc_menu_0010#0,"""ハルファについて"""
npc_menu_0020#0,"""アークスについて"""
npc_menu_0030#0,"""ゼフェットについて"""
npc_menu_0040#0,"""스타레스について"""
npc_menu_0050#0,"""会議を再開する"""
npc_menu_0060#0,"""メニューを閉じる"""
msn_021031_menu_0010_01#0,"""僕たちが暮らすこのハルファは、<br>リサージェントアークスの実験場だった。"""
msn_021031_menu_0010_02#0,"""스타레스に対抗しうる<br>アークスを生み出すためのね。"""
msn_021031_menu_0010_03#0,"""……信じがたいが、<br>状況はそれが事実だと告げている……。"""
msn_021031_menu_0020_01#0,"""アークスは、<br>스타레스と戦うために生み出された……。"""
msn_021031_menu_0020_02#0,"""ハルファのみんなが、<br>その事実を受け止めるには、時間が必要だろう。"""
msn_021031_menu_0020_03#0,"""正直、僕もまだ気持ちの整理が、<br>完全にはできていない。"""
msn_021031_menu_0030_01#0,"""リサージェントアークスの総督で、<br>ハルファでの実験の管理者……。"""
msn_021031_menu_0030_02#0,"""それ以外のことは、<br>ほとんどわかっていない。"""
msn_021031_menu_0030_03#0,"""キミたちと戦い、その後に現れた스타레스に、<br>向かっていった그래."""
msn_021031_menu_0030_04#0,"""それからの消息は、不明だ……。"""
msn_021031_menu_0040_01#0,"""未知の敵……としか言いようがない。"""
msn_021031_menu_0040_02#0,"""生物なのか、機械なのか。<br>次に来るのは、いつなのか……。"""
msn_021031_menu_0040_03#0,"""……わからないことだらけだ。"""
msn_021031_menu_0040_04#0,"""ただ、その脅威度は、<br>ダークファルス以上……。"""
msn_021031_menu_0040_05#0,"""そう考えて、間違いないと思う。"""
msn_021031_menu_0050_01#0,"""うん、알았어."""
