ssc_503080_0010#0,"""자네인가."""
ssc_503080_0020#0,"""다친덴 괜찮아?"""
ssc_503080_0030#0,"""복귀한 거야?"""
ssc_503080_0040#0,"""그래.<br>이제 문제없어."""
ssc_503080_0050#0,"""음.<br>걱정을 끼쳤군."""
ssc_503080_0060#0,"""지금은 순찰 임무 중이라서."""
ssc_503080_0070#0,"""특히 스타레스를 경계하고 있어."""
ssc_503080_0080#0,"""지난번 전투에서<br>많은 희생자를 내고 말았다…."""
ssc_503080_0090#0,"""그런 참사를,<br>되풀이할 수는 없다."""
ssc_503080_0100#0,"""그건 그렇고, 그 때는 신세를 졌다."""
ssc_503080_0110#0,"""다시 한 번 감사의 인사를 전하고 싶어."""
ssc_503080_0120#0,"""하지만, 정말 한심한 모습을<br>보여주었군…."""
ssc_503080_0130#0,"""덕분에 아이나가 살았어."""
ssc_503080_0140#0,"""오히려 멋졌어."""
ssc_503080_0150#0,"""순간 몸이 움직인 거다."""
ssc_503080_0160#0,"""아이나가 무서해서 다행이다…."""
ssc_503080_0170#0,"""그렇게 말을 해주니 기쁘지만,<br>기절해 버려선 안돼."""
ssc_503080_0180#0,"""아이나를 구할 수 있었던 것은<br>다행이다만…."""
ssc_503080_0190#0,"""적의 급습을<br>눈치채지 못한 것은 내 잘못이다."""
ssc_503080_0200#0,"""귀환 지시를 받고,<br>정신이 그쪽에 팔렸었다."""
ssc_503080_0210#0,"""이길 수 있었던 건<br>그 자리에 자네와 아이나가 있었기 때문이야."""
ssc_503080_0220#0,"""…선배로서는<br>부끄러울 따름이다."""
ssc_503080_0230#0,"""하지만 그 싸움 덕분에,<br>스타레스의 분석을 진행할 수 있었다."""
ssc_503080_0240#0,"""녀석들의 움직임도 파악했다."""
ssc_503080_0250#0,"""더 이상 그런 추태를 드러낼 생각은 없다."""
ssc_503080_0260#0,"""다음 출현에 대비해서,<br>베테랑 아크스들에게도 대응책을 공유하고 있다."""
ssc_503080_0270#0,"""앞으로 더 많은 정보가 모여,<br>전술도 확립해 나가겠지."""
ssc_503080_0280#0,"""너 역시 가디언으로서,<br>전투를 주도해 주길 바란다."""
ssc_503080_0290#0,"""그럼, 나는 임무로 복귀하지."""
ssc_503080_0300#0,"""스타레스는 위협적이다.<br>부디 방심하지 말도록."""
