Text_PA#0,"""フォトンアーツ："""
Text_TEC#0,"""テクニック："""
Button_PATEC#0,"""<%PhotonArts>"""
Text_chargePA#0,"""チャージPA："""
Text_chargeTEC#0,"""チャージテクニック："""
Text_chargePA2#0,"""PA中の攻撃切り替え："""
Button_charge#0,"""<%PhotonArts><pict 4space>を長押し"""
Button_charge2#0,"""フォトンアーツ中"""
Button_charge2_2#0,"""特定タイミングで<pict 4space><%NormalAttack><pict 4space>か<pict 4space><%PhotonArts>"""
Text_ura_hold#0,"""裏パレット切り替え："""
Text_ura_push#0,"""パレット切り替え："""
Button_ura_hold#0,"""<%WeaponAction_2><pict 4space>を押したままにする"""
Button_ura_push#0,"""<%WeaponAction_2>"""
Text_uraPATEC#0,"""裏パレット\u3000"""
Text_uraPA#0,"""裏パレットPA："""
Text_uraTEC#0,"""裏パレットテクニック："""
Button_uraPA_hold#0,"""<%WeaponAction_2><pict 4space>を押しながら<pict 4space><%NormalAttack>"""
Button_uraPA_push#0,"""裏パレットに切り替えて<pict 4space><%NormalAttack>"""
name010#0,"""ファイン"""
text010#0,"""次は、より多くの攻撃方法を、<br>瞬時に切り替えるやり方を教えてあげる。説明どおりにやってみて！"""
