msc_021040_0010#0,"""じゃあ、再開しようか。<br>話というのは、これからのキミたちへのお願いだ。"""
msc_021040_0020#0,"""うん。"""
msc_021040_0030#0,"""僕たちは、今後に備えてアークスの戦力拡充を図る。<br>そのためには、新人の育成が不可欠だ。"""
msc_021040_0040#0,"""その新人の教え役を、<br>アイナ君、キミに頼みたい。"""
msc_021040_0050#0,"""え？\u3000あ、あたし？"""
msc_021040_0060#0,"""ああ。"""
msc_021040_0070#0,"""あたしが、新人の？<br>……そんなのできるわけ……。"""
msc_021040_0080#0,"""アイナなら適任だと思う。"""
msc_021040_0090#0,"""ずいぶん唐突だね。"""
msc_021040_0100#0,"""え？\u3000そう……かなぁ？"""
msc_021040_0110#0,"""그렇진 않아.<br>アイナは、それだけの経験を積んできた。"""
msc_021040_0120#0,"""もちろん、私もサポートする。<br>だから、挑戦してみてほしい。"""
msc_021040_0130#0,"""す、少し考えさせて。"""
msc_021040_0140#0,"""わかったよ。"""
msc_021040_0150#0,"""……다음으로キミへのお願いなんだけど……。"""
msc_021040_0160#0,"""どうした？"""
msc_021040_0170#0,"""偵察隊から、救援要請です！"""
msc_021040_0180#0,"""……そ、そんな！<br>バイタルの反応がどんどん消えて……。"""
msc_021040_0190#0,"""場所は!?"""
msc_021040_0200#0,"""레졸의 숲에서 す。"""
msc_021040_0210#0,"""알았어.<br>ブルーダー、行ってもらえるかい？"""
msc_021040_0220#0,"""了解だ。"""
msc_021040_0230#0,"""自分も行く。"""
msc_021040_0240#0,"""アイナ、行こう！"""
msc_021040_0250#0,"""あたしも！"""
msc_021040_0260#0,"""う、うん。<br>そうだね！"""
msc_021040_0270#0,"""ふたりとも、よろしく頼む！"""
