msn_016001_0001#0,"""ごめんねぇ。<br>今、忙しいんだぁ……。"""
msn_016001_0002#0,"""もうちょっと落ち着いたら、<br>また来てね。"""
msn_016001_0101#0,"""あっ、キミぃ！<br>来てくれたんだね。"""
msn_016001_0102#0,"""じゃあさっそく、<br>話の続きをするね。"""
msn_016001_0103#0,"""リューカーデバイスから行ける<br>誰も知らない場所……。"""
msn_016001_0104#0,"""そこは、<br>なにもない大きな“島”なんだけど……。"""
msn_016001_0105#0,"""なんと！\u3000いろんなモノを<br>自由自在に“置ける”場所だったんだよぉ！"""
msn_016001_0106#0,"""どうやら、物質をデータ化して保存する<br>巨大なストレージがバックヤードにあって……。"""
msn_016001_0107#0,"""原理は、アイテムパックとかと同じで……。"""
msn_016001_0108#0,"""……って、詳しい話はいっか！"""
msn_016001_0109#0,"""口で言うよりも、<br>実際に自分の目で見たほうが早いよね。"""
msn_016001_0110#0,"""とにかく、キミも一度その場所……、<br>“クリエイティブスペース”に行ってみてよ！"""
msn_016001_0111#0,"""それで、アタシの調査と研究を、<br>手伝ってもらいたいんだぁ。"""
msn_016001_0112#0,"""時間のあるときで、いいからさぁ。<br>それじゃ、よろしくねー。"""
msn_016001_0201#0,"""“クリエイティブスペース”に行ってみてよ！"""
msn_016001_0202#0,"""向こうについたら、<br>アタシから連絡するね。"""
msn_016001_0301#0,"""クリエイティブスペースの調査と研究、<br>よろしくねー！"""
