Title#0,"""T:달을 달리는 환창의 어머니"""
Explanation#0,"""위성 달에서 제어를 잃은 에테르가<br>폭주하며 초거대 환창종 반응이 나타났다.<br>폭주한 에테르가 모여 지구로 향하는<br>기둥 모양 물질을 만들어, 초거대 환창종을<br>지구로 이끌려 하고 있다.<br>아크스 각원은 추격용으로 개량한<br>라이드로이드로 목표를 추적해 격파하라.<br>――――――――――――――――――――<br>실패 조건/제한 시간 경과"""
SimpleExplanation#0,"""에스카 펄스 마더를 격파하라!"""
a1#0,"""특정 클라이언트 오더 클리어"""
a2#0,"""특정 클라이언트 오더 클리어"""
a3#0,"""슈퍼 하드 수주 허가증 소지"""
a4#0,"""슈퍼 하드 수주 허가증 소지"""
NpcComMsg1#0,"""곧 달 표면에 나타난<br>초거대 환창종 부근으로<br>전송을 시작합니다."""
NpcComMsg2#0,"""목표가 빠르게 이동 중이므로<br>우선 라이드로이드로 목표를 추적하며<br>공격해 격파하십시오!"""
Area0S#0,"""달 표면"""
Area0L#0,"""위성 달 달 표면"""
Area1S#0,"""환창의 기둥"""
Area1L#0,"""위성 달 환창의 기둥"""
Area1S#1,"""달 표면"""
Area1L#1,"""위성 달 달 표면"""
QuestInfoPlanetName#0,"""위성 달"""
