IncidentName#0,"""Defeat $(0)"""
TrialBeginMsg#0,"""Defeat the $(0)"""
TrialAbstract#0,"""$(0) Suppression"""
NpcComOnBegin#0,"""We're transfering you near the target!<br>Do not get too far from it, pursue it!<br>Please be careful of any obstacles."""
NpcComOnSuccess#0,"""NPC通信<br>（成功時）"""
NpcComOnBeginNext#0,"""開始直後"""
NpcComOnFirstAttack#0,"""仮0"""
NpcComOnBreakRegion1#0,"""部位破壊1"""
NpcComOnBreakRegion2#0,"""部位破壊2"""
NpcComOnBreakRegion3#0,"""部位破壊3"""
NpcComOnBegin#1,"""We're transfering you near the target!<br>Do not get too far from it, pursue it!<br>Please be careful of any obstacles."""
NpcComOnSuccess#1,"""NPC通信<br>（成功時）"""
NpcComOnBeginNext#1,"""開始直後"""
NpcComOnFirstAttack#1,"""仮0"""
NpcComOnBreakRegion1#1,"""部位破壊1"""
NpcComOnBreakRegion2#1,"""部位破壊2"""
NpcComOnBreakRegion3#1,"""部位破壊3"""
NpcComOnBegin#2,"""We're transfering you near the target!<br>Do not get too far from it, pursue it!<br>Please be careful of any obstacles."""
NpcComOnSuccess#2,"""NPC通信<br>（成功時）"""
NpcComOnBeginNext#2,"""開始直後"""
NpcComOnFirstAttack#2,"""仮0"""
NpcComOnBreakRegion1#2,"""部位破壊1"""
NpcComOnBreakRegion2#2,"""部位破壊2"""
NpcComOnBreakRegion3#2,"""部位破壊3"""
NpcComOnBegin#3,"""We're transfering you near the target!<br>Do not get too far from it, pursue it!<br>Please be careful of any obstacles."""
NpcComOnSuccess#3,"""NPC通信<br>（成功時）"""
NpcComOnBeginNext#3,"""開始直後"""
NpcComOnFirstAttack#3,"""仮0"""
NpcComOnBreakRegion1#3,"""部位破壊1"""
NpcComOnBreakRegion2#3,"""部位破壊2"""
NpcComOnBreakRegion3#3,"""部位破壊3"""
NpcComOnBegin#4,"""We're transfering you near the target!<br>Do not get too far from it, pursue it!<br>Please be careful of any obstacles."""
NpcComOnSuccess#4,"""NPC通信<br>（成功時）"""
NpcComOnBeginNext#4,"""開始直後"""
NpcComOnFirstAttack#4,"""仮0"""
NpcComOnBreakRegion1#4,"""部位破壊1"""
NpcComOnBreakRegion2#4,"""部位破壊2"""
NpcComOnBreakRegion3#4,"""部位破壊3"""
