st_057090_0010#0,"""Guiado por Clarissa, el Guardian llega a las tierras centrales de Es-Ars."""
st_057090_0020#0,"""A pesar de enfrentarse a enemigos inesperados<br>Rompen su rango, presionando hacia la capital."""
st_057090_0030#0,"""Pero no eran simplemente Devil Castles los que se interponían en su camino mientras viajaba."""
st_057090_0040#0,"""Double y los Darkers tipo juguetes, también les espera."""
st_057090_0050#0,"""El Guardian se apresura, sabiendo que esta situación anormal necesita resolverse rápidamente."""
st_057090_0060#0,"""Y alegremente de pie en su camino, una y otra vez, estaba el doble de Flo<br>Double."""
st_057090_0070#0,"""Actuando como si esto no fuera nada más que un juego.<br>Y actuó como si sus pensamientos estuvieran fijos en un tiempo lejano,<br>hace mucho tiempo..."""
st_057090_0080#0,"""¿Es esta una emboscada?... Supongo que no... Si se siente más como si estuviera esperando a reunirse con nosotros aquí."""
st_057090_0090#0,"""Oh, hey, ¡Lo lograste!, ¡Te he estado esperando!"""
st_057090_0100#0,"""Jeje, jaja!, ¡Cuántos amigos para jugar!"""
st_057090_0110#0,"""¡Vamos, juguemos, juguemos todos juntos! Todas las veces que no pudimos jugar, todas las veces que no pudimos jugar, ¡Tenemos que recuperarnos todos!"""
st_057090_0120#0,"""No hay antagonismo aqui... Solo quiere jugar..."""
st_057090_0130#0,"""Jeje, jejeje!, ¡Esto es tan divertido!, ¡Esto es mucho mejor que antes!"""
st_057090_0140#0,"""¡Estas examinaciones son aburridas!, ¡No quiero seguir!"""
st_057090_0150#0,"""No seas tan egoísta. No quieres seguir haciendo que las cosas se rompan sin ninguna razón, ¿Verdad?"""
st_057090_0160#0,"""En este momento, son objetos. Esos pueden ser reemplazados. Pero un día, se lo harás a una persona real. Tenemos que evitar que."""
st_057090_0170#0,"""Esta bien... ¡Pero Clarissa! ¿Puedes decirme algo mientras lo haces, al menos?"""
st_057090_0180#0,"""¿Como?"""
st_057090_0190#0,"""Encontraste algo asombroso, verdad?<br>¡Todos han estado hablando de eso!"""
st_057090_0200#0,"""Esa agua se convirtió en una copia tuya, que fue un cambio de paradigma.<br>¡Todos han estado super emocionados!"""
st_057090_0210#0,"""Ahh, cuando fui a ese planeta."""
st_057090_0215#0,"""Eso fue... Sí, fue un verdadero shock."""
st_057090_0220#0,"""Pero aún más impactante fue el conocimiento que obtuvimos."""
st_057090_0230#0,"""Avanzará nuestra tecnología inmensamente. La gente vivirá más tiempo, haremos descubrimientos increíbles."""
st_057090_0240#0,"""Y, Flo... Estoy segura de que lo que sea que esté detrás de tus habilidades, su conocimiento nos proporcionará respuestas"""
st_057090_0250#0,"""¿Ella?, ¿Es el agua una niña?"""
st_057090_0260#0,"""Bueno, ella ha tomado mi aspecto, así que ciertamente espero que sea ella por su bien."""
st_057090_0270#0,"""¡Ahhh, eso fue divertido! Jugar realmente es muy divertido. ¡Por eso tengo que jugar más y más y más!"""
st_057090_0280#0,"""Acabo de ver..."""
st_057090_0290#0,"""¿Esa fue la parte de Flo?..."""
st_057090_0300#0,"""¿Qué viste <%me>?"""
st_057090_0310#0,"""Una visión, como con Luther... Y lo que viste fue..."""
st_057090_0320#0,"""El pasado de Flo y Clarissa... Y fue desde antes de que los Photoners se encontraran con Xion..."""
st_057090_0330#0,"""Odio la lluvia en el desfile, pero no tengo ningún recuerdo de eso. Y dudo mucho que Flo los tenga."""
st_057090_0340#0,"""Pero si hay algo que me es familiar, es el hecho de que Flo nació con habilidades abrumadoras."""
st_057090_0350#0,"""Esa es la razón por la que fue elegido para ser el Símbolo, para que sus poderes, su maná, pudieran ofrecerse al servicio del país..."""
st_057090_0360#0,"""Hay que darse prisa, Guardián."""
name01#0,"""？？？"""
name02#0,"""？？？"""
