st_057060_0010#0,"""¿No eres humano?..."""
st_057060_0020#0,"""¿No eres Elmir, el hermano del antiguo emperador veruniano?<br>¿No se supone que estabas muerto?"""
st_057060_0030#0,"""Usted está bien informada. Pero entonces, esa es la formidable información de inteligencia de Es-Ars para ti, sabes todo sobre nosotros."""
st_057060_0040#0,"""Pero creo que tu fuente de conocimiento te ha fallado esta ves, ¿Verdad?"""
st_057060_0050#0,"""¿Huu?"""
st_057060_0060#0,"""¡Clarisaaaa!"""
st_057060_0070#0,"""Flo."""
st_057060_0080#0,"""¡Fuera de mi camino!"""
st_057060_0090#0,"""¡Eres el jefe de Es-Ars, el símbolo de todo lo que es y representa!<br>Esta nación es tuya para mandar,  para hacer lo que gustes... Por favor."""
st_057060_0100#0,"""Querías más tiempo para jugar, ¿Verdad? Tenías tanto que querías hacer, ¿Verdad? Entonces hazlos!, ¡Haz lo que quieras hacer!"""
st_057060_0110#0,"""Usted tiene el poder para hacer eso. Y sabes cómo invocarlo."""
st_057060_0120#0,"""¿Poder?... Puedo, ¿Realmente?..."""
st_057060_0130#0,"""Claro que tu puedes. Los recuerdos están ahí dentro de ti, solo esperando."""
st_057060_0140#0,"""Permíteme desbloquearlos para ti..."""
st_057060_0150#0,"""¡Flo!<br>¡Flo!"""
st_057060_0160#0,"""Después de eso, Flo comenzó a esculpir más y más juguetes para sí mismo, creando innumerables Demonios y Devil Castles. Y eso nos lleva a... Esto."""
st_057060_0170#0,"""Solo pude escapar. Podía ver la expresión en su rostro mientras me miraba, pero todo lo que podía hacer era correr..."""
st_057060_0180#0,"""クラリッサさん……"""
st_057060_0190#0,"""Así que fue Elmir, el hermano del emperador veruniano, quien llevó a Flo a esto..."""
st_057060_0200#0,"""Pero Magareta le mató en Epic, ¿No es así?..."""
st_057060_0210#0,"""Sobrevivió, de alguna manera"""
st_057060_0220#0,"""¿Tal vez sea un impostor?"""
st_057060_0230#0,"""No lo sé... Tal vez sobrevivió de alguna manera, o tal vez solo se está haciendo pasar por alto con tan poco para continuar, no hay manera de saberlo."""
st_057060_0240#0,"""Clarissa, ¿Puedo preguntar por la situación dentro de Es-Ars en este momento?"""
st_057060_0250#0,"""Me temo que no puedo decirte. Acabo de llegar a través del pasajes secretos."""
st_057060_0260#0,"""Pero con ese enjambre de Demonios que consumen la capital de Es-Ars, me imagino que ha sido eliminado, o tan cerca como no hay diferencia"""
st_057060_0270#0,"""Los Devil Castles y Demonios mismos.<br>en Es-Ars se están multiplicando incluso ahora, con Flo como su fuente"""
st_057060_0280#0,"""Si no actuamos, entonces el país entero será invadido por un enjambre de Demonios, todos en busca de un compañero de juegos para saciar su aburrimiento."""
st_057060_0290#0,"""Y la única manera de detenerlo...<br>Es detener el diluvio en su origen.<br>Detener a Flo."""
st_057060_0300#0,"""Guardián de Cuent... Te lo suplico, ¿Me prestas tu poder?"""
st_057060_0310#0,"""Por favor, préstame tu poder, el poder que salvó a la Verun y Epic de la ruina, te lo ruego... Te lo ruego..."""
st_057060_0320#0,"""Ayúdame a salvar a FLO"""
st_057060_0330#0,"""Por su puesto que lo hare."""
st_057060_0340#0,"""¿Crees que podemos salvarlo?"""
st_057060_0350#0,"""Ella tiene razón, esta no es una situación en la que podamos permitirnos permanecer ociosos. No tengo ninguna objeción en prestarle nuestra ayuda."""
st_057060_0360#0,"""Pero no estoy segura de que"""
st_057060_0370#0,"""No sé, ni siquiera estoy segura de si es posible, honestamente."""
st_057060_0380#0,"""Cuando hablo de salvarlo, no me refiero a su vida. Me refiero a su alma..."""
st_057060_0390#0,"""Se dedicó a su país...<br>No dejaré que se vea destruirlo."""
st_057060_0400#0,"""¿Cómo pretendes que lo detengamos?"""
st_057060_0410#0,"""Si has luchado contra ellos, te das cuenta de que por muchos que los derrotes, la velocidad a la que reponen sus números te superará."""
st_057060_0420#0,"""Esta calamidad solo puede detenerse golpeando la fuente de su propagación."""
st_057060_0430#0,"""Entonces, ¿Un asalto directo a su núcleo, básicamente?"""
st_057060_0440#0,"""En efecto. Y en este mismo lugar, hay un pasaje secreto que conecta con el corazón de este país."""
st_057060_0450#0,"""Es un plan mucho más probable de tener éxito."""
st_057060_0460#0,"""Aunque estoy segura de que todavía habrá cantidades obscenas de resistencia esperándonos, pero..."""
st_057060_0470#0,"""Si las acciones de Flo, y sus misiones, están impulsadas por su deseo sincero de tener un compañero de juegos, entonces podemos hacer uso de eso."""
st_057060_0480#0,"""El ejército de Cuent puede lanzar un asalto a Es-Ars, crear líneas de batalla en las fronteras y sacar al enemigo hacia afuera. Los encerraremos en una guerra de desgaste, con empujar y tirar constantemente."""
st_057060_0490#0,"""En esa ventana, el Guardián puede Montar su ataque, golpear su corazón y detener su propagación. ¿Como suena eso?"""
st_057060_0500#0,"""Suena como un plan."""
st_057060_0510#0,"""Estarías en mucho peligro."""
st_057060_0520#0,"""Entonces estaremos actuando individualmente esta vez. Rezaré por su seguridad y daré todo lo que pueda por cumplir mi deber."""
st_057060_0530#0,"""Como lo harías tú. Te pido que consideres una métrica de mi crecimiento personal que no insisto en acompañarte."""
st_057060_0540#0,"""Harriet Reina de Cuent... Y su Guardián.<br>Gracias de todo corazón"""
name01#0,"""？？？"""
name02#0,"""？？？"""
