st_057120_0010#0,"""Esto es aburdo! Incluso tus poderes no están teniendo ningún efecto real en el..!"""
st_057120_0020#0,"""Jeje, jajaja, jajaja! Eres realmente increíble, ¿Lo sabes, Guardián? ¡Esto es lo más divertido que he hecho!"""
st_057120_0030#0,"""Tener a alguien allí para ti, que jugará contigo, ¡Nunca supe que se sentiría tan bien!, ¡Nunca antes me había sentido tan vivo!"""
st_057120_0040#0,"""Tienes que parar esto."""
st_057120_0050#0,"""¿Qué hay de divertido en pelear unos con otros?"""
st_057120_0060#0,"""¿Por qué debería tener que parar?<br>¿Necesitamos una razón para pelear?<br>¿Necesitas una razón para divertirte?"""
st_057120_0070#0,"""Entonces dime, guardián. ¿Cuál es la razón por la que había pasado toda mi vida solo?"""
st_057120_0080#0,"""¿Cuál es la razón por la que tuve que permanecer encerrado, sin nadie que me acompañara?"""
st_057120_0090#0,"""Quiero que alguien venga a verme, quiero a alguien con quien pasar el tiempo. Quiero alguien con quien pueda hablar, quiero alguien con quien pueda pelear."""
st_057120_0100#0,"""Solo quiero amigos ¡Quiero, quiero, quiero, quiero, quiero, quiero, quiero, quiero, quiero, quiero, quiero, quiero amigos!"""
st_057120_0110#0,"""Por eso hice mis propios amigos...<br>por eso me eligieron...<br>para usar el poder como la voz me dice que..."""
st_057120_0120#0,"""Porque soy...<br>No solo un conejillo de indias...<br>soy Flo, y... Soy..."""
st_057120_0130#0,"""¿Qué te está pasando, Flo?..."""
st_057120_0140#0,"""Sus recuerdos están en desorden.<br>Eso es el Flo que conoces, pero también no.<br>Sus recuerdos originales se mezclan con los suyos."""
st_057120_0150#0,"""¿Hee Clarissa?"""
st_057120_0160#0,"""El origen de Double proviene de su soledad.<br>¿Crees que puedes salvarlo?"""
st_057120_0170#0,"""Le dare una oportunidad"""
st_057120_0180#0,"""Por supuesto"""
st_057120_0190#0,"""Entonces déjame guiar tu mano.<br>para que podamos salvarlo de esto"""
st_057120_0200#0,"""¿Clarissa?"""
st_057120_0210#0,"""Flo... Esto tiene que parar. Todo esto fue un terrible error."""
st_057120_0220#0,"""¿Un error? ¡Nada de esto es un error!, ¡Mira! Mira cuántos amigos tengo a mi alrededor ahora."""
st_057120_0230#0,"""¿Clarissa?"""
st_057120_0240#0,"""Ahora, como entonces, la culpa fue nuestra... Por no darnos cuenta del horroroso aislamiento, lo que hicimos fue ponerte nervioso."""
st_057120_0250#0,"""Por muy potentes que fueran tus poderes,<br>eras un niño y ya estabas solo...<br>Teníamos el deber moral de no olvidar eso, y fue en el que fracasamos."""
st_057120_0260#0,"""Usted fue el iniciador, un niño que sólo podía<br>comunicarse con otros a través de la destrucción.<br>pero eso puede terminar ahora.<br>Ya es hora de que lo pongamos un punto final."""
st_057120_0270#0,"""Simplemente no entiendo, Clarissa"""
st_057120_0280#0,"""Pero... Es raro. ¿Por qué me siento tan triste, de repente?"""
st_057120_0290#0,"""Porque todo ha terminado ahora. Como debería ser."""
st_057120_0300#0,"""¡Pero ya no quiero estar solo!, ¡¡No quiero!!"""
st_057120_0310#0,"""Dale a Flo su libertad"""
st_057120_0320#0,"""Claro, eso sucedió, no es así... Todo es como si volviera a mí ahora."""
st_057120_0330#0,"""Bueno, eso seguro fue deprimente. Realmente deprimente recordar.<br>Hubiera sido mejor si hubiera podido olvidarlo y divertirme jugando..."""
st_057120_0340#0,"""Flo... Eres tu?"""
st_057120_0350#0,"""..¿Double?"""
st_057120_0360#0,"""¿Eso realmente importa en este punto? Quiero decir, soy Flo, pero también soy Double. Y para probarlo..."""
st_057120_0370#0,"""¿Te hemos asustado?, ¿Te hemos asustado?"""
st_057120_0380#0,"""Soy Frau!, ¡La yo que nació de nosotros!"""
st_057120_0390#0,"""Aunque honestamente, ninguno de nosotros recuerda quién de nosotros es quién. Quiero decir, no es como si realmente importara."""
st_057120_0400#0,"""Sí. Lo que más nos preocupa es, qué es lo más inútil del mundo."""
st_057120_0410#0,"""¿Estábamos nosotros usandolo, o estamos siendo usados? Ya no lo recuerdo."""
st_057120_0420#0,"""Hemos vivido taaaaanto tiempo ahora, después de todo."""
