st_057080_0010#0,"""Por lo tanto, este es el espécimen anormal..."""
st_057080_0020#0,"""¿Hmmm?<br>¿Quién eres, señorita?"""
st_057080_0030#0,"""Mi nombre es Clarissa Soy la investigadora asignada a ti, Flo."""
st_057080_0040#0,"""¿Investigación?<br>¿Vas a perder más tiempo en eso?<br>No es como que vas a resolver algo..."""
st_057080_0050#0,"""Bueno, supongo que desde su punto de vista, esa es una evaluación justa. Todavía no sabemos nada de ti."""
st_057080_0060#0,"""¡Entonces juguemos juntos!, ¡No vale la pena perder el tiempo cuando puedes divertirte!"""
st_057080_0070#0,"""¡Quiero jugar mucho, mucho más!, ¡Quiero ir a todo tipo de lugares, ¡Hablar con todo tipo de personas y obtener todo tipo de diversión!"""
st_057080_0080#0,"""Estoy segura que sí.<br>Pero eso simplemente no va a suceder, Flo. Eres especial."""
st_057080_0090#0,"""Ahhh, ¡Que divertido!, ¡Pero debería ir a ver un sitio nuevo!, ¡Hacer algo nuevo!"""
st_057080_0100#0,"""¡Quiero jugar mucho, mucho más!, ¡Y hay todo tipo de juguetes para jugar con todos los que voy!, ¡Todo tipo de juguetes que puedo hacer donde quiera que vaya!"""
st_057080_0110#0,"""Ohh, ¡Esto es muy divertido! Tengo mucha gente con la que jugar, ¡Tantos nuevos amigos!, ¡Todos tengamos mucha diversión juntos! Ahahahahah"""
st_057080_0120#0,"""Las lecturas de Double se han desvanecido... Junto con las lecturas de los Demonios en las cercanías, pero... En realidad no han sido derrotados."""
st_057080_0130#0,"""¿Quién era en ese momento?"""
st_057080_0140#0,"""¿Era esa una copia de Flo?"""
st_057080_0150#0,"""Ese era el calor de Flo, como lo era. Otro Flo, nacido de la soledad que se agravaba en su interior."""
st_057080_0160#0,"""¿Otro Flo?"""
st_057080_0170#0,"""Cuent se especializa en la convocacion. Verun en el fortalecimiento. Epic en la manipulación. Y la fundación Es-Ars en la multiplicación."""
st_057080_0180#0,"""Construye uno, luego cópialo para hacer dos. Copia dos para hacer cuatro.<br>Al repetir ese proceso, nació la Federación de Comerciantes, Es-Ars."""
st_057080_0190#0,"""Si la gente lo quiere, crea oferta. Si la gente lo desea, crea oferta. Ese es el principio fundador en el corazón de Es-Ars."""
st_057080_0200#0,"""Sin embargo, Flo nació para convertirse en el Símbolo. A pesar de todos los conocimientos a su disposición, nunca se le permitió conocer la amistad."""
st_057080_0210#0,"""Así que se multiplicó, para crear un amigo propio.<br>Para llenar esa soledad en su corazón... Tener a alguien con quien jugar."""
st_057080_0220#0,"""¿Pero por qué este país es así?... ¿Por qué poner a Flo a través de eso?"""
st_057080_0230#0,"""Me temo que no tengo respuestas. Aparte de volver al comienzo de todo, no se sabe por qué ese aislamiento original se consideró importante."""
st_057080_0240#0,"""Toda mi vida, he sido parte de Es-Ars, y Es-Ars ha sido parte de mí.<br>Es por eso que nada de esto me parece mal. Eso es lo que pienso ahora, mirando hacia atrás, al menos."""
st_057080_0250#0,"""Aislamiento original..."""
st_057080_0260#0,"""Esa visión que acabo de tener..."""
name01#0,"""？？？"""
name02#0,"""？？？"""
