st_057110_0220#0,"""¡Bienvenido de nuevo, Clarissa!"""
st_057110_0230#0,"""Veo que has traído a mis compañeros de juegos aquí para mí, ¡Tal como lo pedí!"""
st_057110_0240#0,"""¿Como él lo pidio?<br>Clarissa, eres..."""
st_057110_0250#0,"""En efecto. El verdadero yo, como todos los demás, ya estamos muertos."""
st_057110_0260#0,"""El ser que ves antes de ti fue creado por Flo. Actúo según la voluntad de Flo."""
st_057110_0270#0,"""Si Flo deseaba amigos, se los traeré. Tal es mi propósito."""
st_057110_0280#0,"""¿Nos estabas engañando, entonces?"""
st_057110_0290#0,"""¿Estabas mintiendo acerca de salvarlo?"""
st_057110_0300#0,"""Eso es."""
st_057110_0310#0,"""Hey, ¿Por qué todos ustedes me están ignorando?<br>¡Deja de abrazarlos y pierderte, Clarissa!"""
st_057110_0320#0,"""Clarissa?<br>¿Qué le hiciste a ella?"""
st_057110_0330#0,"""Eh ¿Quieres ver a Clarissa de nuevo?<br>¡Puedo hacer tantas como quiera!, ¡Mira!"""
st_057110_0340#0,"""¡Lo Ves!"""
st_057110_0350#0,"""！？"""
st_057110_0360#0,"""¡Y no es solo Clarissa!, ¡Tengo toneladas de nuevos amigos ahora!"""
st_057110_0370#0,"""¿No es asombroso? Puedo hacer tantas personas con las que jugar, cuando quiera."""
st_057110_0380#0,"""¿Es esta una replicación mágica?...<br>¿O algún tipo de clonación?...<br>No. Esto es algo mucho más potente que esos..."""
st_057110_0390#0,"""¿No me digas que los creó directamente desde el Registro Akáshico?"""
st_057110_0400#0,"""¡Vamos ya, vamos a jugar!, ¡Todos se rompen tan fácilmente que he estado suuuuuuper confinado!"""
st_057110_0410#0,"""¡Por eso le pedí a Clarissa que me trajera algunos juguetes que no se romperían tan facil!"""
st_057110_0420#0,"""Y ese eres tu así que juguemos al contenido de tu corazón"""
st_057110_0430#0,"""¡Vamos a jugar contigo! Solo yo, y ella, y tú, divirtiéndote mucho jugando para siempre."""
name01#0,"""？？？"""
name02#0,"""？？？"""
