st_057020_0010#0,"""Con Epic ya en paz,<br>Harriet regresa a Cuent,<br>con la astuta reina de Epic, Margareta."""
st_057020_0020#0,"""El propósito de su visita: la firma del tratado de paz,<br>Harriet hace un llamado a la erradicación de Ephimera de sus tierras."""
st_057020_0030#0,"""Todos los detalles, por supuesto, habían sido resueltos por adelantado.<br>La firma no era más que una formalidad,<br>no había ninguna razón para que algo saliera mal..."""
st_057020_0040#0,"""Vamos, tenemos todo arreglado ahora, ¿Verdad?<br>¿Realmente tenemos que pasar por una ceremonia de firma?"""
st_057020_0050#0,"""Es una formalidad necesaria, me temo, reina Margaretta.<br>Sirve como una muestra de intención para nuestra gente."""
st_057020_0060#0,"""Sí, pero desde que ocupé el trono me aseguré de que nunca hubiéramos usado Ephimera, por lo que no es un momento virtuoso de superación personal para nosotros."""
st_057020_0070#0,"""Pensé que Epic usaba Ephimera para hacer brebajes capaces de manipular el corazón mismo. ¿Ya no es así?"""
st_057020_0080#0,"""Oh, esas cosas eran basura absoluta basura. El momento en que el efecto desaparecia,<br>básicamente te dejaba muerto por dentro, solo muestra que no hay atajos en asuntos del corazón."""
st_057020_0090#0,"""Además, a nuestra Diosa realmente no le gustó la idea de convertir a las personas en esclavos, como si la anterior Reina Santa matara por incitar su ira."""
st_057020_0100#0,"""El temor a Dios detuvo a la gente que los usaba."""
st_057020_0110#0,"""Y, poniéndolo sobre la mesa, la Santa Reina que fue derribada era mi madre, y era mi trabajo cumplir ese mandamiento de Dios."""
st_057020_0120#0,"""No estoy completamente segura de cómo responder a eso, reina Margareta."""
st_057020_0130#0,"""Excesivamente seria como siempre Harriet"""
st_057020_0140#0,"""Mi madre pago el precio natural de sus propias acciones naturales.<br>No me arrepiento, y no quiero simpatía."""
st_057020_0150#0,"""Era la misma situación con tu hermano, ¿Verdad?<br>Así que simplemente cepíllalo, no tenemos que hacer un gran teatro."""
st_057020_0160#0,"""Bien entonces, gracias, reina Margareta."""
st_057020_0170#0,"""Y mientras estoy dando conferencias,<br>¿Cuándo exactamente vas a dejar de llamarme Reina?"""
st_057020_0180#0,"""Yo, umm, bueno... Considero que es la etiqueta apropiada..."""
st_057020_0190#0,"""Entonces mi etiqueta carece en comparación, ¿Eh?"""
st_057020_0200#0,"""¡No, en absoluto, no quise dar a entender eso!"""
st_057020_0210#0,"""Mira, Harriet, los dos somos iguales.<br>Pero más que eso, eres mi querida amiga.<br>Quiero decir, te debo mi vida!"""
st_057020_0220#0,"""Tu amiga..."""
st_057020_0230#0,"""Demasiada formalidad hacia tus amigos es mucho más grosero si me preguntas,<br>vamos a intentarlo de nuevo."""
st_057020_0240#0,"""Bien Margareta"""
st_057020_0250#0,"""Jeje, mucho mejor. Tenemos nuestras posiciones y nuestros países por los que luchar, por supuesto, pero... Espero que sigamos siendo buenos amigos."""
st_057020_0260#0,"""Es bueno estar trabajando contigo, Harriet."""
st_057020_0270#0,"""Jeje, me alegro de que se lleven bien.<br>Supongo que todo está bien que termina bien en el frente de Epic"""
st_057020_0280#0,"""Ahora todo lo que queda es conseguir Es-Ars este a bordo, y finalmente podemos detener la propagación de Ephimera. Los objetivos a la vista, eh."""
st_057020_0290#0,"""No creo que sea el final"""
st_057020_0300#0,"""Pero hay que preocuparse por Flo en Es-Ars"""
st_057020_0310#0,"""Sí, supongo que tienes razón.<br>Flo, de Es-Ars, se veía exactamente como [Double]..."""
st_057020_0320#0,"""Eso es correcto. Teniendo en cuenta que se parece a Double, probablemente habrá más que esto"""
st_057020_0330#0,"""Y Profound Darkness también está en la raíz de todo esto.<br>Hasta que lidiemos con eso, todo está todavía en el aire."""
st_057020_0340#0,"""Pero Ephimera es la única cosa que encontramos en este mundo...<br>¿Dónde podría estar escondido exactamente?"""
st_057020_0350#0,"""Reina Harriet, lamento interrumpir tu reunión, Pero me temo que tengo noticias que simplemente no pueden esperar!"""
st_057020_0360#0,"""¿Valnar? Por tu expresión parece que es grave, qué ha sucedido exactamente."""
st_057020_0370#0,"""Yo estoy bien pero"""
st_057020_0380#0,"""Es algo que no debería oír?<br>¿Quieres que salga un rato fuera?"""
st_057020_0390#0,"""No, no hay necesidad. Varuna, da tu informe.<br>No me opongo a la audiencia de Margareta."""
st_057020_0400#0,"""Si."""
st_057020_0410#0,"""Hasta ahora, los demonios avanzan hacia el borde oriental de Cuent desde Es-Ars.<br>¡Están invadiendo su majestad!"""
st_057020_0420#0,"""Es-Ars esta invadiendo?<br>¿Qué diablos están buscando aquí?<br>¿Dónde está su declaración de guerra?<br>¿Cuál es la razón para abrir hostilidades?"""
st_057020_0430#0,"""No puedo ofrecer respuestas... Un enjambre de Demonios apareció y comenzó a avanzar hacia nosotros."""
st_057020_0440#0,"""Hablando del diablo, eh, supongo que después de todo, nuestras preocupaciones eran acertadas..."""
st_057020_0450#0,"""Debo apresurarme.<br>Guardián, te pido que me acompañes."""
st_057020_0460#0,"""Simplemente no hagas nada precipitado, Harriet.<br>Si las cosa se complica, corre de vuelta aquí.<br>Un país puede sobrevivir mientras dure su reina."""
st_057020_0470#0,"""Si, guardaré tus palabras en mi corazón."""
name01#0,"""？？？"""
name02#0,"""？？？"""
