11_voice_NPC_5160_111#0,"""어떤 항목이 궁금한 거야!"""
text01#0,"""『라피 슬롯』이란?"""
text02#0,"""『라피 슬롯』 플레이 방법(기본편)"""
text03#0,"""『라피 슬롯』 플레이 방법(응용편)"""
text04#0,"""이 자리를 떠난다"""
text00#0,"""『라피 슬롯』에 대해"""
text01#1,"""『라피 슬롯』에 대해 설명할게.<br><br>『라피 슬롯』은 1인 플레이 전용<br>카지노 게임이야.<br><c 00ffff>각 릴에 그려진 그림을 맞추면<br>코인을 획득할 수 있어.<c><br><br>원하는 수의 코인을 BET하면<br>슬롯을 시작할 수 있고<br>BET한 코인 수에 따라<br>돌려받는 코인이 달라져."""
text00#1,"""『라피 슬롯』 플레이 방법(기본편)에 대해"""
text01#2,"""라피 슬롯은 1BET하면<br><c 00ffff>전체 8개 라인<c>이 유효 라인이 돼.<br><br>유효 라인에 같은 그림 3개를 맞추면<br>배당을 받을 수 있고<br>여러 라인에 그림 3개가 맞으면<br>배당을 한꺼번에 받을 수 있어."""
text02#1,"""그림에는 배당을 받는 것 외에도<br>일부 특수한 그림이 있어.<br><br><yellow>· 라피 그림<c><br>라피 미터가 1 증가해.<br>\u3000※라피 미터를 5개 채우면<br>「<c 00ffff>라피 PSE 찬스<c>」라는 찬스 게임을<br>플레이할 수 있어.<br><br><yellow>· WILD 그림(와일드)<c><br>모든 그림을 대신하는 만능 그림<br>\u3000※3개를 맞추면 「<c 00ffff>라피 PSE 버스트<c>」라는<br>\u3000보너스 게임을 플레이할 수 있어."""
text03#1,"""라피 그림을 맞추면<br>라피 미터가 쌓여.<br>한 라인을 맞출 때마다 미터가 1 증가하고<br>5개까지 채우면<br>정지 타이밍 찬스가 발생해.<br><br>여기서 WILD 그림을 노려 맞추면<br>「<c 00ffff>라피 PSE 찬스<c>」에 돌입하지만<br>실패하면 미터가<br>1 감소해.<br><br>잘 보고 정확한 타이밍에<br>WILD 그림을 맞추자."""
text04#1,"""「<c 00ffff>라피 PSE 찬스<c>」는 중앙 릴이<br>WILD 그림으로 고정되고<br>WILD 그림이 높은 확률로 등장하는<br>찬스 게임이야.<br><br>5게임 한정 프리 스핀이며 남은 횟수가<br>0이 되면 일반 게임으로 돌아가.<br><br><red>※라피 PSE 찬스에 돌입하면<br>BET할 수 있는 수량은 돌입 당시<br>BET 수량으로 고정돼.<c>"""
text05#0,"""「<c 00ffff>라피 PSE 버스트<c>」는 WILD 그림이<br>등장하기 쉬워질 뿐 아니라<br>등장한 WILD 그림이 보너스 게임 동안<br>계속 고정되므로<br>대량의 코인을 얻을 기회야.<br><br>라피 PSE 버스트는 여러 라인에서<br>당첨되면 시작 게임 수가 증가하므로<br>더 큰 기회가 돼.<br><br>이 WILD 그림을 모든 릴에 맞추면<br>「<c 00ffff>잭팟<c>」이 되어<br>더욱 많은 코인을<br>획득할 수 있어."""
text00#2,"""『라피 슬롯』 플레이 방법(응용편)에 대해"""
text01#3,"""라피 슬롯에서는 라피 미터 정보와<br>라피 PSE 버스트 당첨 횟수를<br>확인할 수 있어.<br><br>상태가 좋은 기계인지 아닌지 판별해<br>기회를 잡아 보자!"""
text00#3,"""으음?<br>쿠로라는 건 지난번<br>카지노 에리어에 왔던 고양이 말이야?"""
text01#4,"""굉장히 신이 난 것 같았지만<br>입구가 조금 소란스러웠던가……"""
text02#2,"""그 뒤 바로 상점 에리어로<br>돌아간 모양이라<br>자세한 건 모르겠지만."""
text03#2,"""……뭐, 어쨌든<br>모처럼 카지노 에리어에<br>와 줬으니까"""
text04#2,"""라피 슬롯도<br>괜찮으면 플레이해 봐!"""
