11_voice_NPC_5185_100#0,"""Oh... <%me>.<br>Um, is it ok if you take this?"""
favs_before_020#0,"""You've been taking such good care of me, so...<br>I wanted to give you something in return."""
favs_after_010#0,"""Don't say thank you. This is me thanking you. We'll be together forever."""
favs_after_020#0,"""As long as I know that, I don't feel lonely. It makes me so happy."""
favs_after_030#0,"""I look forward to all the things we'll do together, <%me>."""
favs_present_010#0,"""Received <yellow>Photon Sphere<c> from Matoi."""
favs_present_020#0,"""Received <yellow>Megiverse<c> from Matoi."""
favs_present_030#0,"""Received <yellow>Excube<c> from Matoi."""
favs_present_040#0,"""Received <yellow>Extreme Pass<c> from Matoi."""
favs_present_050#0,"""Received <yellow>Namegid<c> from Matoi."""
favs_present_060#0,"""Received <yellow>Tri Boost +50%<c> from Matoi."""
favs_present_070#0,"""Received <yellow>Ability Success Rate +10%<c> from Matoi."""
favs_present_080#0,"""Received <yellow>Grind Risk Reduction (+2)<c> from Matoi."""
favs_present_090#0,"""Received <yellow>Ability Success Rate +10%<c> from Matoi."""
favs_present_100#0,"""Received <yellow>Ilmegid<c> from Matoi."""
favs_present_add_001#0,"""Received <yellow><%skit_text><c> from Matoi."""
11_voice_NPC_5185_100#1,"""Oh, uh... Take care, okay?"""
11_voice_NPC_5185_101#0,"""There are so many people here. So many things to see, I'm almost dizzy. I wonder why, it's so much fun. """
11_voice_NPC_5185_100#2,"""I don't remember much of the past, but for some reason it doesn't worry me. ...I wonder why? """
11_voice_NPC_5185_100#3,"""I know I've seen everyone gathered around like this before, but it all feels fresh to me. ...I'm enjoying just watching. """
11_voice_NPC_5185_105#0,"""Sometimes I have dreams. I don't remember what happens in them, but they're strange dreams. They're kind of frightening, familiar..."""
11_voice_NPC_5185_101#1,"""Welcome back, <%me>.<br>Working hard as usual, I see. Yep, working hard. """
11_voice_NPC_5185_105#1,"""I was lucky to be rescued, but I can't help but wonder if there are more out there like me."""
Matoi_08_020#0,"""If there are...I kind of feel bad that I was the only one saved."""
11_voice_NPC_5185_105#2,"""Being an ARKS member looks tough, but everyone looks so lively, I'm really jealous. I hope I can stand by their side one day. """
11_voice_NPC_5185_104#0,"""Me? I'm not bored at all. I have you and lots of other people to talk to."""
11_voice_NPC_5185_100#4,"""I wonder what I'll do once I get better.<br>...Just as a goal, I mean. Just thinking about it helps me keep going. """
11_voice_NPC_5185_104#1,"""ARKS members always seem to be so well dressed. I wish I had something nicer to wear..."""
11_voice_NPC_5185_100#5,"""Hmm...I wonder why I don't have much memories left, but I feel so liberated right now. """
