11_voice_NPC_5213_100#0,"""あ……<%me><br>えっと、その、ちょっといい？"""
favs_before_020#0,"""わたしさ、いつもお世話になって<br>ばっかりだから、その……<br>渡したいものが、あるの。"""
favs_after_010#0,"""お礼とか、言わないでね。<br>お礼を言いたいのはわたしのほう。<br>いつもいつも、一緒にいてくれるから。"""
favs_after_020#0,"""あなたがいつも一緒にいてくれるから<br>わたしは全然寂しくない。<br>それがすごく、嬉しいの。"""
favs_after_030#0,"""だから、これからもよろしくね。<br><%me>。"""
favs_present_010#0,"""Received \""Photon Sphere\"" from Matoi."""
favs_present_020#0,"""Received \""Megiverse\"" from Matoi."""
favs_present_030#0,"""Received \""Excube\"" from Matoi."""
favs_present_040#0,"""Received \""Extreme Pass\"" from Matoi."""
favs_present_050#0,"""Received \""Namegid\"" from Matoi."""
favs_present_060#0,"""Received \""Tri Boost +50%\"" from Matoi."""
favs_present_070#0,"""Received \""Ability Success Rate +10%\"" from Matoi."""
favs_present_080#0,"""Received \""Grind Risk Reduction (+2)\"" from Matoi."""
favs_present_090#0,"""Received \""Ability Success Rate +10%\"" from Matoi."""
favs_present_100#0,"""Received \""Ilmegid\"" from Matoi."""
favs_present_add_001#0,"""Received \""<%skit_text>\"" from Matoi."""
11_voice_NPC_5213_100#1,"""Oh, uh... Take care, okay?"""
11_voice_NPC_5213_101#0,"""There are so many people here. So many things to see, I'm almost dizzy. I wonder why, it's so much fun. """
11_voice_NPC_5213_100#2,"""I don't remember much of the past, but for some reason it doesn't worry me. .......I wonder why? """
11_voice_NPC_5213_100#3,"""I know I've seen everyone gathered around like this before, but it all feels fresh to me. .......I'm enjoying just watching. """
11_voice_NPC_5213_105#0,"""Sometimes I have dreams. I don't remember what happens in them, but they're strange dreams. They're kind of frightening, familiar......."""
11_voice_NPC_5213_101#1,"""Welcome back <%me>. Working hard as usual, I see. Yep, working hard. """
11_voice_NPC_5213_105#1,"""I was lucky to be rescued, but I can't help but wonder if there are more out there like me."""
Matoi_08_020#0,"""If there are.......I kind of feel bad that I was the only one saved."""
11_voice_NPC_5213_105#2,"""Being an ARKS member looks tough, but everyone looks so lively, I'm really jealous. I hope I can stand by their side one day. """
11_voice_NPC_5213_104#0,"""Me? I'm not bored at all. I have you and lots of other people to talk to."""
11_voice_NPC_5213_100#4,"""I wonder what I'll do once I get better. .......just as a goal, I mean. Just thinking about it helps me keep going. """
11_voice_NPC_5213_104#1,"""ARKS members always seem to be so well dressed. I wish I had something nicer to wear......."""
11_voice_NPC_5213_100#5,"""Hmm.......I wonder why I don't have much memories left, but I feel so liberated right now. """
Matoi_13_020#0,"""I wonder whether there wasn't much I could do in my past life, and I was suffocating because of it? If that's the case maybe this is happiness. """
11_voice_NPC_5213_104#2,"""Do you know where they get all the data they put up on that big monitor? It's such a mystery, it's construct and all. """
