name01#0,"""Сиерра"""
11_voice_train_04001#0,"""Привет!<br>Сейчас мы с вами приступим<br>к тренировке по основам<br>класса хантер!"""
text02#0,"""Для начала мы потренеруемся<br>правильному выполнению<br><red>Just Attack<c>!"""
text03#0,"""После обычной атаки либо Фотон<br>Арта появляется красный круг.<br>Старайтесь атаковать в момент<br>становления круга красным,<br>чтобы попасть в<br><red>Just Attack<c>!"""
text04#0,"""Давайте используем обычную<br>атаку, и в момент становления<br>круга красным, используем<br>Фотон Арт!"""
text101#0,"""1-я задача: <yellow>Выполните Just Attack PA"""
train_title#0,"""1-я задача: <yellow>Выполнить Just Attack PA"""
tut_title#0,"""Just Attack'и"""
text100#0,"""・Используйте обычную атаку <%NormalAttack><br>・При появлении красного круга<br>Используйте Фотон Арт <%PhotonArts>"""
text100_3b#0,"""・Используйте обычную атаку <%NormalAttack><br>・При появлении красного круга<br>Используйте Фотон Арт <%PhotonArts>"""
tut_win_title#0,"""Just Attack'и"""
tut_win_text100#0,"""Успешные атаки, они же \""Just Attack\"", наносят<br>больше урона, чем обычные.<br><br>При нажатии кнопки атаки в момент становления<br>круга красным, <c 00ffff>следующая атака сразу же<br>становится Just Attack'ой<c>.<br><br><c 00ffff>※Актуально для Фотон Артов и техник.<c><br><br><c ff3300>※Отсутствует для питомцев.<c>"""
