name01#0,"""Сиерра"""
text01#0,"""А теперь давайте перейдём<br>к изучению <red>Gear партазанов<c>!"""
text02#0,"""При расходовании одной шакалы<br>Gear'а партазанов, <red>увеличивается<br>сила и дальность действия<br>Фотон Артов<c>."""
text03#0,"""Gear может накапливаться<br>с помощью <red>защиты или во время<br>\""Dance\"" после обычной атаки<c>!"""
text04#0,"""Давайте используем Фотон Арт<br>с 1-й или несколькими шкалами<br>Gear."""
text101#0,"""5-я задача: <yellow>Используйте Фотон Арт с 1-й или несколькими шкалами Gear"""
train_title#0,"""5-я задача: <yellow>Использовать Фотон Арт с 1-й или несколькими шкалами Gear"""
tut_title#0,"""Gear партазанов"""
text100#0,"""・<%WeaponAction> или во время \""Dance\""<br>после атаки, пока<br>не накопите шкалу Gear'а<br>・Используйте Фотон Арт <%PhotonArts>"""
text100_3b#0,"""・<%MainPaletteC> или во время \""Dance\""<br>после атаки, пока<br>не накопите шкалу Gear'а<br>・Используйте Фотон Арт <%PhotonArts>"""
tut_win_title#0,"""Gear партазанов"""
tut_win_text100#0,"""Если вы изучите классовое умение \""Partizan Gear\"",<br>то сможете повысить эффективность оружия.<br><br>При продолжении выполнения \""Dance\"" после атаки,<br>или нахождении в защите, вы будете накапливать Gear.<br><br>Накопленный Gear расходуется при использовании<br>Фотон Артов и имеет эффект усиления оружия, а также<br>увеличения их дальности действия."""
