name01#0,"""Сиерра"""
text01#0,"""А теперь давайте перейдём<br>к изучению <red>Gear цепных лэнсов<c>!"""
text02#0,"""Цепные лэнсы могут израсходовать<br>одну шкалу Gear и тем самым<br>усилить мощность Фотон Артов<br><red>удерживающего типа<c>."""
text03#0,"""Давайте используем Фотон Арт<br>с 1-й или несколькими шкалами<br>Gear."""
text101#0,"""4-я задача: <yellow>Используйте Фотон Арт с 1-й или несколькими шкалами Gear"""
train_title#0,"""4-я задача: <yellow>Использовать Фотон Арт с 1-й или несколькими шкалами Gear"""
tut_title#0,"""Gear цепных лэнсов"""
text100#0,"""・Атакуйте врага и накопите<br>шкалу(ы) Gear'а<br>・Используйте Фотон Арт <%PhotonArts>"""
text100_3b#0,"""・Атакуйте врага и накопите<br>шкалу(ы) Gear'а<br>・Используйте Фотон Арт <%PhotonArts>"""
tut_win_title#0,"""Gear цепных лэнсов"""
tut_win_text100#0,"""При изучении классового умения \""Wired Lance Gear\"",<br>вы сможете увеличить силу цепных лэнсов.<br><br>При атаке, вы будете накапливать Gear и получать<br>шкалу за шкалой.<br><br>Накопленный Gear расходуется при использовании<br>Фотон Артов удерживающего типа и они получают<br>дополнительный эффект увеличения силы."""
