name01#0,"""Сиерра"""
text01#0,"""Теперь я расскажу вам о<br><red>Gear'е меча<c>!"""
text02#0,"""По мере заполнения Gear'а меча<br><red>можно усилить Фотон Арты и<br>сократить время их зарядки<c>！"""
text03#0,"""А теперь, давайте попробуем<br>использовать Фотон Арты<br><red>с 2-я и более шкалами Gear'а<c>."""
text101#0,"""3-я задача: <yellow>Используйте Фотон Арт с 2-я и более шкалами Gear'а"""
train_title#0,"""3-я задача: <yellow>Использовать Фотон Арт с 2-я и более шкалами Gear'а"""
tut_title#0,"""Gear меча"""
text100#0,"""・Атакуйте врага и накопите<br>2 шкалы Gear'а<br>・Используйте Фотон Арт <%PhotonArts>"""
text100_3b#0,"""・Атакуйте врага и накопите<br>2 шкалы Gear'а<br>・Используйте Фотон Арт <%PhotonArts>"""
tut_win_title#0,"""Gear меча"""
tut_win_text100#0,"""Если вы изучите классовый навык меча \""Sword Gear\"",<br>то сможете ещё больше повысить его эффективность.<br><br>При атаке постепенно будут накапливаться 2-я и 3-я<br>шкалы Gear.<br><br>Повышение уровня Gear может усилить Фотон Арт и<br>сократить время зарядки."""
