text00#0,"""Endless Quest \""Versión básica\"""""
text10#0,"""Endless Quest \""Versión avanzada\"""""
text100#0,"""Volver"""
Title#0,"""Endless Quest Versión básica"""
text0001#0,"""\""Endless Quest\"" es una misión en la que completas misiones generadas<br>aleatoriamente, con el objetivo de <c f4a142>obtener<br>el puntaje más alto posible dentro del límite de tiempo<c>.<br><br>Puede ganar puntos de las siguientes maneras:<br>・Al completar \""Órdenes de misión\""<br>・Al derrotar a los enemigos<br><br>Puede aumentar su límite de tiempo de las siguientes maneras:<br>・Al completar \""Órdenes de misión\""<br>・Al llegar al \""Área de intervalo\"""""
text0002#0,"""Cada misión tiene \""Órdenes de misión\"", que puede completar para<br><c f4a142>ganar puntos y aumentar su límite de tiempo<c>.<br><br>Cuanto más aumente su límite de tiempo,<br>más lejos podrá llegar y más puntos puedes ganar.<br><br>También ganarás mejores recompensas al final de la misión,<br>así que intenta completar tantas Órdenes de Misión como puedas."""
text0003#0,"""El \""Área de intervalo\"" es un punto de descanso durante la misión.<br>Cuando un jugador llega a esta área, el tiempo <c f4a142>se detiene,<br>y su límite de tiempo aumenta en una cierta cantidad<c>.<br><br>Además, su número de Half Doll disponible utiliza recargas,<br>y usted puede comprar artículos en la tienda.<br>Asegúrese de abastecerse de artículos para la próxima misión."""
text0004#0,"""Esto explica las recompensas y el puntaje.<br><br>Todos los objetos que bota el enemigas están disponibles<br>para recoger al final de la misión.<br><br><yellow>Su Rare Drop Rate sube a medida que aumenta su puntaje,<c><br>así que trabaje en conjunto y busque un puntaje alto.<br><br>Los puntajes altos de Endless Quest se guardan por separado,<br>se dividen por nivel de dificultad y \""Condiciones\"", y se pueden<br>consultar desde la asistente de misiones."""
text0005#0,"""Esto explica el  \""Tipos de puntaje\"".<br><br>Los puntajes altos de Endless Quest se pueden ven en la<br>asistente de misiones.<br><br>Los puntajes altos se guardan por separados para cada<br>nivel de dificultad y \"" Condición\""."""
Title#1,"""Endless Quest Versión avanzada"""
text0001#1,"""Esto explica los tipos de \""Órdenes de misión\"".<br><br><yellow>●Tipo de bonificación<c><br>Cada vez que complete una de estas Órdenes de Misión, ganará tiempo adicional.<br><yellow>Ejemplo) ¡Derrota a los enemigos desde el frente!<c><br><c 00ff00>●Tipo de penalización<c><br>Cada vez que fallas tu objetivo, pierdes tiempo.<br><c 00ff00>Ejemplo) No se deje incapacitar!<c><br><c ff4f3f>●Tipo de logro<c><br>Una orden de alto riesgo y alta recompensa que concede tiempo adicional si alcanza la meta,<br>pero ninguna si falla.<br><c ff4f3f>Ejemplo) ¡Derrota a 99 enemigos en 60 segundos!<c>"""
text0002#1,"""Esto explica \""Success Buff\"".<br><br>Cuando <yellow> logra Órdenes de Misión<c>,<br>puede ganar un beneficio de fortalecimiento para los jugadores en la siguiente área.<br>Esto se llama <c 00ffff>\""Success Buff\""<c>.<br><br><c 00ffff>Success Buffs<c> se aplican solo a esa área.<br><br><yellow>La posibilidad de que Success Buffs ocurran mejora a medida<br>que consigues más Órdenes de Misión<c>,<br>así que haz tu mejor esfuerzo para completar tantas órdenes como puedas."""
text0003#1,"""\""Mission Accident\""<br>Esto explicará \""Round Accidents\"".<br><br>Al proceder a la próxima misión, puede producirse un \""Accidente de misión\"", que causa <c ff4f3f>diversos efectos, incluido el fortalecimiento de enemigos. Estos efectos continuarán hasta el final de la misión.<c><br><br>Además, después de completar todas las misiones, pasará a la segunda vuelta y se producirá un \""Round Accident\"". Al igual que con un accidente de misión, esto trae varios efectos, pero continúan <cff4f3f>hasta el final de la vuelta<c>."""
text0004#1,"""En Endless Quests, tienes puntuaciones altas separadas<br>para cada una de las diversas condiciones.<br><br><yellow>●Condición: Solo<c><br>Este es tu puntaje cuando juegas solo en la misión.<br><br><yellow>●Condición: 4 clases<c><br>Este es tu puntaje cuando juegas en un grupo de 4 personas,<br>todas de diferentes clases.<br><br><yellow>●Condition: Free<c><br>Este es su puntaje cuando ninguno de los dos anteriores se aplica."""
