text00#0,"""Quest Points"""
text01#0,"""Obtain Quest Points by defeating the following Darker enemies:<br><br>Dagan: 1 point"""
text02#0,"""Obtain Quest Points by defeating the following Darker enemies:<br><br>Krahda: 1 point"""
text03#0,"""Obtain Quest Points by defeating the following Darker enemies:<br><br>Kartargot: 3 points"""
text04#0,"""Obtain Quest Points by defeating the following Darker enemies:<br><br>Breeahda: 3 points"""
text05#0,"""Obtain Quest Points by defeating the following Darker enemies:<br><br>El Dagan: 2 points"""
text06#0,"""Obtain Quest Points by defeating the following Darker enemies:<br><br>El Ahda: 3 points<br><br>Reports suggest other powerful Darkers are also on the prowl. If you can find and defeat them, you will be awarded a large number of Quest Points."""
text07#0,"""Obtain Quest Points by defeating the following Darker enemies:<br><br>Dagan: 2 points"""
text08#0,"""Obtain Quest Points by defeating the following Darker enemies:<br><br>Krahda: 2 points"""
text09#0,"""Obtain Quest Points by defeating the following Darker enemies:<br><br>Kartargot: 6 points"""
text10#0,"""Obtain Quest Points by defeating the following Darker enemies:<br><br>Breeahda: 6 points"""
text11#0,"""Obtain Quest Points by defeating the following Darker enemies:<br><br>El Dagan: 4 points"""
text12#0,"""Obtain Quest Points by defeating the following Darker enemies:<br><br>El Ahda: 6 points<br><br>Reports suggest other powerful Darkers are also on the prowl. If you can find and defeat them, you will be awarded a large number of Quest Points."""
