name_7437#0,"""Alvaro"""
ssn_014960_0001#0,"""อยู่ๆ แถวนี้ก็มีคนพลุกพล่านเต็มไปหมด"""
ssn_014960_0002#0,"""ไม่ได้หมายความว่าไม่ดีใจหรอกนะ ที่ได้เห็นเหล่า ARKS ที่ขยันขันแข็งหลั่งไหลกันเข้ามา"""
ssn_014960_0101#0,"""นี่ เคยไปที่ Bergana Ruins มาแล้วใช่ไหม?"""
ssn_014960_0102#0,"""ฉันออกสำรวจพื้นที่แถบนั้นมาก่อนที่พวกเธอจะมากันเสียอีก"""
ssn_014960_0103#0,"""หน่วยแนวหน้าได้ช่วยกระจายข้อมูลที่ฉันรวบรวมมาด้วย หวังว่ามันจะช่วยใครได้บ้างนะ"""
ssn_014960_0104#0,"""แต่ฉันมีปัญหาอยู่นิดหน่อยน่ะ"""
ssn_014960_0105#0,"""ถ้าไม่ว่าอะไร ฉันคงจะซาบซึ้งใจมากถ้าได้รับความช่วยเหลือจากคนเก่งๆ อย่างเธอน่ะ"""
ssn_014960_0201#0,"""ฉันฝากจัดการพวกศัตรูใน Bergana Ruins ด้วยนะ"""
ssn_014960_0202#0,"""ระวังตัวด้วยล่ะ"""
ssn_014960_0301#0,"""อา เข้าใจแล้ว... ตอนนี้เธอคงมีเรื่องให้จัดการมากพออยู่แล้วสินะ"""
ssn_014960_0302#0,"""ถ้าเปลี่ยนใจล่ะก็ ฉันอยากให้เธอมารับฟังกันหน่อยนะ"""
ssn_014960_0401#0,"""ขอบคุณอีกครั้งนะที่ช่วยจัดการศัตรูใน Ruins ให้ ทีนี้ฉันก็ตรวจสอบต่อไปได้สักที"""
ssn_014960_0402#0,"""เธออาจจะเคยได้ยินเรื่องนี้มาบ้างแล้ว แต่ Kvaris เคยเป็นบ้านของคนจำนวนมากเลยนะ"""
ssn_014960_0403#0,"""แต่คนส่วนใหญ่จบชีวิตลงในการต่อสู้ครั้งใหญ่..."""
ssn_014960_0404#0,"""เมืองของพวกเขาที่ Mt. Latva เลยถูกฝังอยู่ใต้หิมะและน้ำแข็ง"""
ssn_014960_0405#0,"""เขาว่ากันว่าคนที่รอดชีวิตต่างย้ายไปที่เมืองของ Aelio และ Retem"""
ssn_014960_0406#0,"""ถ้าดูจากจำนวนสิ่งปลูกสร้างแล้ว Bergana Ruins น่าจะเคยถูกใช้เป็นที่หลบภัยสำหรับคนพวกนั้น"""
ssn_014960_0407#0,"""ยอดของสิ่งปลูกสร้างสูงๆ พวกนั้นสามารถมองเห็นได้จากพื้นดินเลยล่ะ"""
ssn_014960_0408#0,"""ฉันเพิ่งจะได้ศึกษาแค่ส่วนเล็กๆ ของสิ่งปลูกสร้างพวกนั้นเท่านั้นเอง"""
ssn_014960_0409#0,"""แต่พอมีพวกหน้าใหม่ลงพื้นที่แบบนี้ ฉันเชื่อว่าการสืบสวนของฉันน่าจะคืบหน้าไปได้มากเลยทีเดียว"""
ssn_014960_0410#0,"""ฉันอาจจะค้นพบความก้าวหน้าในการต่อสู้กับพวก DOLLS ด้วยซ้ำ"""
ssn_014960_0411#0,"""ขอบคุณมากสำหรับความช่วยเหลือนี้นะ ซาบซึ้งใจจริงๆ"""
ssn_014960_0412#0,"""หวังว่าจะได้ร่วมงานกันอีกนะ"""
ssn_014960_0501#0,"""งานวิจัยของฉันเข้าใกล้ความสำเร็จมากขึ้นทุกวันเลย"""
ssn_014960_0502#0,"""ฉันตั้งใจว่าจะเพิ่มความพยายามในการตรวจสอบซากปรักหักพังพวกนั้นเป็นสองเท่าเลยล่ะ"""
