name_7006#0,"""Ран"""
ssn_012070_0001#0,"""Благодарю вас за активные старания! Бурудар рассказал мне, что<br>вы хотели бы узнать о всех способах сражения на Хальфе."""
ssn_012070_0002#0,"""На самом деле, у меня есть к вам просьба<br>как раз связанная с этим..."""
ssn_012070_0003#0,"""С целью оказания поддержки ARKS в качестве оператора,<br>я провожу собственное исследование различных врагов."""
ssn_012070_0004#0,"""Не могли бы вы позволить мне следить за вашим состоянием<br>во время боя против различных врагов?"""
ssn_012070_0005#0,"""Спасибо вам большое! Вы же точно возьмётесь за это?"""
ssn_012070_0006#0,"""Я, из всех операторов в командовании, самая зелёная.<br>Я хочу как можно скорее догнать остальных."""
ssn_012070_0007#0,"""И поэтому, чтобы сделать это, я решила, что сначала<br>нужно расширить свои знания о наших врагах."""
ssn_012070_0008#0,"""Поэтому я хочу провести измерения феномена, известного<br>как “Всплеск PSE”, вызываемого изменениями PSE в атмосфере."""
ssn_012070_0009#0,"""Непосредственно сам “Всплеск PSE” заставляет волны<br>врагов обрушиваться на окружающую территорию."""
ssn_012070_0010#0,"""В последнее время активность на горе Магнус возросла, так что<br>не могли бы вы отправиться туда и разобраться с местными врагами,<br>пока я буду следить за колебаниями PSE?"""
ssn_012070_0101#0,"""Вот оно что...<br>Ну, не стесняйтесь обращаться ко мне в любое время."""
ssn_012070_0201#0,"""Если я смогу что-то сделать для вас в качестве оператора,<br>пожалуста, просто обратитесь ко мне."""
ssn_012070_0202#0,"""Я хочу максимально упростить жизнь всем."""
ssn_012070_0301#0,"""Эта миссия наверняка будет полна опасностей.<br>Я буду поддерживать вас всем, что у меня есть!"""
ssn_012070_0302#0,"""Удачи вам!"""
