ssc_501140_0010#0,"""너도 왔었구나."""
ssc_501140_0020#0,"""가로아에게 보고?"""
ssc_501140_0030#0,"""뭔가 고민이 있어?"""
ssc_501140_0040#0,"""응, 아빠한테 하고 싶은 말이<br>잔뜩 있으니까…."""
ssc_501140_0050#0,"""아니, 그게 아니라<br>그동안의 일들을 되돌아보고 있었어."""
ssc_501140_0060#0,"""…정말 많은 일들이 있었지?"""
ssc_501140_0070#0,"""겨시에서의 싸움으로<br>모든 것이 시작되고…."""
ssc_501140_0080#0,"""에아리오, 리템,<br>크바리스, 스티아…."""
ssc_501140_0090#0,"""할파 안에서,<br>돌즈랑 싸웠어."""
ssc_501140_0100#0,"""그리고 제페토가 만든<br>다크 펄스와의 싸움."""
ssc_501140_0110#0,"""그 제페토와의 싸움."""
ssc_501140_0120#0,"""그리고 스타레스의 바엘도…."""
ssc_501140_0130#0,"""…이길 수 있었던 건,<br>대부분 네 활약 덕분이였지만."""
ssc_501140_0140#0,"""나 혼자서 이룬 게 아니야."""
ssc_501140_0150#0,"""더 많이 칭찬해 줘."""
ssc_501140_0160#0,"""맞아.<br>다들 노력했어."""
ssc_501140_0170#0,"""맞아.<br>잔뜩 칭찬해줄게!"""
ssc_501140_0180#0,"""정말로 고마워."""
ssc_501140_0190#0,"""…그래도, 아직 싸움은 끝나지 않았어."""
ssc_501140_0200#0,"""무슨 일어나도 대응하도록,<br>제대로 준비해둬야지."""
ssc_501140_0210#0,"""…아, 맞아."""
ssc_501140_0220#0,"""리쿠르나 루카 일행이<br>정식으로 아크스 활동하기 시작했어."""
ssc_501140_0230#0,"""다들 의욕이 넘치고 있어."""
ssc_501140_0240#0,"""「우리들의 힘으로, 할파를 평화롭게 하겠다」라고."""
ssc_501140_0250#0,"""열심히 했으면 좋겠네."""
ssc_501140_0260#0,"""믿고 있어."""
ssc_501140_0270#0,"""응.<br>네가 그렇게 말했다고 전해줄게."""
ssc_501140_0280#0,"""나도 더 열심히 해야겠어."""
ssc_501140_0290#0,"""지금은 아크스 전체 전력 정강에 대해서<br>브루더 일행과 상의하고 있는 중이야."""
ssc_501140_0300#0,"""새로운 훈련대를<br>봐달라는 이야기도 있고…."""
ssc_501140_0310#0,"""할 일이 참 많아."""
ssc_501140_0320#0,"""너와 함께<br>나란히 설 수 있는 존재가 되기 위해서!"""
ssc_501140_0330#0,"""지켜봐 줘, 아빠."""
ssc_501140_0340#0,"""앞으로 무슨 일이 있어도<br>반드시 할파를 지켜낼 테니까!"""
