name_7200#0,"""Карутевье"""
ssn_012050_0001#0,"""Центральная Башня, которую видно отовсюду - это здание,<br>являющееся символом Централ-Сити."""
ssn_012050_0002#0,"""Это также радиовышка, которая может отправлять и<br>принимать радиоволны на большой территории. Благодаря<br>ей мы можем общаться, где бы мы не находились."""
ssn_012050_0101#0,"""Бурудар мне прямо сейчас тут говорит."""
ssn_012050_0102#0,"""Соответствующе ли вы усиливаете снаряжение?"""
ssn_012050_0103#0,"""Сейчас, я расскажу вам о “снятии ограничений” у оружия,<br>которое заточено до предела."""
ssn_012050_0104#0,"""Ну, это и не такой уж сложный момент."""
ssn_012050_0105#0,"""Оружие и броню можно заточить в лаборатории предметов.<br>Однако, есть предел того, насколько его можно заточить."""
ssn_012050_0106#0,"""И я как раз говорю о том,.. как преодолеть этот предел."""
ssn_012050_0107#0,"""Лучше попробовать на практике, чем слушать просто в теории.<br>Вот, я дам вам это, так что идите в лабораторию."""
ssn_012050_0201#0,"""Ясно. Если захочешь, надеюсь, вы придёте."""
