11_voice_NPC_5021_100#0,"""Отлично. А ты хорош(а).<br>Значит мои опосения были<br>безосновательны."""
text02#0,"""Карточки партёров позволяют вам<br>пригласить товарища, которому<br>она принадлежит, к походу на<br>миссию, даже после начала<br>таковой."""
text03#0,"""Кстати говоря, как-то<br>раз я пригласил..."""
tutorial00#0,"""Клиентские заказы"""
tutorial01#0,"""Новый клиентски заказ доступен у Марлур.<br><br>Марлур можно найти в центральном зале<br>в Зоне Врат."""
tutorial02#0,"""Новый клиентски заказ доступен у Оза.<br><br>Озу можно найти в центральном зале<br>в Зоне Врат."""
tutorial03#0,"""Новый клиентски заказ доступен у Рисы.<br><br>Рису можно найти в центральном зале<br>в Зоне Врат."""
tutorial04#0,"""Новый клиентски заказ доступен у Азанами.<br><br>Азанами можно найти в центральном зале<br>в Зоне Врат."""
tutorial05#0,"""Новый клиентски заказ доступен у Саги.<br><br>Сагу можно найти возле центральной<br>телепортационной кабины в Зоне Врат."""
tutorial06#0,"""Новый клиентски заказ доступен у Катори.<br><br>Катори можно найти возле центральной<br>телепортационной кабины в Зоне Врат."""
tutorial07#0,"""Новый клиентски заказ доступен у Пьетро.<br><br>Пьетро можно найти возле управляющего классами<br>в Зоне Врат."""
