11_voice_NPC_5021_101#0,"""А, это ты! Ты как раз<br>вовремя, молодой ARKS."""
Jan_favs_before_020#0,"""У меня есть что дать тебе.<br>Взгляни на это."""
Jan_favs_before_030#0,"""Если хочешь, можешь взять."""
Jan_favs_after_010#0,"""Не надо благодарности.<br>Я тебе очень благодарен."""
Jan_favs_after_020#0,"""Это было приятно."""
Jan_favs_present_010#0,"""Получен <yellow>Synthesizer<c> от Жана."""
Jan_favs_present_020#0,"""Получена <yellow>Diffuse Shell<c> от Жана."""
Jan_favs_present_030#0,"""Получен <yellow>Synthesizer<c> от Жана."""
Jan_favs_present_040#0,"""Получен <yellow>Synthesizer<c> от Жана."""
Jan_favs_present_050#0,"""Получен <yellow>Synthesizer<c> от Жана."""
Jan_favs_present_060#0,"""Получен <yellow>Synthesizer<c> от Жана."""
Jan_favs_present_070#0,"""Получена <yellow>Grenade Shell<c> от Жана."""
Jan_favs_present_080#0,"""Получен <yellow>Synthesizer<c> от Жана."""
Jan_favs_present_090#0,"""Получен <yellow>Synthesizer<c> от Жана."""
Jan_favs_present_100#0,"""Получен <yellow>Synthesizer<c> от Жана."""
Jan_favs_present_add_001#0,"""Получено <yellow><%skit_text><c> от Жана."""
11_voice_NPC_5021_100#0,"""Хочешь у меня что-то спросить?<br>Некто зовущийся Сантой?<br>Хмм, мне кое-что известно."""
Paty_01_20#0,"""Как давно это было...<br>Когда-то, когда я был ещё молод,<br>челнок остался без энергии<br>со мной внутри."""
Paty_01_30#0,"""Дрейфуя в поясе астероидов,<br>я встретил там воина с таким<br>именем."""
Paty_01_40#0,"""Он пилотировал гуманоидное<br>оружие, напоминающее красный<br>A.I.S. Он был храбрым человеком,<br>настоящим воином в душе."""
Paty_01_50#0,"""Работая вместе, мы девять раз<br>избежали верной смерти. Но после<br>того, как мы вернулись из пояса<br>астероидов, он оказался в<br>ситуации, от которой никто<br>не смог бы спастись..."""
Auyuku_01_010#0,"""おお、君か……なに？<br>大切な相手に礼を尽くすために<br>経験豊富な私から助言がほしい？"""
11_voice_NPC_5021_100#1,"""うむ、見上げた心がけだ！<br>昨今では年上を煙たがる者も多いが<br>やはり守護輝士は違うな！"""
Auyuku_01_030#0,"""して、世話になった人に喜ばれる<br>贈答品には、どんなものが良いかと<br>いうことだが……"""
Auyuku_01_040#0,"""礼とは、相手に心を尽くすこと。<br>心を込めた手作りのチョコレートなど<br>喜ぶ者も多いのではないか？"""
11_voice_NPC_5021_104#0,"""思えば、私も昔は<br>婦人への贈り物で手痛い失敗を……"""
11_voice_NPC_5021_100#2,"""たゆまぬ努力は己を強くする。<br>それは絶対に変わることのない摂理だ。<br>忘れるんじゃないぞ。"""
11_voice_NPC_5021_100#3,"""アークスたるもの油断は禁物だ。<br>いついかなるときにダーカーが<br>襲ってくるかわからないからな。"""
11_voice_NPC_5021_102#0,"""武器や防具はアークスの生命線。<br>可能な限り、強力なものを<br>用意していくんだぞ。"""
11_voice_NPC_5021_101#1,"""マグは成長させているか？<br>成長と共に、戦闘中の補助などを<br>行ってくれる、有意義な存在だ。"""
11_voice_NPC_5021_101#2,"""メディカルセンターを活用すれば<br>戦闘前から有利な状態で<br>交戦することが可能だ。忘れるな。"""
