00_01#0,"""1-я опция"""
00_02#0,"""2-я опция"""
TALK_ST#0,"""Говорить"""
C_ORDER_ST#0,"""Узнать подробности"""
Q0#0,"""Я могу рассказать вам<br>о принципе игры в<br>Аркума-слот"""
HELLO#0,"""Я могу рассказать вам<br>о принципе игры в<br>Аркума-слот"""
HELLO_FAV4#0,"""Я могу рассказать вам<br>о принципе игры в<br>Аркума-слот"""
HELLO_FAV3#0,"""Я могу рассказать вам<br>о принципе игры в<br>Аркума-слот"""
HELLO_FAV2#0,"""Я могу рассказать вам<br>о принципе игры в<br>Аркума-слот"""
HELLO_FAV1#0,"""Я могу рассказать вам<br>о принципе игры в<br>Аркума-слот"""
HELLO_FAV0#0,"""Я могу рассказать вам<br>о принципе игры в<br>Аркума-слот"""
GOODBYE#0,"""Если не осталось свободных<br>автоматов, подождите, пока<br>кто-нибудь не уйдёт"""
GOODBYE_FAV4#0,"""Если не осталось свободных<br>автоматов, подождите, пока<br>кто-нибудь не уйдёт"""
GOODBYE_FAV3#0,"""Если не осталось свободных<br>автоматов, подождите, пока<br>кто-нибудь не уйдёт"""
GOODBYE_FAV2#0,"""Если не осталось свободных<br>автоматов, подождите, пока<br>кто-нибудь не уйдёт"""
GOODBYE_FAV1#0,"""Если не осталось свободных<br>автоматов, подождите, пока<br>кто-нибудь не уйдёт"""
GOODBYE_FAV0#0,"""Если не осталось свободных<br>автоматов, подождите, пока<br>кто-нибудь не уйдёт"""
