text01#0,"""テキストがまだないので仮です１"""
text03#0,"""テキストがまだないので仮です２"""
text02#0,"""テキストがまだないので仮です３"""
text10#0,"""【심원의 어둠】과의 싸움을 시작한다"""
text20#0,"""준비를 갖춘다"""
ep5test01#0,"""ep5スキット1"""
ep5test02#0,"""ep5スキット2"""
11_voice_NPC_5438_100#0,"""그런데 다들, 내 모습을 보고<br>뭔가 할 말이 있지 않아?"""
sq00_020#0,"""뭐, 지금은 그럴 상황도 아니니<br>진정된 뒤라도 괜찮지만."""
11_voice_NPC_5438_100#1,"""【쌍자】 안에서 돌아왔을 때도 그렇고<br>넌 갑자기 돌아오는 게<br>능력 중 하나인지도 모르겠네."""
sq01_020#0,"""연산으로도 가늠할 수 없어.<br>너라는 존재는 계산 밖에 있어.<br>……그래서 보는 재미가 있지."""
sq02_010#0,"""루서가 있었던 것보다<br>우선 그 세계가 존재한다는<br>사실 자체가 이상해."""
sq02_020#0,"""무슨 일이 있고 누가 있더라도<br>놀랄 일은 아니야.<br>아니, 놀랄 때가 아닌가."""
sq02_030#0,"""오히려 상대 성격을 아니까<br>대응하기 쉬울지도 몰라.<br>어디까지 같은지는 모르지만."""
sq03_010#0,"""지금 벌어지는 다커의 강화는<br>시간 역행에 따른 역사 개변이나<br>유리한 역사의 선택과 같은 거야."""
sq03_020#0,"""다커에게 유리한 역사로<br>조금씩 다시 쓰이고 있어."""
11_voice_NPC_5438_104#0,"""극적이지는 않지만<br>계속 이어지는 변화라 조금 위험해.<br>통상 임무 배분도 생각해야겠어."""
sq04_010#0,"""【심원의 어둠】 반응……<br>【가면】 반응도 찾고 있지만<br>아직 발견하지 못했어."""
11_voice_NPC_5438_104#1,"""아니, 그럴듯한 반응은 있지만<br>여기저기 흩어져 있다고 할까<br>……너무 모호해."""
sq04_030#0,"""나타났다 사라져서……잡히지 않아.<br>마치 여기저기를 오가는 것처럼<br>말이야."""
sq05_010#0,"""……마토이 말이 맞아.<br>지금 【심원의 어둠】은 포토너와<br>연관성이 분명히 낮아."""
sq05_020#0,"""그런데도 오메가 안에서는<br>그쪽으로 치우친 일만 일어나.<br>……뭔가 있다고밖에 볼 수 없어."""
11_voice_NPC_5438_104#2,"""……데이터를 가져올 수 있다면<br>여러 분석이 가능한데<br>다른 세계는 이래서 곤란하네."""
sq06_010#0,"""루서와 하리엣의 비밀……<br>그것도 포토너 시대의 무언가를<br>되풀이하는 걸까."""
11_voice_NPC_5438_104#3,"""루서의 기록은<br>녀석이 직접 전부 폐기해서<br>추적할 수 없는 게 답답하네."""
11_voice_NPC_5438_105#0,"""실종자는 이쪽 세계에서도<br>계속 찾아볼게.<br>……가능성은 낮겠지만."""
sq08_020#0,"""솔직히 너희 조사에 기대고 있어.<br>둘 다 조심해."""
sq09_010#0,"""아이카는 메디컬 체크 외에도<br>자세히 조사했지만, 실종 전과<br>몸 상태가 전혀 달라지지 않았어."""
11_voice_NPC_5438_104#4,"""하지만 본인 기억도 거의 남지 않았고<br>실종됐다고 생각하지도 않는 듯해.<br>아마 다른 사람들도 그렇겠지."""
sq09_030#0,"""빨리 발견해서 보호해 줘.<br>잘 부탁해."""
sq10_010#0,"""블랙홀의 확대 속도는<br>서서히 안정되고 있어.<br>지금 하는 일은 헛되지 않아."""
11_voice_NPC_5438_104#5,"""하지만 멈춘 건 아니야.<br>즉, 아직 뭔가 숨어 있어.<br>……생각보다 뿌리 깊은 것 같아."""
sq11_010#0,"""【쌍자】가 나타나는 건 예상했어.<br>하지만 블랙홀의 확대 속도가<br>별로 달라지지 않은 건 의외네."""
sq11_020#0,"""다크 펄스가 발생할 때마다<br>속도가 빨라지는 경향이<br>보였는데……"""
11_voice_NPC_5438_104#6,"""……시온이라면 이걸<br>어떻게 분석했을까.<br>생각해 봐야 소용없지만."""
sq12_010#0,"""아크스 모두에게 현 상황은<br>어느 정도 숨기고 있어.<br>덕분에 혼란은 없어."""
11_voice_NPC_5438_104#7,"""모두 알릴까도 생각했지만<br>오메가는 혼란만 일으킬 테고<br>블랙홀은 손쓸 방법이 없어."""
sq12_030#0,"""괜히 알려서 혼란에 빠뜨리느니<br>일시적으로 정보를 통제한 거야.<br>나중에는 제대로 설명할게."""
sq12_040#0,"""그보다 먼저 이 상황을<br>어떻게든 해결해야 해.<br>그렇지?"""
sq13_010#0,"""종말의 여신 시바는 정보를 모으는 중이야.<br>아우로라와 리사에게도 묻고 있어."""
sq13_020#0,"""……리사에게라기보다<br>리사들에게라고 하는 게<br>정확할지도 모르겠지만."""
sq13_030#0,"""정보를 정리하면 연락할게.<br>그때까지는 일단<br>몸을 쉬어 줬으면 해."""
11_voice_NPC_5438_104#8,"""하리엣……그녀에게는 놀랐어.<br>설마 아크스 역사가 시작될 때부터<br>리사 안에서 줄곧 잠들어 있었다니."""
ep6_sq00_02#0,"""그녀는 【심원의 어둠】 봉인의 제물,<br>시바와 동전의 양면인 존재야.<br>그리고 최초의 창세기가……"""
11_voice_NPC_5438_105#1,"""정말이지, 지독한 인연이네.<br>……아니, 감상에 젖을 때가 아니지.<br>군비 대책을 서둘러 진행해야 해."""
11_voice_NPC_5438_104#9,"""알마는 쉬게 하고 있어.<br>지금까지 일 때문에 생각보다<br>피로가 쌓인 모양이야."""
ep6_sq01_01#0,"""알마는 쉬게 하고 있어.<br>지금까지 일 때문에 생각보다<br>피로가 쌓인 모양이야."""
