msc_020020_0010#0,"""모두들 모여줘서 고마워."""
msc_020020_0020#0,"""……우리는 이 순간을 위해<br>지금까지 준비해 왔어."""
msc_020020_0030#0,"""그 날, 에아리오타운을… 많은 동료들을<br>무자비한 빛의 칼날로 이 세상에서 지워버렸던…"""
msc_020020_0040#0,"""다크 펄스를 쓰러뜨리기 위해."""
msc_020020_0050#0,"""녀석은 지금 센트럴 캐논의 일격을 받아<br>위상 공간에서 자가 치유 중일 거야."""
msc_020020_0060#0,"""하지만 스티아의 독이 아니라면<br>완전한 복구는 이뤄지지 않을 거야."""
msc_020020_0070#0,"""언젠가는 이쪽 공간에 나타나겠지."""
msc_020020_0080#0,"""그곳을 한 방에 날려버린다."""
msc_020020_0090#0,"""완성된 센트럴 캐논은 장시간 운용이 가능해."""
msc_020020_0100#0,"""지금의 포신이라면 연속 사격을 견딜 수 있을 거야."""
msc_020020_0110#0,"""다만, 기동에서 사격 자세를 취하기까지의 시간은…"""
msc_020020_0120#0,"""이 시간만큼은 도저히 줄일 수 없었어."""
msc_020020_0130#0,"""다크 펄스가 나타나면<br>너희들에게 발목을 붙잡아 달라고 하고 싶어."""
msc_020020_0140#0,"""너희들은 많은 어려움을 극복하고 지금 이 자리에 서 있어."""
msc_020020_0150#0,"""다크 펄스는 상상을 훨씬 뛰어넘는 존재야."""
msc_020020_0160#0,"""만반의 준비를 하고 임해도<br>무슨 일이 일어날지 몰라."""
msc_020020_0170#0,"""하지만 그런 상상을 뛰어넘는 '무언가'가 일어나도…"""
msc_020020_0180#0,"""지금의 우리라면 이겨낼 수 있다고 믿어."""
msc_020020_0190#0,"""에아리오."""
msc_020020_0200#0,"""리템."""
msc_020020_0210#0,"""크바리스."""
msc_020020_0220#0,"""그리고 스티아의 아크스들이 서로 손을 잡고<br>단 하나의 목표에 도전하려고 하고 있어."""
msc_020020_0230#0,"""이는 우리가 아는 한,<br>할파 역사상 단 한 번도 없었던 일이야."""
msc_020020_0240#0,"""드디어 우리는 하나의 할파가 될 수 있었어."""
msc_020020_0250#0,"""그 관계를 앞으로도 이어가려면…"""
msc_020020_0260#0,"""어떻게든 이 싸움에서 이겨야 해."""
msc_020020_0270#0,"""모두의 힘을 나에게 빌려주었으면 해."""
msc_020020_0280#0,"""다음 지시가 있을 때까지<br>즉시 전투 태세를 갖추고 대기해 줘."""
msc_020020_0290#0,"""승리를… 이 손에 쥐자!"""
