msc_022020_0010#0,"""มาน่อน!"""
msc_022020_0020#0,"""ไอน่า... แล้วก็ <%me>..."""
msc_022020_0030#0,"""ค่อยยังชั่วหน่อย... ฉันคิดถึงเธอมากเลยนะ"""
msc_022020_0040#0,"""...นั่นสินะ"""
msc_022020_0050#0,"""ชุดที่เธอใส่อยู่มันยังไงกันน่ะ?"""
msc_022020_0060#0,"""ครอว์ฟอร์ด (Crawford) ให้ฉันมาน่ะ"""
msc_022020_0070#0,"""ชุดก่อนหน้านี้ของฉันในทางเทคนิคแล้ว<br>เป็นของ Resurgent ARKS น่ะนะ ก็เลย..."""
msc_022020_0080#0,"""อ๋า เข้าใจล่ะ..."""
msc_022020_0090#0,"""มันดูเข้ากับเธอดีนะ"""
msc_022020_0100#0,"""ฉันชอบชุดเก่ามากกว่านะ"""
msc_022020_0110#0,"""เอ๊ะ? ธ-เธอคิดงั้นเหรอ?"""
msc_022020_0120#0,"""อื้ม มันใส่สบายดีน่ะ"""
msc_022020_0130#0,"""อืม ไม่รู้สิ..."""
msc_022020_0140#0,"""ชุดเก่าก็ดูดีนะ<br>แต่ฉันคิดว่าชุดนี้ก็สวยเหมือนกัน"""
msc_022020_0150#0,"""ขอบใจนะ"""
msc_022020_0160#0,"""เธอพอมีเวลาไหม?"""
msc_022020_0170#0,"""พวกเรามีเรื่องให้คุยกันเยอะแยะเลยล่ะ"""
msc_022020_0180#0,"""ใช่ มีเยอะเลยล่ะ..."""
msc_022020_0190#0,"""แต่ขอโทษนะ ฉันไปไม่ได้ เกลน (Glen) เรียก<br>ตัวฉันไปคุยเรื่องทีมสำรวจน่ะ"""
msc_022020_0200#0,"""...อ๋า งั้นเหรอ..."""
msc_022020_0210#0,"""พวกเราก็อยากจะไปช่วยเรื่องนั้นด้วยนะ<br>แต่โดนบอกว่าไปช่วยไม่ได้นี่สิ..."""
msc_022020_0220#0,"""พวกเธอแต่ละคนก็มีภารกิจของตัวเองไม่ใช่เหรอ?"""
msc_022020_0230#0,"""ถ้าเป็นอย่างนั้น พวกเธอก็ควรไปมุ่งเน้นกับเรื่องนั้นนะ"""
msc_022020_0240#0,"""อ-อื้ม..."""
msc_022020_0250#0,"""มาน่อน..."""
msc_022020_0260#0,"""มาน่อน เธออยู่คนเดียวจะไหวเหรอ?"""
msc_022020_0270#0,"""...อา นั่นสินะ<br>ฉันก็ไม่รู้เหมือนกัน..."""
msc_022020_0280#0,"""เธอกังวลเรื่องอะไรอยู่หรือเปล่า?"""
msc_022020_0290#0,"""เธอไม่อยากอยู่ในทีมสำรวจงั้นเหรอ?"""
msc_022020_0300#0,"""กังวลเหรอ?<br>...อื้ม ก็นะ..."""
msc_022020_0310#0,"""เปล่าหรอก ไม่ใช่อย่างนั้น..."""
msc_022020_0320#0,"""ฉันแค่กลัว<br>ที่จะต้องเจอกับทุกคนน่ะ..."""
msc_022020_0330#0,"""ฉันได้ทำเรื่องที่ให้อภัยไม่ได้<br>กับผู้คนบนฮาลฟา (Halpha) ลงไป..."""
msc_022020_0340#0,"""นั่นน่ะ..."""
msc_022020_0350#0,"""นั่นไม่ใช่ความผิดของเธอนะ มาน่อน!"""
msc_022020_0360#0,"""พวกเราทุกคนยังมองว่าเธอเป็นเพื่อนอยู่นะ!"""
msc_022020_0370#0,"""ถึงพวกเธอจะคิดแบบนั้น มันก็ลบล้างอดีตไม่ได้หรอกนะ..."""
msc_022020_0380#0,"""ฉันจะชดใช้ในสิ่งที่ฉันทำลงไปได้ยังไง..."""
msc_022020_0390#0,"""นั่นคือสิ่งเดียวที่ฉันเอาแต่คิดมาตลอดเลย"""
