name_7425#0,"""アディラ"""
ssn_012030_0001#0,"""セントラルシティへようこそ！"""
ssn_012030_0002#0,"""仲間が増えて嬉しいよ！<br>みんなと一緒に、頑張ろうね！"""
ssn_012030_0101#0,"""キミ、ブルーダーが言ってたヒトだね！<br>聞いてるよ。戦いに使える情報だよね？"""
ssn_012030_0102#0,"""そうだなぁ……。<br>それじゃあ、装備品の“特殊能力”って知ってる？"""
ssn_012030_0103#0,"""知らなければ、教えてあげよっか！"""
ssn_012030_0104#0,"""よし！\u3000それじゃ、よく聞いててね！"""
ssn_012030_0105#0,"""“特殊能力”っていうのはね、<br>簡単に言うと、武器や防具の能力を補正するものなんだよ。"""
ssn_012030_0106#0,"""今度、装備のデータを確認する際に、<br>注意して見てみて。"""
ssn_012030_0107#0,"""それで……、実はこの“特殊能力”、<br>同じ装備に追加したり、他の装備に付け替えたりできるんだ。"""
ssn_012030_0108#0,"""装備のチューニングは、“アイテムラボ”でやってくれるんだけど、<br>“特殊能力カプセル”っていうのが必要なんだよね……。"""
ssn_012030_0109#0,"""あたしの特殊能力カプセルをあげる！<br>これを持って、ラボへ行ってみて！"""
ssn_012030_0201#0,"""そう？\u3000もし知りたくなったら、また来てね！"""
