msc_027050_0010#0,"""…엄청나네에.<br>건물이 끝없이 이어져 있어."""
msc_027050_0020#0,"""여기 하나하나에<br>사람이 살았었다는 거지?"""
msc_027050_0030#0,"""…응."""
msc_027050_0040#0,"""여긴 어떤 곳이었을까?"""
msc_027050_0050#0,"""리서전트 아크스의<br>예전 활동 거점입니다."""
msc_027050_0060#0,"""여기는 그 중에서도 가장 큰 거주 구역입니다."""
msc_027050_0070#0,"""이곳을 중심으로<br>몇 개의 다른 구역이 펼쳐져 있는 것 같습니다."""
msc_027050_0080#0,"""지금부터 갈 지하시설도 그 중 하나입니다."""
msc_027050_0090#0,"""그 정보도 제페토가 알려줬어?"""
msc_027050_0100#0,"""네.<br>단편적이긴 하지만요."""
msc_027050_0110#0,"""이렇게나 넓은데,<br>어떻게 지금까지 찾지 못했던 걸까?"""
msc_027050_0120#0,"""할파에서 멀리<br>떨어져 있기 때문입니다."""
msc_027050_0130#0,"""지금 어디에 있는거야?"""
msc_027050_0140#0,"""얼만큼 떨어진 곳이야?"""
msc_027050_0150#0,"""정확한 좌표는 알 수 없지만<br>할파 상공의… 우주 공간입니다."""
msc_027050_0160#0,"""우주… 공간?"""
msc_027050_0170#0,"""할파의 지표면에서 바라본 밤하늘의 별빛.<br>그 안에 우리가 있다는 거지."""
msc_027050_0180#0,"""어…?"""
msc_027050_0190#0,"""…하지만, 텔레포터의 출력을 생각해보면<br>그렇게 먼 곳은 아닐건데… 말이지?"""
msc_027050_0200#0,"""네."""
msc_027050_0210#0,"""그럼에도 지금까지 루시엘의 감시망에서는<br>탐지하지 못했다…."""
msc_027050_0220#0,"""…이 바깥 쪽은 인식 억제 처리가 되어 있다.<br>…라는건가?"""
msc_027050_0230#0,"""하지만 어째서?"""
msc_027050_0240#0,"""으음…<br>넌 무슨 말인지 이해했어?"""
msc_027050_0250#0,"""어떻게든."""
msc_027050_0260#0,"""전혀…."""
msc_027050_0270#0,"""그러고 보니 여기는…."""
msc_027050_0280#0,"""어?<br>그렇구나 대단해…."""
msc_027050_0290#0,"""그, 그렇지…."""
msc_027050_0300#0,"""무슨 일이야?"""
msc_027050_0310#0,"""…잠깐 멍 때리고 있었어."""
msc_027050_0320#0,"""지금 건…."""
msc_027050_0330#0,"""정말이지, 제대로 들어야지."""
msc_027050_0340#0,"""응? 뭔데?"""
msc_027050_0350#0,"""…응?<br>둘 다, 무슨 일 있었어?"""
msc_027050_0360#0,"""아니, 아무것도 아니야.<br>계속 얘기해줘."""
msc_027050_0370#0,"""으, 으응…."""
msc_027050_0380#0,"""…제페토는,<br>이곳을 찾지 못하도록 하고 있었어."""
msc_027050_0390#0,"""할파인 뿐만이 아니라,<br>우리들도 말이지."""
msc_027050_0400#0,"""무언가를 숨기고 있을지도 모른다… 라는 거야?"""
msc_027050_0410#0,"""맞아."""
msc_027050_0420#0,"""어디까지나 가정된 이야기지만."""
msc_027050_0430#0,"""파리아, 앞으로 가야할 곳이<br>어딘지 알겠어?"""
msc_027050_0440#0,"""아뇨, 제가 파악하고 있는 것은,<br>제페토가 있는 곳으로 가는 길만 알고 있습니다."""
msc_027050_0450#0,"""간이 지도 같은 이미지만 있을 뿐,<br>구체적인 것은 모르겠습니다."""
msc_027050_0460#0,"""역시…."""
msc_027050_0470#0,"""제페토의 함정이거나 그러진 않겠지?"""
msc_027050_0480#0,"""…뭐라고 말하긴 힘드네."""
msc_027050_0490#0,"""하지만, 만일의 사태에 대비해서<br>조심하는 게 좋을 것 같네."""
msc_027050_0500#0,"""…알겠어."""
