msc_027020_0010#0,"""아, 왔구나."""
msc_027020_0020#0,"""대체 무슨 상황이야?"""
msc_027020_0030#0,"""파리아에게 무슨 일이 생겼어?"""
msc_027020_0040#0,"""우리와 대화하고 있었는데,<br>갑자기 파리아의 모습이 달라졌어."""
msc_027020_0050#0,"""너희들을<br>여기로 불러 달라고 했어."""
msc_027020_0060#0,"""우리와 대화하고 있었는데,<br>갑자기 표정이 바뀌었어"""
msc_027020_0070#0,"""너희들을<br>여기로 불러 달라고 했어."""
msc_027020_0080#0,"""다 모인 것 같네."""
msc_027020_0090#0,"""…나는 제페토.<br>일시적으로 이 몸을 빌리고 있다."""
msc_027020_0100#0,"""파리아?<br>갑자기 무슨 소리야?"""
msc_027020_0110#0,"""제페토라고!?"""
msc_027020_0120#0,"""…우선은 내 이야기를 들어줬으면 좋겠군."""
msc_027020_0130#0,"""나는 현재,<br>어느 장소에서 꼼짝없이 갇혀있어."""
msc_027020_0140#0,"""…안타깝게도, 나의 힘만으로는<br>이 상황을 타개할 수 없을 것 같아."""
msc_027020_0150#0,"""그래서 너희들에게<br>이곳에서 탈출할 수 있도록 도와줬으면 해."""
msc_027020_0160#0,"""지금부터 내가 지정하는 장소로 와줘."""
msc_027020_0170#0,"""자, 잠깐만."""
msc_027020_0180#0,"""정말로 제페토인거야?"""
msc_027020_0190#0,"""그래."""
msc_027020_0200#0,"""…루시엘에서의 전투 이후에<br>무슨 일이 있었던 거야?"""
msc_027020_0210#0,"""그리고 갇혀있단 건 무슨 뜻이야?"""
msc_027020_0220#0,"""…아 그리고<br>파리아는 그… 어떤 상태인거야?"""
msc_027020_0230#0,"""나의 능력으로<br>파리아의 신체 기능 일부를 지배하고 있어."""
msc_027020_0240#0,"""능력…?"""
msc_027020_0250#0,"""파리아 자신의 의식도 동시에 가지고 있어.<br>…지금 이야기 들었지?"""
msc_027020_0260#0,"""…네.<br>제페토, 듣고 있습니다."""
msc_027020_0270#0,"""다행이야, 무사하구나."""
msc_027020_0280#0,"""자세한 이야기는 \""이곳\""에서<br>얼마든지 하도록 하지."""
msc_027020_0290#0,"""여기까지 오는 길은<br>파리아에게 \""기억\""하도록 했어."""
msc_027020_0300#0,"""마논, 파리아, 아이나<br>…그리고 909."""
msc_027020_0310#0,"""너희 네 명만 오도록."""
msc_027020_0320#0,"""…기다리고 있겠다."""
msc_027020_0330#0,"""…제페토?"""
msc_027020_0340#0,"""…………."""
msc_027020_0350#0,"""제페토의 의식은<br>제게서 사라졌습니다."""
msc_027020_0360#0,"""또 일방적으로 할 말만 하고<br>가버렸네…."""
msc_027020_0370#0,"""파리아 괜찮아?<br>몸에 문제는 없어?"""
msc_027020_0380#0,"""네, 괜찮습니다."""
msc_027020_0390#0,"""……다행이야."""
msc_027020_0400#0,"""제페토 살아있었구나…."""
msc_027020_0410#0,"""마이웨이네…."""
msc_027020_0420#0,"""이런 모습으로 나타나다니…."""
msc_027020_0430#0,"""정말이지… 참."""
msc_027020_0440#0,"""방금 그게 제페토…."""
msc_027020_0450#0,"""사람의 몸을 통해,<br>사념을 전달하는 능력…?"""
msc_027020_0460#0,"""…어이쿠,<br>그냥 놀라고만 있을 순 없겠지."""
msc_027020_0470#0,"""…정신을 가다듬고,<br>우선 상황을 정리해보자."""
msc_027020_0480#0,"""그, 그래야겠네."""
msc_027020_0490#0,"""그렇구나…."""
msc_027020_0500#0,"""제페토는 여기에 있는 건가."""
msc_027020_0510#0,"""그런 것 같네요."""
msc_027020_0520#0,"""여긴 어디야?"""
msc_027020_0530#0,"""최근에 발견 됐다는 곳이야?"""
msc_027020_0540#0,"""루시엘 조사에서<br>최근에 발견한 곳이래."""
msc_027020_0550#0,"""지금까지<br>임시로 네임리스 시티라고 부르던 곳이야."""
msc_027020_0560#0,"""응, 루시엘 조사에서."""
msc_027020_0570#0,"""지금까지<br>임시로 네임리스 시티라고 부르던 곳이야."""
msc_027020_0580#0,"""그 아래층에,<br>제페토가 있는 것 같습니다."""
msc_027020_0590#0,"""거기까지의 경로가,<br>파리아의 머릿속에 기억하고 있다고."""
msc_027020_0600#0,"""네.<br>지금 바로 안내할 수 있을 것 같습니다."""
msc_027020_0610#0,"""하지만, 왜 4명을 지목했을까?"""
msc_027020_0620#0,"""확실하진 않지만,<br>4명 모두 제페토를 만난 적이 있어."""
msc_027020_0630#0,"""그에게 있어, 관계가 있는 4인….<br>이라는 것이겠지."""
msc_027020_0640#0,"""거기는,<br>나도 흥미가 있었어."""
msc_027020_0650#0,"""가능하다면 나도 동행하고 싶네…."""
msc_027020_0660#0,"""그건 안됩니다."""
msc_027020_0670#0,"""파리아?"""
msc_027020_0680#0,"""당신에게는<br>그 무장을 완성해야하는 역할이 있습니다."""
msc_027020_0690#0,"""무장이라니?"""
msc_027020_0700#0,"""아니, 아직 상세하게 알려줄 수 있는 단계는 아니고,<br>스타레스에 대항하기 위해 새로운 무기를 만들고 있어."""
msc_027020_0710#0,"""파리아나 루시에란도<br>협력해주고 있어."""
msc_027020_0720#0,"""저희 둘 다 떠나게 된다면,<br>개발이 정체될 것 같습니다."""
msc_027020_0730#0,"""아… 알겠어 알겠어."""
msc_027020_0740#0,"""새 무장에 대한 건<br>내가 처리하도록 할게."""
msc_027020_0750#0,"""가서 뭔가 기술에 대한 새로운 힌트가 있으면,<br>제대로 피드백 해줄 수 있겠어?"""
msc_027020_0760#0,"""물론입니다."""
msc_027020_0770#0,"""둘 다,<br>많이 친해진 모양이네?"""
msc_027020_0780#0,"""내가 할파를 조사하는 동안에<br>둘이서 점점 더 많이 이야기를 나누었지…."""
msc_027020_0790#0,"""…어찌됐건,<br>제페토가 지명한 건 넷 뿐이야."""
msc_027020_0800#0,"""어떠한 의도가 있겠지."""
msc_027020_0810#0,"""정보가 거의 없는 상황이니,<br>따를 수밖에 없을 것 같아."""
msc_027020_0820#0,"""커다란 위험이 따르겠지만,<br>맡아줄 수 있겠어?"""
msc_027020_0830#0,"""물론."""
msc_027020_0840#0,"""…다른 선택지는 없을 것 같아."""
msc_027020_0850#0,"""응, 나도 갈 수 있어."""
msc_027020_0860#0,"""…응."""
msc_027020_0870#0,"""고마워."""
msc_027020_0880#0,"""나도 제페토와<br>이런저런 이야기를 나누고 싶어."""
msc_027020_0890#0,"""정말 밤새도록 말이지."""
msc_027020_0900#0,"""무사히 데려다줘."""
