name_7451#0,"""빅토리아"""
ssn_016100_001_0010#0,"""오케이~!<br>그럼, \""라인 스트라이크\""에 대해서 알려줄게."""
ssn_016100_001_0020#0,"""라인 스트라이크는,<br>대전형 카드 게임이야."""
ssn_016100_001_0030#0,"""사용하는 카드는 총 15장."""
ssn_016100_001_0040#0,"""게임을 하기 전에<br>카드 덱을 준비해야 해."""
ssn_016100_001_0050#0,"""그래서, 이번에는 서비스.<br>베이직 덱 선물이야!"""
ssn_016100_001_0060#0,"""나중에 천천히 살펴보자."""
ssn_016100_001_0070#0,"""다음으로, 라인 스트라이크의 룰."""
ssn_016100_001_0080#0,"""3개의 라인 위에 카드를 놓고<br>각 라인의 전력치의 총합을 겨루는 게임이야."""
ssn_016100_001_0090#0,"""각 라인에는 \""거점\""이 설정되어 있고…."""
ssn_016100_001_0100#0,"""…라고 해봤자 뭐, 설명하는 것보다야<br>실제로 플레이 해보는 게 더 빠르겠네."""
ssn_016100_001_0110#0,"""그럼, 렛츠 플레이 게임!"""
