msc_027110_0010#0,"""…여기도 본 적이 있어."""
msc_027110_0020#0,"""이건… 뭐야?"""
msc_027110_0030#0,"""…제 3세대 아크스의 제조장비다."""
msc_027110_0040#0,"""혹시, \""별을 건너는 자\""는 여기서…?"""
msc_027110_0050#0,"""그렇다."""
msc_027110_0060#0,"""우리가 이상적 존재로 내세운<br>\""아크스\""라는 것에 대해 이야기 하도록 하지."""
msc_027110_0070#0,"""아크스는 1000년 전의 큰 전투에서<br>용맹을 떨친 최강의 전투 집단이다."""
msc_027110_0080#0,"""그들의 활약으로 당시의 전쟁은 종말을 맞이했다."""
msc_027110_0090#0,"""그 후, 오랜 평화의 시대가 찾아왔다."""
msc_027110_0100#0,"""동시에 아크스의 막강한 힘은 불필요해졌고,<br>그 존재는 점차 잊혀져 갔다…."""
msc_027110_0110#0,"""그들의 존재가 다시 주목받게 된 것은<br>스타레스가 등장하면서부터다."""
msc_027110_0120#0,"""외적의 위협에 대항하기 위해,<br>우린 예전의 아크스의 힘이 필요하다고 생각했다."""
msc_027110_0130#0,"""하지만, 안타깝게도 많은 기록이<br>역사 속으로 사라져 버렸다…."""
msc_027110_0140#0,"""회수할 수 있었던 것은 단편적인 전투 기록과<br>일부 아크스의 유전자 정보…"""
msc_027110_0150#0,"""그 유전자 정보 중 하나는<br>콜드 슬립된 아크스에 의한 것이었다."""
msc_027110_0160#0,"""콜드 슬립?"""
msc_027110_0170#0,"""즉, 휴면 상태의<br>아크스를 찾아냈단 거지?"""
msc_027110_0180#0,"""그래."""
msc_027110_0190#0,"""하지만, 그 자에 대해서<br>자세한 것은 알 수 없었지만."""
msc_027110_0200#0,"""…무슨 뜻이야?"""
msc_027110_0210#0,"""동결 해제를 할 수 없었어.<br>엄격하게 프로텍트되어 있었지."""
msc_027110_0220#0,"""어쩔 수 없이, 그 아크스에 관한 건 뒤로 미루고<br>다른 단서들을 바탕으로 연구를 시작했다."""
msc_027110_0230#0,"""우선, 유전자 정보에서<br>포톤에 관한 요인 분석에 착수했다."""
msc_027110_0240#0,"""또한, 전투 기록을 바탕으로<br>다양한 시뮬레이션을 진행했다."""
msc_027110_0250#0,"""이를 바탕으로 계속된<br>오랜 실험…."""
msc_027110_0260#0,"""그 집대성이 바로 909… 바로 너다."""
msc_027110_0270#0,"""이야기는 알아 들었어."""
msc_027110_0280#0,"""…몇 가지 질문좀 할게."""
msc_027110_0290#0,"""뭐지?"""
msc_027110_0300#0,"""이 위에 있는 도시에 있던 사람들에게 무슨 일이 있었어?"""
msc_027110_0310#0,"""……흠."""
msc_027110_0320#0,"""초기의 리서전트 아크스의 인원은<br>대략 10만 명."""
msc_027110_0330#0,"""그 대부분이 이곳에서 생활하고 있었다."""
msc_027110_0340#0,"""우수한 자들이 모여,<br>\""아크스의 창조\""는 진행되었다."""
msc_027110_0350#0,"""최초의 \""새로운 아크스\""를,<br>우리는 \""제 1세대 아크스\""라고 불렀다."""
msc_027110_0360#0,"""제 1세대의 실험은 이후의 세대와는<br>크게 다른 점이 있었다."""
msc_027110_0370#0,"""과거의 아크스의 유전자 정보를<br>피실험자의 신체에 직접넣은 것이다."""
msc_027110_0380#0,"""…직접이라고?"""
msc_027110_0390#0,"""연약한 심신에, 갑자기 커다란<br>포톤의 정보가 흘러들어가거나 하면…."""
msc_027110_0400#0,"""바로 그렇다."""
msc_027110_0410#0,"""일반적인 육체, 정신으로는<br>포톤의 폭류르 견디지 못한다."""
msc_027110_0420#0,"""…많은 사람들이 거부반응을 보이며 절명했다."""
msc_027110_0430#0,"""첫 반응을 견뎌낸 자도 결국<br>심신에 변조가 생겨 실험에서 이탈했다."""
msc_027110_0440#0,"""연구자들 사이에서는<br>실험에 대한 의견이 갈렸다."""
msc_027110_0450#0,"""대립은 언어적 교류에 그치지 않고,<br>몇 번의 무력 충돌이 일어났다."""
msc_027110_0460#0,"""그런 와중에 이탈자가 늘어났고,<br>최종적으로 남은 건 초기의 10%…."""
msc_027110_0470#0,"""더구나 절반의 인원을<br>실험 중 사고 등으로 잃었다."""
msc_027110_0480#0,"""…남은 연구원들은 실험을 진행하면서<br>할파의 개발에 착수했다."""
msc_027110_0490#0,"""아크스의 유전자 정보에 순응한<br>1세대의 능력을 더욱 향상시키기 위해서였다."""
msc_027110_0500#0,"""………."""
msc_027110_0510#0,"""이렇게 말하는 나도<br>그 제 1세대 아크스의 한 명이다."""
msc_027110_0520#0,"""나의 정신을 다른 \""사람\""에게 옮길 수 있는 능력은,<br>일련의 시험 중에 발현된 것이다."""
msc_027110_0530#0,"""이 힘을 이용해<br>나는 셀 수 없을만큼 \""신체\""를 바꿔왔다…."""
msc_027110_0540#0,"""그리고 스타레스의 위협을 알게 된<br>유일한 존재로서 이 실험을 수행해 온 것이다."""
msc_027110_0550#0,"""리서전트 아크스의<br>마지막 한 사람으로서."""
msc_027110_0560#0,"""마지막… 한 사람…."""
msc_027110_0570#0,"""…이 앞에는<br>너희들에게 보여주고 싶은 것이 있다."""
