Title#0,"""Б: Вечный хоровод"""
Explanation#0,"""Это продолжение тренировочной программы \""Б: За пределами воспоминаний\"".<br>Эта продвинутая тренировка добавляет новые особенности миссиям, подготовленным на каждой планете.<br>Завершать их будет сложно, но постарайтесь приложить все усилия.<br>――――――――――――――――――――<br>Получите наибольший счёт<br>до окончания времени."""
SimpleExplanation#0,"""Получите наибольший счёт!"""
a1#0,"""Завершите определённый частный заказ"""
a2#0,"""Завершите определённый частный заказ"""
a3#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
a4#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
Area0S#0,"""VR - Зачарованный лес"""
Area0L#0,"""Корабль ARKS - VR-пространство (Зачарованный лес)"""
Area1S#0,"""VR - Городская область"""
Area1L#0,"""Корабль ARKS - VR-пространство (Городская область)"""
Area2S#0,"""VR - Драконий алтарь"""
Area2L#0,"""Корабль ARKS - VR-пространство (Драконий алтарь)"""
Area3S#0,"""VR - Руины"""
Area3L#0,"""Корабль ARKS - VR-пространство (Руины)"""
Area4S#0,"""VR - Побережье"""
Area4L#0,"""Корабль ARKS - VR-пространство (Побережье)"""
Area5S#0,"""VR - Каньон"""
Area5L#0,"""Корабль ARKS - VR-пространство (Каньон)"""
Area6S#0,"""VR - Карьер"""
Area6L#0,"""Корабль ARKS - VR-пространство (Карьер)"""
Area7S#0,"""VR - Всплывший комплекс"""
Area7L#0,"""Корабль ARKS - VR-пространство (Всплывший комплекс)"""
Area8S#0,"""VR - Широния"""
Area8L#0,"""Корабль ARKS - VR-пространство (Широния)"""
Area9S#0,"""VR - Всплывший комплекс"""
Area9L#0,"""Корабль ARKS - VR-пространство (Всплывший комплекс)"""
Area10S#0,"""VR - Искажённая Лиллипа"""
Area10L#0,"""Корабль ARKS - VR-пространство (Искажённая Лиллипа)"""
Area11S#0,"""VR - База добычи"""
Area11L#0,"""Корабль ARKS - VR-пространство (База добычи)"""
Area12S#0,"""VR - Токио"""
Area12L#0,"""Корабль ARKS - VR-пространство (Токио)"""
Area13S#0,"""VR - Лас-Вегас"""
Area13L#0,"""Корабль ARKS - VR-пространство (Лас-Вегас)"""
Area14S#0,"""VR - Искажённая Амдуския"""
Area14L#0,"""Корабль ARKS - VR-пространство (Искажённая Амдуския)"""
Area15S#0,"""VR - Курон"""
Area15L#0,"""Корабль ARKS - VR-пространство (Курон)"""
Area16S#0,"""VR - Вулканические пещеры"""
Area16L#0,"""Корабль ARKS - VR-пространство (Вулканические пещеры)"""
Area17S#0,"""VR - База добычи"""
Area17L#0,"""Корабль ARKS - VR-пространство (База добычи)"""
Area18S#0,"""VR - Морское дно"""
Area18L#0,"""Корабль ARKS - VR-пространство (Морское дно)"""
Area19S#0,"""VR - Луна"""
Area19L#0,"""Корабль ARKS - VR-пространство (Луна)"""
Area20S#0,"""VR - Городская область"""
Area20L#0,"""Корабль ARKS - VR-пространство (Городская область)"""
Area21S#0,"""VR - Земли Дьявольского замка"""
Area21L#0,"""Корабль ARKS - VR-пространство (Земли Дьявольского замка)"""
Area22S#0,"""VR - Искажённый Лес"""
Area22L#0,"""Корабль ARKS - VR-пространство (Искажённый Лес)"""
Area23S#0,"""VR - (????)"""
Area23L#0,"""Корабль ARKS - VR-пространство (????)"""
Area24S#0,"""VR - Обломки корабля ARKS - Палуба"""
Area24L#0,"""Корабль ARKS - VR-пространство (Обломки корабля ARKS - Палуба)"""
Area25S#0,"""VR - Материнский корабль"""
Area25L#0,"""Корабль ARKS - VR-пространство (Материнский корабль)"""
Area26S#0,"""VR - Парящий континент"""
Area26L#0,"""Корабль ARKS - VR-пространство (Парящий континент)"""
Area27S#0,"""VR - Логово даркеров"""
Area27L#0,"""Корабль ARKS - VR-пространство (Логово даркеров)"""
Area28S#0,"""VR - Лес"""
Area28L#0,"""Корабль ARKS - VR-пространство (Лес)"""
Area29S#0,"""VR - VR Арена Лес"""
Area29L#0,"""Корабль ARKS - VR-пространство (VR Арена Лес)"""
Area30S#0,"""VR - Подземные тоннели"""
Area30L#0,"""Корабль ARKS - VR-пространство (Подземные тоннели)"""
Area31S#0,"""VR - Шаттл"""
Area31L#0,"""Корабль ARKS - VR-пространство (Шаттл)"""
Area32S#0,"""VR - Крепость Широнии"""
Area32L#0,"""Корабль ARKS - VR-пространство (Крепость Широнии)"""
Area33S#0,"""VR - Прибрежные воды Японии"""
Area33L#0,"""Корабль ARKS - VR-пространство (Прибрежные воды Японии)"""
Area34S#0,"""VR - Эпическая пустыня"""
