ssc_510020_0010#0,"""...หืม?"""
ssc_510020_0020#0,"""อ้าว <%me>"""
ssc_510020_0030#0,"""มาทำอะไรที่นี่?"""
ssc_510020_0040#0,"""มีอะไรอยู่แถวนี้งั้นเหรอ?"""
ssc_510020_0050#0,"""มาลาดตระเวนน่ะ"""
ssc_510020_0060#0,"""ไม่มีอะไรหรอก<br>ก็แค่มาลาดตระเวน"""
ssc_510020_0070#0,"""...ไม่เห็นแปลกตรงไหนเลย<br>ที่ผู้บัญชาการจะมาทำอะไรแบบนี้"""
ssc_510020_0080#0,"""ถึงคานุย (Kanui) จะยังคอยค้านอยู่จนถึงทุกวันนี้ก็เถอะ"""
ssc_510020_0090#0,"""ถึงแม้ว่าตอนนี้จะได้รับ<br>เสบียงจากเอลิโอ (Aelio) ง่ายขึ้นแล้วก็เถอะ..."""
ssc_510020_0100#0,"""ศัตรูก็ยังมีจำนวนมากกว่าพวกเราอยู่ดี"""
ssc_510020_0110#0,"""การที่ต้องสู้ทุกวันมันสร้างความเหนื่อยล้า<br>ให้กับกองทหารนะ"""
ssc_510020_0120#0,"""ฉันไม่ยอมแค่นั่งอยู่เฉยๆ บนเก้าอี้<br>ในขณะที่ตัวเองยังมีแรงเหลือเฟือหรอกนะ"""
ssc_510020_0130#0,"""ก็แค่นั้นแหละ"""
ssc_510020_0140#0,"""ใส่ใจลูกน้องมากเลยนะ"""
ssc_510020_0150#0,"""ที่จริงก็เป็นคนดีเหมือนกันนะเนี่ย"""
ssc_510020_0160#0,"""ในฐานะผู้บัญชาการ มันก็แน่อยู่แล้ว"""
ssc_510020_0170#0,"""...ไม่ได้เป็นคนดีซะหน่อย"""
ssc_510020_0180#0,"""ฉันเมินคำคัดค้านของเซ็นทรัล (Central)...<br>ของครอว์ฟอร์ด (Crawford) แล้วก็ดั้นด้นมาที่นี่"""
ssc_510020_0190#0,"""คนในค่ายของฉัน<br>คือพวกที่เห็นด้วยกับความตั้งใจของฉัน"""
ssc_510020_0200#0,"""ไม่ได้ร้องขอให้พวกเขาทำ...<br>พวกเขาอาสามากันเองทีละคน"""
ssc_510020_0210#0,"""หลายคนยอมทิ้ง<br>ครอบครัวที่เอลิโอ (Aelio) เพื่อมาที่นี่"""
ssc_510020_0220#0,"""ยอมทิ้งชีวิตในเอลิโอ (Aelio)<br>เพื่อยอมทำตามความเอาแต่ใจของฉัน"""
ssc_510020_0230#0,"""จะไม่ยอมให้ต้องมาตาย<br>อย่างไร้ค่าอยู่ที่นี่หรอก"""
ssc_510020_0240#0,"""อยากให้พวกเขาได้พักผ่อนอย่างเต็มที่<br>เพื่อที่จะได้อยู่ในสภาพพร้อมรบที่สุด"""
ssc_510020_0250#0,"""นั่นคือสิ่งเล็กน้อยที่สุดที่ฉันสามารถทำได้ล่ะนะ"""
ssc_510020_0260#0,"""ไม่ฝืนตัวเองมากไปหน่อยเหรอ?"""
ssc_510020_0270#0,"""ไม่ต้องพักผ่อนบ้างเหรอ?"""
ssc_510020_0280#0,"""ฉันรู้ขีดจำกัดของตัวเองดีกว่าใคร"""
ssc_510020_0290#0,"""พักผ่อนพอแล้วล่ะ"""
ssc_510020_0300#0,"""คุยกันแค่นี้ก่อนดีไหม?"""
ssc_510020_0310#0,"""ยังเหลือเส้นทางที่ต้องไปตรวจดูอีกหลายที่เลยล่ะ"""
ssc_510020_0320#0,"""ฝีมือระดับนี้คงไม่มีปัญหากับ<br>พวกศัตรูแถวนี้หรอกนะ แต่ว่า..."""
ssc_510020_0330#0,"""อย่าประมาทล่ะ"""
ssc_510020_0340#0,"""ไม่มีทางรู้หรอกว่าจะถูก<br>พวก DOLLS ดักซุ่มโจมตีเอาตอนไหน"""
ssc_510020_0350#0,"""ไม่อยากเห็นชื่อไปอยู่บนรายชื่อผู้เสียชีวิตหรอกนะ"""
