ssc_510010_0010#0,"""อ้าว? <%me> นี่เอง"""
ssc_510010_0020#0,"""มาได้จังหวะพอดีเลย<br>กำลังตามหาอยู่พอดี"""
ssc_510010_0030#0,"""มาเยือนเซ็นทรัล (Central) เหรอ?"""
ssc_510010_0040#0,"""มากันแค่สองคนงั้นเหรอ?"""
ssc_510010_0050#0,"""ใช่แล้วล่ะ"""
ssc_510010_0060#0,"""มาแวะพักชั่วคราวเพื่อขนส่ง<br>คนเจ็บพร้อมกับเสบียงบางส่วนน่ะ"""
ssc_510010_0070#0,"""ตามนั้นแหละ"""
ssc_510010_0080#0,"""พวกเรามาที่นี่เพื่อขนส่งคนเจ็บ<br>ไปที่ศูนย์การแพทย์ (Medical Center) น่ะ"""
ssc_510010_0090#0,"""ตอนนี้จัดการเรียบร้อยแล้ว ที่เหลือ<br>ก็แค่รอให้พวกเขาฟื้นตัว"""
ssc_510010_0100#0,"""...ว่าแต่ ท่านผู้บัญชาการเกลน (Commander Glen)<br>มีอะไรจะพูดสักหน่อยไม่ใช่เหรอ?"""
ssc_510010_0110#0,"""อ-อืม...<br>นั่นสินะ..."""
ssc_510010_0120#0,"""อะแฮ่ม! ขอบใจสำหรับความช่วยเหลือ<br>ในการต่อสู้ของพวกเรานะ"""
ssc_510010_0130#0,"""..."""
ssc_510010_0140#0,"""แค่นี้เหรอ?"""
ssc_510010_0150#0,"""ไม่ใช่..."""
ssc_510010_0160#0,"""การต่อสู้ของพวกเราในครั้งนี้<br>มันเป็นความชะงักงันที่ยาวนานมาก"""
ssc_510010_0170#0,"""ยอดความสูญเสียเพิ่มสูงขึ้น<br>และเสบียงก็ร่อยหรอลงเรื่อยๆ"""
ssc_510010_0180#0,"""แม้เวลาจะผ่านไปหลายปี ก็ยังไม่สามารถ<br>เจาะเข้าไปถึงส่วนลึกที่สุดของสเตีย (Stia) ได้เลย"""
ssc_510010_0190#0,"""ก่อนที่พวกเธอจะมาถึง ก็เริ่มคิด<br>ที่จะถอนกำลังออกจากสเตีย (Stia) แล้วล่ะ"""
ssc_510010_0200#0,"""แต่ขวัญกำลังใจของทุกคนยังดีอยู่"""
ssc_510010_0210#0,"""ก่อนที่ความมุ่งมั่นในการต่อสู้ของพวกเขาจะหมดลง<br>ก็เลยอยากจะลองบุกโจมตีเป็นครั้งสุดท้าย..."""
ssc_510010_0220#0,"""และนั่นก็คือตอนที่ทีมของพวกเธอมาถึง"""
ssc_510010_0230#0,"""เคยได้ยินข่าวลือมาบ้าง"""
ssc_510010_0240#0,"""ว่าช่วยให้รีเทม (Retem) พ้นจากวิกฤติ<br>และยังสามารถขับไล่ Dark Falz ไปได้ด้วย"""
ssc_510010_0250#0,"""แถมยังเป็นคนเบิกทาง<br>ไปสู่การฟื้นฟูควาริส (Kvaris) อีกต่างหาก"""
ssc_510010_0260#0,"""ยอมรับนะว่าเคยมีความสงสัย<br>แต่ก็ไม่มีใครอื่นให้พึ่งพาได้อีกแล้ว"""
ssc_510010_0270#0,"""เลยตัดสินใจที่จะเดิมพัน<br>กับเป้าหมายที่พวกเรามีร่วมกัน"""
ssc_510010_0280#0,"""และผลลัพธ์ก็คือ..."""
ssc_510010_0290#0,"""พวกเราต่างก็รู้ผลลัพธ์ดี"""
ssc_510010_0300#0,"""การต่อสู้ยังไม่จบลงหรอกนะ<br>แต่จะขอบอกแค่นี้ล่ะ:"""
ssc_510010_0310#0,"""ขอบใจนะ"""
ssc_510010_0320#0,"""เห็นด้วยเลยล่ะ ขอบคุณมากจริงๆ"""
ssc_510010_0330#0,"""จะกลับกันแล้วเหรอ?"""
ssc_510010_0340#0,"""ยังมีการต่อสู้อยู่ในสเตีย (Stia) อีกเหรอ?"""
ssc_510010_0350#0,"""อืม"""
ssc_510010_0360#0,"""ใช่แล้วล่ะ"""
ssc_510010_0370#0,"""พวกเรายังไม่สามารถยึดสเตีย (Stia) คืนมาได้อย่างสมบูรณ์หรอกนะ"""
ssc_510010_0380#0,"""ศูนย์วิจัย DOLLS ยังไม่ถูกปิดตัวลงเลย"""
ssc_510010_0390#0,"""ยังมีงานอีกมากที่ต้องทำ"""
ssc_510010_0400#0,"""คานุย (Kanui)"""
ssc_510010_0410#0,"""รับทราบ!"""
ssc_510010_0420#0,"""ฉันจะล่วงหน้าไปก่อน ฝากไปตรวจดู<br>คนเจ็บแล้วค่อยตามกลับมานะ"""
ssc_510010_0430#0,"""รับทราบ"""
ssc_510010_0440#0,"""เฮ้อ... เซอร์ไพรส์เลยนะเนี่ย"""
ssc_510010_0450#0,"""หาได้ยากเลยนะที่ท่านผู้บัญชาการจะเอ่ยปากขอบคุณแบบนี้น่ะ"""
ssc_510010_0460#0,"""ปกติท่านก็แสดงความขอบคุณอยู่หรอก แต่นี่น่าจะเป็น<br>ครั้งแรกเลยล่ะมั้งที่ได้ยินท่านพูดคำว่า 'ขอบใจนะ' ออกมาตรงๆ น่ะ"""
ssc_510010_0470#0,"""แค่นี้ก็แสดงให้เห็นแล้วล่ะ<br>ว่าท่านชื่นชมพวกเธอมากแค่ไหน"""
ssc_510010_0480#0,"""เอาล่ะ คงต้องไปแล้วเหมือนกัน"""
ssc_510010_0490#0,"""หวังว่าจะได้พบกันใหม่เร็วๆ นี้นะ"""
