ssc_510030_0010#0,"""...<%me>"""
ssc_510030_0020#0,"""มาที่นี่คนเดียวงั้นเหรอ?"""
ssc_510030_0030#0,"""ก็เหมือนกันนั่นแหละ"""
ssc_510030_0040#0,"""แถวนี้ไม่มีศัตรูเก่งๆ หรอก"""
ssc_510030_0050#0,"""ไม่เป็นไรหรอก"""
ssc_510030_0060#0,"""ค่อนข้างคุ้นเคย<br>กับพื้นที่แถวนี้ดีน่ะ"""
ssc_510030_0070#0,"""หึ พูดได้ดีนี่"""
ssc_510030_0080#0,"""ถึงอย่างนั้นก็เถอะ..."""
ssc_510030_0090#0,"""ทุกครั้งที่มาที่นี่ ก็จะ<br>นึกถึงการต่อสู้ในวันนั้นเสมอ"""
ssc_510030_0100#0,"""แล้วครอว์ฟอร์ด (Crawford)... หมอนั่นโผล่มาทำอะไรกันแน่ล่ะนั่น?"""
ssc_510030_0110#0,"""จู่ๆ ก็โผล่มาแบบนั้น แล้วก็สร้างความวุ่นวายซะใหญ่โต"""
ssc_510030_0120#0,"""อาจจะมาสะสางเรื่องคาใจล่ะมั้ง"""
ssc_510030_0130#0,"""เพื่อมาต่อสู้ไปด้วยกันไง"""
ssc_510030_0140#0,"""เพื่อมาจบการต่อสู้ของเขาสินะ..."""
ssc_510030_0150#0,"""...ไม่สิ คงจะเป็นการต่อสู้ของพวกเราล่ะมั้ง"""
ssc_510030_0160#0,"""กับใครล่ะ?"""
ssc_510030_0170#0,"""...กับฉันงั้นเหรอ?"""
ssc_510030_0180#0,"""...."""
ssc_510030_0190#0,"""ดูเหมือนว่ามักจะเสียการควบคุมตัวเอง<br>เสมอเลยนะเวลาอยู่ด้วยเนี่ย"""
ssc_510030_0200#0,"""แปลกคนจริงๆ แฮะ"""
ssc_510030_0210#0,"""เอาล่ะ อยู่เป็นเพื่อนกันก่อนสิ<br>จะเล่าเรื่องในอดีตให้ฟังนิดหน่อย"""
ssc_510030_0220#0,"""เมื่อก่อน ฉันกับครอว์ฟอร์ด (Crawford)<br>เคยต่อสู้ร่วมกันมาก่อนน่ะ"""
ssc_510030_0230#0,"""แต่ทว่า เพราะเหตุการณ์บางอย่าง<br>ก็เลยทำให้ต้องแยกทางกันในที่สุด"""
ssc_510030_0240#0,"""คงจะได้ยินมาจากคานุย (Kanui) แล้วสินะ"""
ssc_510030_0250#0,"""ฮิบานะ (Hibana)..."""
ssc_510030_0260#0,"""เมื่อก่อนพวกนายมีกันสามคนสินะ"""
ssc_510030_0270#0,"""ใช่ ถูกต้องแล้วล่ะ"""
ssc_510030_0280#0,"""อืม..."""
ssc_510030_0290#0,"""ตอนที่ฮิบานะ (Hibana) ตาย พวกเราทั้งสองคน<br>ก็เริ่มเดินกันคนละเส้นทาง"""
ssc_510030_0300#0,"""ครอว์ฟอร์ด (Crawford) เลือกที่จะอยู่ใน<br>เซ็นทรัล (Central) ส่วนฉันเลือกที่จะต่อสู้"""
ssc_510030_0310#0,"""ต่างก็รู้ดีว่าจะไม่มีทางทำสำเร็จได้ถ้าหากแบ่งแยกกองกำลังกัน..."""
ssc_510030_0320#0,"""แต่ก็ไม่สามารถหยุดยั้งกันและกันได้"""
ssc_510030_0330#0,"""ไม่มีทางทำลายฐานที่มั่นของศัตรูได้หรอก<br>ถ้าเอาแต่เน้นตั้งรับเพียงอย่างเดียว"""
ssc_510030_0340#0,"""แต่ถึงจะทำลายฐานที่มั่นของศัตรูได้ มันก็จะ<br>เปล่าประโยชน์ถ้าต้องสูญเสียบ้านของตัวเองไปในท้ายที่สุด"""
ssc_510030_0350#0,"""ก็เลยทำในสิ่งที่พอจะทำได้<br>ภายใต้สถานการณ์ที่ตีบตันแบบนั้น"""
ssc_510030_0360#0,"""กองกำลังรบ อาวุธ และเสบียงอื่นๆ"""
ssc_510030_0370#0,"""พวกเราค่อยๆ พ่ายแพ้ในสงครามแห่งความยืดเยื้อนี้อย่างช้าๆ แต่มั่นคง..."""
ssc_510030_0380#0,"""ถ้าไม่ปรากฏตัวมาในตอนนั้นล่ะก็<br>ก็ไม่แน่ใจเหมือนกันว่าจะมีอะไรเกิดขึ้นกับพวกเราบ้าง"""
ssc_510030_0390#0,"""..."""
ssc_510030_0400#0,"""ก็นะ มั่นใจว่าสักวันหนึ่ง<br>ฉันกับครอว์ฟอร์ด (Crawford) คงจะได้คุยกันอย่างสบายใจ"""
ssc_510030_0410#0,"""แต่ไม่ใช่ตอนนี้หรอกนะ"""
ssc_510030_0420#0,"""การต่อสู้ของพวกเราทั้งสองคน<br>ยังไม่จบลงอย่างสมบูรณ์หรอกนะ"""
ssc_510030_0430#0,"""ฟู่ พูดซะเยอะเลยแฮะ"""
ssc_510030_0440#0,"""คงต้องไปแล้วล่ะ"""
