un_061080_0010#0,"""<%me>.<br>Если у тебя есть свободная<br>минутка, я хотела бы расспросить<br>тебя о кое-чём."""
un_061080_0020#0,"""Это по поводу того<br>представителя класса Фантом,<br>Кьёкуе..."""
un_061080_0030#0,"""\""Он передвигается слишком<br>быстро, чтобы его догнать\"",<br>\""Он слишком страшен,<br>чтобы с ним говорить\"",<br>\""Не могу понять<br>о чём он говорит\"""""
un_061080_0040#0,"""...Мы получили множество<br>подобных комментариев, а люди<br>действительно хотят знать,<br>какой он..."""
un_061080_0050#0,"""Честно говоря,<br>я даже понятия не имею.<br>Я не могу найти каких-либо<br>подробностей о его личности<br>или чего-нибудь в наших<br>данных."""
un_061080_0060#0,"""Так что я подумала, что могу<br>спросить тебя или, может быть,<br>Стратос, потому что они<br>друзья..."""
un_061080_0070#0,"""...у тебя есть дела ко мне?"""
un_061080_0080#0,"""Ваа! Как внезапно!<br>Кьёкуя, когда вы пришли?!"""
un_061080_0090#0,"""Фантомы прячутся в тени...<br>Мой \""Адский Слух\"" предупредил<br>меня о злобном шёпоте.<br>Остерегайтесь сплетен..."""
un_061080_0100#0,"""А-адский слух?<br>Как что-то может предупредить<br>вас о злых сплетнях...?"""
un_061080_0110#0,"""Какая ужасающая сила..."""
un_061080_0120#0,"""Просто адские уши?"""
un_061080_0130#0,"""Никому не спрятаться<br>от моего \""Слуха\"".<br>Они могут только дрожать<br>от страха..."""
un_061080_0140#0,"""Не верно.<br>Это мой \""Адский Слух\""...<br>Хорошо бы тебе запомнить это."""
un_061080_0150#0,"""Это потрясающе!<br>Я - администратор корабля<br>ARKS - Сиерра."""
un_061080_0160#0,"""Вы не возражаете, если я<br>задам вам несколько вопросов?<br>У меня много вопросов, на<br>которые люди хотели бы<br>получить ответы!"""
un_061080_0170#0,"""...как хотите."""
un_061080_0180#0,"""Большое спасибо!<br>Начнем с первого вопроса...<br>\""Что значит Чёрный Волк?\"""""
un_061080_0190#0,"""...Мое другое имя.<br>Того, кто прячется в темноте,<br>в ожидании идеального момента,<br>чтобы прижаться зубами к горлу<br>своего противника... это и есть я."""
un_061080_0200#0,"""Угу-угу.<br>Значит это твоё прозвище.<br>И почему же именно\""Чёрный Волк?\"""""
un_061080_0210#0,"""Волки преследуют свою добычу<br>на должном уровне. Скрываются<br>в темноте, используя любые<br>доступные средства. Такое<br>представление подходит мне<br>как и моё другое имя."""
un_061080_0220#0,"""А, дааа...<br>Волки определенно крутые...<br>Теперь перейдем<br>к следующему вопросу!"""
un_061080_0230#0,"""\""А вам не кажется, что если вам<br>нравится темная одежда и тени,<br>это значит, что вам не нравятся<br>яркие вещи?\"""""
un_061080_0240#0,"""Свет...<br>Он слишком яркий для меня."""
un_061080_0250#0,"""...Фантомы живут во тьме.<br>Они не совместимы с ярким<br>светом..."""
un_061080_0260#0,"""В-вот оно как...<br>...А теперь, последний вопрос!"""
un_061080_0270#0,"""\""Пожалуйста, расскажите нам,<br>что делает класс Фантома<br>особенным!\"""""
un_061080_0280#0,"""...Если Герой, это \""Свет\"",<br>то Фантом, это \""Тень\""."""
un_061080_0290#0,"""Скрывающиеся в \""Тени\"",<br>используют методы не привычные<br>для \""Света\""..."""
un_061080_0300#0,"""Они не занимают главное место<br>в истории, но, тем не менее,<br>они существуют."""
un_061080_0310#0,"""Точно, они прячутся в тьме...<br>словно духи..."""
un_061080_0320#0,"""А-хаха...Ясно.<br>\""Духи, которые определенно<br>существуют\"" - можно как-то<br>так сказать..."""
un_061080_0330#0,"""И так, другими словами...<br>Это тот, кто делает всё<br>необходимое, чтобы добиться<br>успеха. Темный Герой!"""
un_061080_0340#0,"""...Можно ли так говорить?..."""
un_061080_0350#0,"""...Ваше понимание меня не<br>касается. Те, кому не хватает<br>решимости, пострадают от<br>проклятия Фантома..."""
un_061080_0360#0,"""...На этом всё.<br>прощайте."""
un_061080_0370#0,"""Как бы сказать...<br>В любом случае, похоже, что<br>ему нравятся уникальные и<br>сложные формулировки."""
un_061080_0380#0,"""Но если внимательно слушать,<br>то можно понять.<br>Он не выбирает средств,<br>потому опасно находиться рядом."""
un_061080_0390#0,"""Ну, похоже, потребуется время,<br>чтобы понять слова Кьёкуи<br>и его самого..."""
